model_name,experiment_type,weight_dt,activation_dt,acc1,acc1_drop,acc5,acc5_drop,mse,l1,certainty,cert_drop,status,run_date,task_type_id,ref_acc1,ref_acc5,ref_certainty,w_bits,w_exp,w_mant,a_bits,a_exp,a_mant,task_type
mobilevit_xxs,input_quant_dynamic,fp32,dyn_input_l1,0.1,0,0.528,0.0020000000000000018,0.0000677290677348813,0.0104323147200772,0.9957763802909851,0.0001842507934569637,SUCCESS,2026-04-10 12:56:17,1,0.1,0.53,0.9959606310844421,32,,,0,,,classification
mobilevit_xxs,input_quant_dynamic,fp32,dyn_input_mse,0.098,0.0020000000000000018,0.528,0.0020000000000000018,0.00006749215961444033,0.010435364432769769,0.9957810664367676,0.00017956464767454605,SUCCESS,2026-04-10 11:40:55,1,0.1,0.53,0.9959606310844421,32,,,0,,,classification
mobilevit_xxs,input_quant_baseline,fp32,fp8_e7m0,0.098,0.0020000000000000018,0.492,0.038000000000000034,0.06047030531810245,0.20197730682964318,0.9944130228805542,0.0015476082038878847,SUCCESS,2026-04-10 10:25:31,1,0.1,0.53,0.9959606310844421,32,,,8,7,0,classification
mobilevit_xxs,input_quant_baseline,fp32,fp7_e6m0,0.098,0.0020000000000000018,0.492,0.038000000000000034,0.06047030531810245,0.20197730682964318,0.9944130228805542,0.0015476082038878847,SUCCESS,2026-04-10 10:25:31,1,0.1,0.53,0.9959606310844421,32,,,7,6,0,classification
mobilevit_xxs,input_quant_baseline,fp32,fp6_e5m0,0.098,0.0020000000000000018,0.492,0.038000000000000034,0.06047030531810245,0.20197730682964318,0.9944130228805542,0.0015476082038878847,SUCCESS,2026-04-10 10:25:31,1,0.1,0.53,0.9959606310844421,32,,,6,5,0,classification
mobilevit_xxs,input_quant_baseline,fp32,fp5_e4m0,0.098,0.0020000000000000018,0.492,0.038000000000000034,0.06047030531810245,0.20197730682964318,0.9944130228805542,0.0015476082038878847,SUCCESS,2026-04-10 10:25:31,1,0.1,0.53,0.9959606310844421,32,,,5,4,0,classification
mobilevit_xxs,input_quant_baseline,fp32,fp4_e3m0,0.098,0.0020000000000000018,0.49,0.040000000000000036,0.060470545872006766,0.20201323150978917,0.9944207413101196,0.0015398897743225115,SUCCESS,2026-04-10 10:25:31,1,0.1,0.53,0.9959606310844421,32,,,4,3,0,classification
mobilevit_xxs,input_quant_baseline,fp32,fp3_e2m0,0.098,0.0020000000000000018,0.494,0.03600000000000003,0.06157034716514721,0.21100079546246042,0.9944915099906921,0.00146912109374997,SUCCESS,2026-04-10 10:25:31,1,0.1,0.53,0.9959606310844421,32,,,3,2,0,classification
mobilevit_xxs,input_quant_baseline,fp32,fp8_e1m6,0.1,0,0.532,-0.0020000000000000018,0.00002891109807500871,0.005130508697182728,0.9959291709327698,0.00003146015167232452,SUCCESS,2026-04-10 10:25:31,1,0.1,0.53,0.9959606310844421,32,,,8,1,6,classification
mobilevit_xxs,input_quant_baseline,fp32,fp7_e1m5,0.1,0,0.532,-0.0020000000000000018,0.00011451405563450809,0.010210189367484416,0.9960705102729798,-0.00010987918853766487,SUCCESS,2026-04-10 10:25:31,1,0.1,0.53,0.9959606310844421,32,,,7,1,5,classification
mobilevit_xxs,input_quant_baseline,fp32,fp6_e1m4,0.098,0.0020000000000000018,0.532,-0.0020000000000000018,0.0004556124169301172,0.02034218077701367,0.9958878531074524,0.0000727779769896797,SUCCESS,2026-04-10 10:25:31,1,0.1,0.53,0.9959606310844421,32,,,6,1,4,classification
mobilevit_xxs,input_quant_baseline,fp32,fp5_e1m3,0.102,-0.001999999999999988,0.53,0,0.0018595955262973593,0.04105885999641198,0.9959358794784546,0.000024751605987471947,SUCCESS,2026-04-10 10:25:31,1,0.1,0.53,0.9959606310844421,32,,,5,1,3,classification
mobilevit_xxs,input_quant_baseline,fp32,fp4_e1m2,0.1,0,0.522,0.008000000000000007,0.007331659884470127,0.08154708235411977,0.9960692976760864,-0.00010866659164432413,SUCCESS,2026-04-10 10:25:31,1,0.1,0.53,0.9959606310844421,32,,,4,1,2,classification
mobilevit_xxs,input_quant_baseline,fp32,fp3_e1m1,0.098,0.0020000000000000018,0.508,0.02200000000000002,0.03040730628640227,0.16652974184001657,0.9958781930732727,0.00008243801116936122,SUCCESS,2026-04-10 10:25:31,1,0.1,0.53,0.9959606310844421,32,,,3,1,1,classification
mobilevit_xxs,input_quant_baseline,fp32,fp2_e1m0,0.092,0.008000000000000007,0.514,0.016000000000000014,0.13177687027235893,0.34810249030811063,0.9953372339439392,0.0006233971405028571,SUCCESS,2026-04-10 10:25:31,1,0.1,0.53,0.9959606310844421,32,,,2,1,0,classification
resnet152,input_quant_dynamic,fp32,dyn_input_l1,82.312,0.02599999999999625,95.9,0.02400000000000091,0.00008046381773314107,0.009717927417277294,0.6940809288215637,0.0005013973999024035,SUCCESS,2026-04-11 02:52:05,1,82.338,95.924,0.6945823262214661,32,,,0,,,classification
resnet152,input_quant_dynamic,fp32,dyn_input_mse,82.348,-0.010000000000005116,95.896,0.028000000000005798,0.00008010495261554042,0.009718212333972345,0.6943004908180237,0.00028183540344239866,SUCCESS,2026-04-10 20:19:11,1,82.338,95.924,0.6945823262214661,32,,,0,,,classification
resnet152,input_quant_baseline,fp32,fp8_e7m0,76.674,5.663999999999987,92.86,3.064000000000007,0.06047030531810245,0.20197730682964318,0.6487134317588806,0.04586889446258546,SUCCESS,2026-04-10 13:46:04,1,82.338,95.924,0.6945823262214661,32,,,8,7,0,classification
resnet152,input_quant_baseline,fp32,fp7_e6m0,76.674,5.663999999999987,92.86,3.064000000000007,0.06047030531810245,0.20197730682964318,0.6487134317588806,0.04586889446258546,SUCCESS,2026-04-10 13:46:04,1,82.338,95.924,0.6945823262214661,32,,,7,6,0,classification
resnet152,input_quant_baseline,fp32,fp6_e5m0,76.674,5.663999999999987,92.86,3.064000000000007,0.06047030531810245,0.20197730682964318,0.6487134317588806,0.04586889446258546,SUCCESS,2026-04-10 13:46:04,1,82.338,95.924,0.6945823262214661,32,,,6,5,0,classification
resnet152,input_quant_baseline,fp32,fp5_e4m0,76.674,5.663999999999987,92.86,3.064000000000007,0.06047030531810245,0.20197730682964318,0.6487134317588806,0.04586889446258546,SUCCESS,2026-04-10 13:46:04,1,82.338,95.924,0.6945823262214661,32,,,5,4,0,classification
resnet152,input_quant_baseline,fp32,fp4_e3m0,76.672,5.665999999999997,92.854,3.0700000000000074,0.060470545872006766,0.20201323150978917,0.6487094084167481,0.04587291780471803,SUCCESS,2026-04-10 13:46:04,1,82.338,95.924,0.6945823262214661,32,,,4,3,0,classification
resnet152,input_quant_baseline,fp32,fp3_e2m0,76.474,5.86399999999999,92.816,3.108000000000004,0.06157034716514721,0.21100079546246042,0.6475926725101471,0.046989653711319024,SUCCESS,2026-04-10 13:46:04,1,82.338,95.924,0.6945823262214661,32,,,3,2,0,classification
resnet152,input_quant_baseline,fp32,fp8_e1m6,82.324,0.013999999999995794,95.902,0.02200000000000557,0.00002891109807500871,0.005130508697182728,0.694544531879425,0.00003779434204109755,SUCCESS,2026-04-10 13:46:04,1,82.338,95.924,0.6945823262214661,32,,,8,1,6,classification
resnet152,input_quant_baseline,fp32,fp7_e1m5,82.272,0.06599999999998829,95.894,0.030000000000001137,0.00011451405563450809,0.010210189367484416,0.6943525943374633,0.00022973188400277067,SUCCESS,2026-04-10 13:46:04,1,82.338,95.924,0.6945823262214661,32,,,7,1,5,classification
resnet152,input_quant_baseline,fp32,fp6_e1m4,82.274,0.06399999999999295,95.854,0.07000000000000739,0.0004556124169301172,0.02034218077701367,0.6937125311088562,0.0008697951126098724,SUCCESS,2026-04-10 13:46:04,1,82.338,95.924,0.6945823262214661,32,,,6,1,4,classification
resnet152,input_quant_baseline,fp32,fp5_e1m3,82.076,0.26200000000000045,95.808,0.11599999999999966,0.0018595955262973593,0.04105885999641198,0.6918680232620239,0.002714302959442194,SUCCESS,2026-04-10 13:46:04,1,82.338,95.924,0.6945823262214661,32,,,5,1,3,classification
resnet152,input_quant_baseline,fp32,fp4_e1m2,81.53,0.8079999999999927,95.59,0.3340000000000032,0.007331659884470127,0.08154708235411977,0.686711352558136,0.007870973663330116,SUCCESS,2026-04-10 13:46:04,1,82.338,95.924,0.6945823262214661,32,,,4,1,2,classification
resnet152,input_quant_baseline,fp32,fp3_e1m1,79.094,3.2439999999999998,94.366,1.558000000000007,0.03040730628640227,0.16652974184001657,0.6679212229537964,0.026661103267669684,SUCCESS,2026-04-10 13:46:04,1,82.338,95.924,0.6945823262214661,32,,,3,1,1,classification
resnet152,input_quant_baseline,fp32,fp2_e1m0,65.59,16.74799999999999,85.156,10.768,0.13177687027235893,0.34810249030811063,0.5695429376888275,0.12503938853263863,SUCCESS,2026-04-10 13:46:04,1,82.338,95.924,0.6945823262214661,32,,,2,1,0,classification
vit_b_16,input_quant_dynamic,fp32,dyn_input_l1,80.996,0.07200000000000273,95.29,0.02599999999999625,0.00017228097654270775,0.01617374649759752,0.7512727307510376,0.003998544788360592,SUCCESS,2026-04-11 09:06:41,1,81.068,95.316,0.7552712755393982,32,,,0,,,classification
vit_b_16,input_quant_dynamic,fp32,dyn_input_mse,81.008,0.060000000000002274,95.332,-0.015999999999991132,0.00017017991261127112,0.016178045881023007,0.7539992721176147,0.001272003421783463,SUCCESS,2026-04-11 06:14:21,1,81.068,95.316,0.7552712755393982,32,,,0,,,classification
vit_b_16,input_quant_baseline,fp32,fp8_e7m0,74.276,6.792000000000002,90.898,4.418000000000006,0.06047030531810245,0.20197730682964318,0.605985906162262,0.1492853693771362,SUCCESS,2026-04-11 03:22:08,1,81.068,95.316,0.7552712755393982,32,,,8,7,0,classification
vit_b_16,input_quant_baseline,fp32,fp7_e6m0,74.276,6.792000000000002,90.898,4.418000000000006,0.06047030531810245,0.20197730682964318,0.605985906162262,0.1492853693771362,SUCCESS,2026-04-11 03:22:08,1,81.068,95.316,0.7552712755393982,32,,,7,6,0,classification
vit_b_16,input_quant_baseline,fp32,fp6_e5m0,74.276,6.792000000000002,90.898,4.418000000000006,0.06047030531810245,0.20197730682964318,0.605985906162262,0.1492853693771362,SUCCESS,2026-04-11 03:22:08,1,81.068,95.316,0.7552712755393982,32,,,6,5,0,classification
vit_b_16,input_quant_baseline,fp32,fp5_e4m0,74.276,6.792000000000002,90.898,4.418000000000006,0.06047030531810245,0.20197730682964318,0.605985906162262,0.1492853693771362,SUCCESS,2026-04-11 03:22:08,1,81.068,95.316,0.7552712755393982,32,,,5,4,0,classification
vit_b_16,input_quant_baseline,fp32,fp4_e3m0,74.274,6.793999999999997,90.886,4.430000000000007,0.060470545872006766,0.20201323150978917,0.6059874709510803,0.14928380458831791,SUCCESS,2026-04-11 03:22:08,1,81.068,95.316,0.7552712755393982,32,,,4,3,0,classification
vit_b_16,input_quant_baseline,fp32,fp3_e2m0,74.046,7.021999999999991,90.7,4.616,0.06157034716514721,0.21100079546246042,0.6011147306632996,0.15415654487609864,SUCCESS,2026-04-11 03:22:08,1,81.068,95.316,0.7552712755393982,32,,,3,2,0,classification
vit_b_16,input_quant_baseline,fp32,fp8_e1m6,81.008,0.060000000000002274,95.288,0.028000000000005798,0.00002891109807500871,0.005130508697182728,0.755124347858429,0.00014692768096924436,SUCCESS,2026-04-11 03:22:08,1,81.068,95.316,0.7552712755393982,32,,,8,1,6,classification
vit_b_16,input_quant_baseline,fp32,fp7_e1m5,81.022,0.04599999999999227,95.276,0.04000000000000625,0.00011451405563450809,0.010210189367484416,0.7549173972320556,0.00035387830734257,SUCCESS,2026-04-11 03:22:08,1,81.068,95.316,0.7552712755393982,32,,,7,1,5,classification
vit_b_16,input_quant_baseline,fp32,fp6_e1m4,80.958,0.10999999999999943,95.302,0.013999999999995794,0.0004556124169301172,0.02034218077701367,0.7531984560585022,0.002072819480895993,SUCCESS,2026-04-11 03:22:08,1,81.068,95.316,0.7552712755393982,32,,,6,1,4,classification
vit_b_16,input_quant_baseline,fp32,fp5_e1m3,80.76,0.3079999999999927,95.14,0.17600000000000193,0.0018595955262973593,0.04105885999641198,0.7448657064819336,0.010405569057464592,SUCCESS,2026-04-11 03:22:08,1,81.068,95.316,0.7552712755393982,32,,,5,1,3,classification
vit_b_16,input_quant_baseline,fp32,fp4_e1m2,79.89,1.1779999999999973,94.612,0.7040000000000077,0.007331659884470127,0.08154708235411977,0.718412100868225,0.03685917467117317,SUCCESS,2026-04-11 03:22:08,1,81.068,95.316,0.7552712755393982,32,,,4,1,2,classification
