
=== Model Comparison Report ===
Compare Mode: propagated
Accuracy Source: Local (Comparison Batches)
Metric               | Reference (FP32)     | Quantized (fp8_e4m3)
------------------------------------------------------------------
Top-1 Accuracy       | 32.28%               | 31.10%
Top-5 Accuracy       | 54.33%               | 52.76%
Perplexity           | 61.96                | 64.53
Avg Certainty        | 0.3544               | 0.3422
Weight Comp. Red. %  | N/A                  | -12.50% (92.9% of total compressed)
Input Comp. Red. %   | N/A                  | -12.50% (7.1% of total compressed)
------------------------------------------------------------------


--- FP8 Compliance Check (Value-Based) ---
Layer                                                | Type                         | Shape              | Weight Fmt   | Input Q?   | Pre-Quant    | Input Fmt    | Output Q?  | Output Pre-Quant | Output Fmt   | Weight Check           | Input Check            | Output Check          
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
model.decoder.embed_tokens                           | Embedding                    | N/A                | N/A          | No         | FP32         | FP32         | N/A        | N/A          | N/A          | N/A                    | N/A                    | N/A                   
model.decoder.embed_positions                        | OPTLearnedPositionalEmbedding | N/A                | N/A          | No         | FP32         | FP32         | N/A        | N/A          | N/A          | N/A                    | N/A                    | N/A                   
model.decoder.layers.0.self_attn_layer_norm          | QuantLayerNorm               | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.0.self_attn.q_proj              | QuantLinear                  | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.0.self_attn.k_proj              | QuantLinear                  | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.0.self_attn.v_proj              | QuantLinear                  | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.0.self_attn.qk_bmm              | QuantBMM                     | N/A                | N/A          | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | N/A                    | ✅ PASS                | N/A                   
model.decoder.layers.0.self_attn.attn_softmax        | QuantSoftmax                 | N/A                | N/A          | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | N/A                    | ✅ PASS                | N/A                   
model.decoder.layers.0.self_attn.av_bmm              | QuantBMM                     | N/A                | N/A          | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | N/A                    | ✅ PASS                | N/A                   
model.decoder.layers.0.self_attn.out_proj            | QuantLinear                  | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.0.final_layer_norm              | QuantLayerNorm               | (768,)             | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.0.fc1                           | QuantLinear                  | (768,)             | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.0.activation_fn                 | QuantReLU                    | (3072,)            | N/A          | No         | FP32         | FP32         | No         | FP32         | FP32         | N/A                    | N/A                    | N/A                   
model.decoder.layers.0.fc2                           | QuantLinear                  | (3072,)            | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.1.self_attn_layer_norm          | QuantLayerNorm               | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.1.self_attn.q_proj              | QuantLinear                  | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.1.self_attn.k_proj              | QuantLinear                  | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.1.self_attn.v_proj              | QuantLinear                  | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.1.self_attn.qk_bmm              | QuantBMM                     | N/A                | N/A          | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | N/A                    | ✅ PASS                | N/A                   
model.decoder.layers.1.self_attn.attn_softmax        | QuantSoftmax                 | N/A                | N/A          | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | N/A                    | ✅ PASS                | N/A                   
model.decoder.layers.1.self_attn.av_bmm              | QuantBMM                     | N/A                | N/A          | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | N/A                    | ✅ PASS                | N/A                   
model.decoder.layers.1.self_attn.out_proj            | QuantLinear                  | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.1.final_layer_norm              | QuantLayerNorm               | (768,)             | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.1.fc1                           | QuantLinear                  | (768,)             | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.1.activation_fn                 | QuantReLU                    | (3072,)            | N/A          | No         | FP32         | FP32         | No         | FP32         | FP32         | N/A                    | N/A                    | N/A                   
model.decoder.layers.1.fc2                           | QuantLinear                  | (3072,)            | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.2.self_attn_layer_norm          | QuantLayerNorm               | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.2.self_attn.q_proj              | QuantLinear                  | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.2.self_attn.k_proj              | QuantLinear                  | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.2.self_attn.v_proj              | QuantLinear                  | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.2.self_attn.qk_bmm              | QuantBMM                     | N/A                | N/A          | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | N/A                    | ✅ PASS                | N/A                   
model.decoder.layers.2.self_attn.attn_softmax        | QuantSoftmax                 | N/A                | N/A          | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | N/A                    | ✅ PASS                | N/A                   
model.decoder.layers.2.self_attn.av_bmm              | QuantBMM                     | N/A                | N/A          | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | N/A                    | ✅ PASS                | N/A                   
model.decoder.layers.2.self_attn.out_proj            | QuantLinear                  | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.2.final_layer_norm              | QuantLayerNorm               | (768,)             | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.2.fc1                           | QuantLinear                  | (768,)             | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.2.activation_fn                 | QuantReLU                    | (3072,)            | N/A          | No         | FP32         | FP32         | No         | FP32         | FP32         | N/A                    | N/A                    | N/A                   
model.decoder.layers.2.fc2                           | QuantLinear                  | (3072,)            | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.3.self_attn_layer_norm          | QuantLayerNorm               | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.3.self_attn.q_proj              | QuantLinear                  | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.3.self_attn.k_proj              | QuantLinear                  | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.3.self_attn.v_proj              | QuantLinear                  | (128, 768)         | fp8_e4m3     | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | ✅ PASS                | ✅ PASS                | N/A                   
model.decoder.layers.3.self_attn.qk_bmm              | QuantBMM                     | N/A                | N/A          | Yes        | FP32         | fp8_e4m3     | No         | FP32         | FP32         | N/A                    | ✅ PASS                | N/A                   
