

# Dashboard date run: 20260506_063522_dashboard_experiment_hybrid_resnext101_64x4d
# Started: 2026-05-06 06:35:22
$ /usr/bin/python /data/almog/Projects/QBench-Release/runspace/experiments/find_optimal_hybrid_quant/find_optimal_hybrid_quant.py --model_name resnext101_64x4d --weights DEFAULT --dataset_name imagenet --dataset_path /data/imagenet/val --batch_size 64 --num_workers 8 --limit_batches -1 --output_dir /data/almog/Projects/QBench-Release/runspace/experiments/find_optimal_hybrid_quant/results --weight_mode optimized --weight_metric mse --weight_candidate_formats fp8_e1m6,fp8_e2m5,fp8_e3m4,fp8_e4m3,fp8_e5m2,fp8_e6m1,fp8_e7m0 --weight_chunk_size 128 --input_mode dynamic --input_metric mse --input_candidate_formats fp8_e1m6,fp8_e2m5,fp8_e3m4,fp8_e4m3,fp8_e5m2,fp8_e6m1,fp8_e7m0 --input_chunk_size 128 --unsigned_input_sources quantsoftmax,softmax,relu,quantrelu --dynamic_unsigned_input_candidates --per_chunk_format --use_cache_sim_db

Using device: cuda
Processing 1 model(s).
Runner initialized on device: cuda
/usr/local/lib/python3.12/dist-packages/torch/__init__.py:1605: UserWarning: Please use the new API settings to control TF32 behavior, such as torch.backends.cudnn.conv.fp32_precision = 'tf32' or torch.backends.cuda.matmul.fp32_precision = 'ieee'. Old settings, e.g, torch.backends.cuda.matmul.allow_tf32 = True, torch.backends.cudnn.allow_tf32 = True, allowTF32CuDNN() and allowTF32CuBLAS() will be deprecated after Pytorch 2.9. Please see https://pytorch.org/docs/main/notes/cuda.html#tensorfloat-32-tf32-on-ampere-and-later-devices (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/Context.cpp:80.)
  _C._set_float32_matmul_precision(precision)

============================================================
 HYBRID EXPERIMENT: resnext101_64x4d
  Weight Mode  : optimized
  Weight Metric: mse
  Weight Cands : ['fp8_e1m6', 'fp8_e2m5', 'fp8_e3m4', 'fp8_e4m3', 'fp8_e5m2', 'fp8_e6m1', 'fp8_e7m0']
  Input Mode   : dynamic
  Input Metric : mse
  Input Cands  : ['fp8_e1m6', 'fp8_e2m5', 'fp8_e3m4', 'fp8_e4m3', 'fp8_e5m2', 'fp8_e6m1', 'fp8_e7m0']
============================================================

[CacheSim] Model 'resnext101_64x4d' not found in cache simulation database.
[CacheSim] Triggering automatic cache simulation...
--- ASIC Cache Simulation ---
Model:         resnext101_64x4d
Cache Size:    2.000M elements  (16 banks × 125.0K elements)
Metadata Bits: 0 per 128-bit chunk
Batch Size:    1
Auto-detected model source: torchvision

Layer Name                                    | Type           |       Input |     Weights |      Output |      Banked |     NextXin | OnChip  | Reason
-------------------------------------------------------------------------------------------------------------------------------------------------------
conv1                                         | QuantConv2d    |      150.5K |        9.4K |      802.8K |      875.0K |      875.0K | yes     | conv_output_dominated
bn1                                           | QuantBatchNorm2d |      802.8K |          64 |      802.8K |      875.0K |      875.0K | yes     | global_fit
relu                                          | QuantReLU      |      802.8K |           0 |      802.8K |      875.0K |      875.0K | yes     | global_fit
maxpool                                       | QuantMaxPool2d |      802.8K |           0 |      200.7K |      250.0K |      250.0K | yes     | global_fit
layer1.0.conv1                                | QuantConv2d    |      200.7K |       16.4K |      802.8K |      875.0K |      875.0K | yes     | conv_output_dominated
layer1.0.bn1                                  | QuantBatchNorm2d |      802.8K |         256 |      802.8K |      875.0K |      875.0K | yes     | global_fit
layer1.0.relu                                 | QuantReLU      |      802.8K |           0 |      802.8K |      875.0K |      875.0K | yes     | global_fit
layer1.0.conv2                                | QuantConv2d    |      802.8K |        9.2K |      802.8K |      875.0K |      875.0K | yes     | conv_output_dominated
layer1.0.bn2                                  | QuantBatchNorm2d |      802.8K |         256 |      802.8K |      875.0K |      875.0K | yes     | global_fit
layer1.0.relu                                 | QuantReLU      |      802.8K |           0 |      802.8K |      875.0K |      875.0K | yes     | global_fit
layer1.0.conv3                                | QuantConv2d    |      802.8K |       65.5K |      802.8K |      875.0K |      875.0K | yes     | conv_output_dominated
layer1.0.bn3                                  | QuantBatchNorm2d |      802.8K |         256 |      802.8K |      875.0K |      250.0K | yes     | global_fit
layer1.0.downsample.0                         | QuantConv2d    |      200.7K |       16.4K |      802.8K |      875.0K |      875.0K | yes     | conv_output_dominated
layer1.0.downsample.1                         | QuantBatchNorm2d |      802.8K |         256 |      802.8K |      875.0K |      875.0K | yes     | global_fit
add                                           | QuantAdd       |      802.8K |           0 |      802.8K |      875.0K |      875.0K | yes     | residual
layer1.0.relu                                 | QuantReLU      |      802.8K |           0 |      802.8K |      875.0K |      875.0K | yes     | global_fit
layer1.1.conv1                                | QuantConv2d    |      802.8K |       65.5K |      802.8K |      875.0K |      875.0K | yes     | conv_output_dominated
layer1.1.bn1                                  | QuantBatchNorm2d |      802.8K |         256 |      802.8K |      875.0K |      875.0K | yes     | global_fit
layer1.1.relu                                 | QuantReLU      |      802.8K |           0 |      802.8K |      875.0K |      875.0K | yes     | global_fit
layer1.1.conv2                                | QuantConv2d    |      802.8K |        9.2K |      802.8K |      875.0K |      875.0K | yes     | conv_output_dominated
layer1.1.bn2                                  | QuantBatchNorm2d |      802.8K |         256 |      802.8K |      875.0K |      875.0K | yes     | global_fit
layer1.1.relu                                 | QuantReLU      |      802.8K |           0 |      802.8K |      875.0K |      875.0K | yes     | global_fit
layer1.1.conv3                                | QuantConv2d    |      802.8K |       65.5K |      802.8K |      875.0K |      875.0K | yes     | conv_output_dominated
layer1.1.bn3                                  | QuantBatchNorm2d |      802.8K |         256 |      802.8K |      875.0K |      875.0K | yes     | global_fit
add_1                                         | QuantAdd       |      802.8K |           0 |      802.8K |      875.0K |      875.0K | yes     | residual
layer1.1.relu                                 | QuantReLU      |      802.8K |           0 |      802.8K |      875.0K |      875.0K | yes     | global_fit
layer1.2.conv1                                | QuantConv2d    |      802.8K |       65.5K |      802.8K |      875.0K |      875.0K | yes     | conv_output_dominated
layer1.2.bn1                                  | QuantBatchNorm2d |      802.8K |         256 |      802.8K |      875.0K |      875.0K | yes     | global_fit
layer1.2.relu                                 | QuantReLU      |      802.8K |           0 |      802.8K |      875.0K |      875.0K | yes     | global_fit
layer1.2.conv2                                | QuantConv2d    |      802.8K |        9.2K |      802.8K |      875.0K |      875.0K | yes     | conv_output_dominated
layer1.2.bn2                                  | QuantBatchNorm2d |      802.8K |         256 |      802.8K |      875.0K |      875.0K | yes     | global_fit
layer1.2.relu                                 | QuantReLU      |      802.8K |           0 |      802.8K |      875.0K |      875.0K | yes     | global_fit
layer1.2.conv3                                | QuantConv2d    |      802.8K |       65.5K |      802.8K |      875.0K |      875.0K | yes     | conv_output_dominated
layer1.2.bn3                                  | QuantBatchNorm2d |      802.8K |         256 |      802.8K |      875.0K |      875.0K | yes     | global_fit
add_2                                         | QuantAdd       |      802.8K |           0 |      802.8K |      875.0K |      875.0K | yes     | residual
layer1.2.relu                                 | QuantReLU      |      802.8K |           0 |      802.8K |      875.0K |      875.0K | yes     | global_fit
layer2.0.conv1                                | QuantConv2d    |      802.8K |      131.1K |      1.606M |      1.625M |      1.625M | no      | conv_stream_xin_out — output to external
