bit_width, exp_cap, activation_dt , candidate_count, candidate_formats                                      , acc1  , acc5  , delta_acc1_vs_fp32  , certainty         , norm_mse              , norm_l1
        8, all    , dyn_a8_all_l2 ,               6, "fp8_e1m6,fp8_e2m5,fp8_e3m4,fp8_e4m3,fp8_e5m2,fp8_e6m1", 77.53 , 93.58 , -0.12000000000000455, 0.7049707520675659, 4.041625924192697e-05 , 0.0062652796064678155
        8, exp4   , dyn_a8_exp4_l2,               4, "fp8_e1m6,fp8_e2m5,fp8_e3m4,fp8_e4m3"                  , 77.53 , 93.58 , -0.12000000000000455, 0.7049707520675659, 4.041625924192697e-05 , 0.0062652796064678155
        8, exp3   , dyn_a8_exp3_l2,               3, "fp8_e1m6,fp8_e2m5,fp8_e3m4"                           , 77.526, 93.552, -0.12400000000000944, 0.7049620058250428, 4.041661002449769e-05 , 0.0062653058006744864
        7, all    , dyn_a7_all_l2 ,               5, "fp7_e1m5,fp7_e2m4,fp7_e3m3,fp7_e4m2,fp7_e5m1"         , 77.218, 93.354, -0.43200000000000216, 0.7007205323219299, 0.0001598773978152638 , 0.012323605444777631
        7, exp4   , dyn_a7_exp4_l2,               4, "fp7_e1m5,fp7_e2m4,fp7_e3m3,fp7_e4m2"                  , 77.218, 93.354, -0.43200000000000216, 0.7007205323219299, 0.0001598773978152638 , 0.012323605444777631
        7, exp3   , dyn_a7_exp3_l2,               3, "fp7_e1m5,fp7_e2m4,fp7_e3m3"                           , 77.21 , 93.402, -0.44000000000001194, 0.7006941464805603, 0.00015987720090243423, 0.0123236109892942
        6, all    , dyn_a6_all_l2 ,               4, "fp6_e1m4,fp6_e2m3,fp6_e3m2,fp6_e4m1"                  , 75.648, 92.646, -2.0020000000000095 , 0.675565624370575 , 0.0006324738358843606 , 0.024143471201884443
        6, exp3   , dyn_a6_exp3_l2,               3, "fp6_e1m4,fp6_e2m3,fp6_e3m2"                           , 75.666, 92.654, -1.9840000000000089 , 0.6755809970283508, 0.0006324698226131162 , 0.024143483888257364
        5, all    , dyn_a5_all_l2 ,               3, "fp5_e1m3,fp5_e2m2,fp5_e3m1"                           , 70.092, 89.332, -7.558000000000007  , 0.580000163526535 , 0.0023801345921810485 , 0.04609242149237189
        4, all    , dyn_a4_all_l2 ,               2, "fp4_e1m2,fp4_e2m1"                                    , 30.428, 52.748, -47.22200000000001  , 0.2084307037305832, 0.009219206644685875  , 0.09041981361709042
