SUMMARY: efficientnet_b0
bits | exp_cap | candidates | acc1 | acc5 | delta_acc1_vs_fp32 | norm_mse
--------------------------------------------------------------------------------------
8 | all | 6 | 77.53 | 93.58 | -0.12 | 0.000040
8 | exp4 | 4 | 77.53 | 93.58 | -0.12 | 0.000040
8 | exp3 | 3 | 77.53 | 93.55 | -0.12 | 0.000040
7 | all | 5 | 77.22 | 93.35 | -0.43 | 0.000160
7 | exp4 | 4 | 77.22 | 93.35 | -0.43 | 0.000160
7 | exp3 | 3 | 77.21 | 93.40 | -0.44 | 0.000160
6 | all | 4 | 75.65 | 92.65 | -2.00 | 0.000632
6 | exp3 | 3 | 75.67 | 92.65 | -1.98 | 0.000632
5 | all | 3 | 70.09 | 89.33 | -7.56 | 0.002380
4 | all | 2 | 30.43 | 52.75 | -47.22 | 0.009219
