bit_width, exp_cap, activation_dt , candidate_count, candidate_formats                                      , acc1  , acc5  , delta_acc1_vs_fp32  , certainty          , norm_mse              , norm_l1
        8, all    , dyn_a8_all_l2 ,               6, "fp8_e1m6,fp8_e2m5,fp8_e3m4,fp8_e4m3,fp8_e5m2,fp8_e6m1", 75.17 , 92.526, -0.1039999999999992 , 0.5796029342269897 , 3.0106460361830274e-05, 0.0043098422700467215
        8, exp4   , dyn_a8_exp4_l2,               4, "fp8_e1m6,fp8_e2m5,fp8_e3m4,fp8_e4m3"                  , 75.17 , 92.526, -0.1039999999999992 , 0.5796029342269897 , 3.0106460361830274e-05, 0.0043098422700467215
        8, exp3   , dyn_a8_exp3_l2,               3, "fp8_e1m6,fp8_e2m5,fp8_e3m4"                           , 75.18 , 92.522, -0.09399999999999409, 0.5796087471580506 , 3.0106466122682447e-05, 0.004309837380416471
        7, all    , dyn_a7_all_l2 ,               5, "fp7_e1m5,fp7_e2m4,fp7_e3m3,fp7_e4m2,fp7_e5m1"         , 75.016, 92.472, -0.25799999999999557, 0.5796472190856934 , 0.00012015240722999472, 0.008586589893548
        7, exp4   , dyn_a7_exp4_l2,               4, "fp7_e1m5,fp7_e2m4,fp7_e3m3,fp7_e4m2"                  , 75.016, 92.472, -0.25799999999999557, 0.5796472190856934 , 0.00012015240722999472, 0.008586589893548
        7, exp3   , dyn_a7_exp3_l2,               3, "fp7_e1m5,fp7_e2m4,fp7_e3m3"                           , 75.032, 92.478, -0.24200000000000443, 0.5796340777206421 , 0.00012015287276912495, 0.00858659061863397
        6, all    , dyn_a6_all_l2 ,               4, "fp6_e1m4,fp6_e2m3,fp6_e3m2,fp6_e4m1"                  , 74.034, 91.864, -1.2399999999999949 , 0.5699561121749878 , 0.00048264758399759925, 0.017210101643020954
        6, exp3   , dyn_a6_exp3_l2,               3, "fp6_e1m4,fp6_e2m3,fp6_e3m2"                           , 74.06 , 91.846, -1.2139999999999986 , 0.5698395608711243 , 0.0004826471256101289 , 0.017210194363370557
        5, all    , dyn_a5_all_l2 ,               3, "fp5_e1m3,fp5_e2m2,fp5_e3m1"                           , 66.724, 87.464, -8.549999999999997  , 0.4759560970211029 , 0.0019228833468992925 , 0.03459599067687263
        4, all    , dyn_a4_all_l2 ,               2, "fp4_e1m2,fp4_e2m1"                                    , 26.72 , 49.854, -48.554             , 0.22678085595607758, 0.0075350978544095155 , 0.06785217820222006
