SUMMARY: mobilenet_v3_large
bits | exp_cap | candidates | acc1 | acc5 | delta_acc1_vs_fp32 | norm_mse
--------------------------------------------------------------------------------------
8 | all | 6 | 75.17 | 92.53 | -0.10 | 0.000030
8 | exp4 | 4 | 75.17 | 92.53 | -0.10 | 0.000030
8 | exp3 | 3 | 75.18 | 92.52 | -0.09 | 0.000030
7 | all | 5 | 75.02 | 92.47 | -0.26 | 0.000120
7 | exp4 | 4 | 75.02 | 92.47 | -0.26 | 0.000120
7 | exp3 | 3 | 75.03 | 92.48 | -0.24 | 0.000120
6 | all | 4 | 74.03 | 91.86 | -1.24 | 0.000483
6 | exp3 | 3 | 74.06 | 91.85 | -1.21 | 0.000483
5 | all | 3 | 66.72 | 87.46 | -8.55 | 0.001923
4 | all | 2 | 26.72 | 49.85 | -48.55 | 0.007535
