bit_width,exp_cap,activation_dt,candidate_count,candidate_formats,acc1,acc5,delta_acc1_vs_fp32,certainty,norm_mse,norm_l1
8,all,dyn_a8_all_l2,6,"fp8_e1m6,fp8_e2m5,fp8_e3m4,fp8_e4m3,fp8_e5m2,fp8_e6m1",78.206,94.152,-0.11399999999999011,0.735814347820282,5.256603492809702e-05,0.007181436403566019
8,exp4,dyn_a8_exp4_l2,4,"fp8_e1m6,fp8_e2m5,fp8_e3m4,fp8_e4m3",78.206,94.152,-0.11399999999999011,0.735814347820282,5.256603492809702e-05,0.007181436403566019
8,exp3,dyn_a8_exp3_l2,3,"fp8_e1m6,fp8_e2m5,fp8_e3m4",78.206,94.144,-0.11399999999999011,0.7358264256477356,5.256589648916547e-05,0.007181420949453682
7,all,dyn_a7_all_l2,5,"fp7_e1m5,fp7_e2m4,fp7_e3m3,fp7_e4m2,fp7_e5m1",78.048,93.986,-0.27199999999999136,0.7463817559623718,4.036277143477396e-05,0.01397667343229839
7,exp4,dyn_a7_exp4_l2,4,"fp7_e1m5,fp7_e2m4,fp7_e3m3,fp7_e4m2",78.048,93.986,-0.27199999999999136,0.7463818371772766,4.036277143477396e-05,0.01397667343229839
7,exp3,dyn_a7_exp3_l2,3,"fp7_e1m5,fp7_e2m4,fp7_e3m3",78.048,93.988,-0.27199999999999136,0.7463854075622559,4.036277143477396e-05,0.013976712222991156
6,all,dyn_a6_all_l2,4,"fp6_e1m4,fp6_e2m3,fp6_e3m2,fp6_e4m1",76.48,93.046,-1.8399999999999892,0.752697321023941,0.0005862454897667112,0.025928053707257197
6,exp3,dyn_a6_exp3_l2,3,"fp6_e1m4,fp6_e2m3,fp6_e3m2",76.462,93.058,-1.8579999999999899,0.7526758049297333,0.0006780762188305822,0.023782266206279084
5,all,dyn_a5_all_l2,3,"fp5_e1m3,fp5_e2m2,fp5_e3m1",66.826,86.904,-11.494,0.6364754555511475,nan,0.04311100031349031
4,all,dyn_a4_all_l2,2,"fp4_e1m2,fp4_e2m1",0.792,2.758,-77.52799999999999,0.3059940856266022,nan,0.07151286853039995
