SUMMARY: mobilevit_s
bits | exp_cap | candidates | acc1 | acc5 | delta_acc1_vs_fp32 | norm_mse
--------------------------------------------------------------------------------------
8 | all | 6 | 78.21 | 94.15 | -0.11 | 0.000053
8 | exp4 | 4 | 78.21 | 94.15 | -0.11 | 0.000053
8 | exp3 | 3 | 78.21 | 94.14 | -0.11 | 0.000053
7 | all | 5 | 78.05 | 93.99 | -0.27 | 0.000040
7 | exp4 | 4 | 78.05 | 93.99 | -0.27 | 0.000040
7 | exp3 | 3 | 78.05 | 93.99 | -0.27 | 0.000040
6 | all | 4 | 76.48 | 93.05 | -1.84 | 0.000586
6 | exp3 | 3 | 76.46 | 93.06 | -1.86 | 0.000678
5 | all | 3 | 66.83 | 86.90 | -11.49 | nan
4 | all | 2 | 0.79 | 2.76 | -77.53 | nan
