bit_width, exp_cap, activation_dt , candidate_count, candidate_formats                                      , acc1  , acc5  , delta_acc1_vs_fp32   , certainty          , norm_mse              , norm_l1
        8, all    , dyn_a8_all_l2 ,               6, "fp8_e1m6,fp8_e2m5,fp8_e3m4,fp8_e4m3,fp8_e5m2,fp8_e6m1", 80.29 , 95.138, -0.03599999999998715 , 0.39435537976264956, 2.2775917718749963e-05, 0.0038365221855110763
        8, exp4   , dyn_a8_exp4_l2,               4, "fp8_e1m6,fp8_e2m5,fp8_e3m4,fp8_e4m3"                  , 80.29 , 95.138, -0.03599999999998715 , 0.39435537976264956, 2.2775917718749963e-05, 0.0038365221855110763
        8, exp3   , dyn_a8_exp3_l2,               3, "fp8_e1m6,fp8_e2m5,fp8_e3m4"                           , 80.292, 95.136, -0.033999999999991815, 0.3943762873744965 , 2.2776054374986742e-05, 0.003836525204745316
        7, all    , dyn_a7_all_l2 ,               5, "fp7_e1m5,fp7_e2m4,fp7_e3m3,fp7_e4m2,fp7_e5m1"         , 80.312, 95.046, -0.013999999999995794, 0.3930583169364929 , 9.100616787830723e-05 , 0.007668099009973822
        7, exp4   , dyn_a7_exp4_l2,               4, "fp7_e1m5,fp7_e2m4,fp7_e3m3,fp7_e4m2"                  , 80.312, 95.046, -0.013999999999995794, 0.3930583169364929 , 9.100616787830723e-05 , 0.007668099009973822
        7, exp3   , dyn_a7_exp3_l2,               3, "fp7_e1m5,fp7_e2m4,fp7_e3m3"                           , 80.298, 95.056, -0.027999999999991587, 0.39309426707267764, 9.100636044792569e-05 , 0.007668081381922566
        6, all    , dyn_a6_all_l2 ,               4, "fp6_e1m4,fp6_e2m3,fp6_e3m2,fp6_e4m1"                  , 79.832, 94.86 , -0.4939999999999998  , 0.3892765945625305 , 0.0003612880666634843 , 0.015311084527488113
        6, exp3   , dyn_a6_exp3_l2,               3, "fp6_e1m4,fp6_e2m3,fp6_e3m2"                           , 79.854, 94.834, -0.4719999999999942  , 0.38931135065078737, 0.0003612871413225515 , 0.015311067096377102
        5, all    , dyn_a5_all_l2 ,               3, "fp5_e1m3,fp5_e2m2,fp5_e3m1"                           , 78.546, 94.262, -1.779999999999987   , 0.3757866325187683 , 0.00142821229862652   , 0.030517894215288343
        4, all    , dyn_a4_all_l2 ,               2, "fp4_e1m2,fp4_e2m1"                                    , 71.944, 90.546, -8.38199999999999    , 0.33246364064216616, 0.00559122942033842   , 0.06069889726259801
