SUMMARY: resnet50
bits | exp_cap | candidates | acc1 | acc5 | delta_acc1_vs_fp32 | norm_mse
--------------------------------------------------------------------------------------
8 | all | 6 | 80.29 | 95.14 | -0.04 | 0.000023
8 | exp4 | 4 | 80.29 | 95.14 | -0.04 | 0.000023
8 | exp3 | 3 | 80.29 | 95.14 | -0.03 | 0.000023
7 | all | 5 | 80.31 | 95.05 | -0.01 | 0.000091
7 | exp4 | 4 | 80.31 | 95.05 | -0.01 | 0.000091
7 | exp3 | 3 | 80.30 | 95.06 | -0.03 | 0.000091
6 | all | 4 | 79.83 | 94.86 | -0.49 | 0.000361
6 | exp3 | 3 | 79.85 | 94.83 | -0.47 | 0.000361
5 | all | 3 | 78.55 | 94.26 | -1.78 | 0.001428
4 | all | 2 | 71.94 | 90.55 | -8.38 | 0.005591
