model,bit_width,exp_cap,activation_dt,candidate_count,candidate_formats,acc1,acc5,delta_acc1_vs_fp32,certainty,norm_mse,norm_l1
resnet50,8,all,dyn_a8_all_l2,6,"fp8_e1m6,fp8_e2m5,fp8_e3m4,fp8_e4m3,fp8_e5m2,fp8_e6m1",80.29,95.138,-0.03599999999998715,0.39435537976264956,2.2775917718749963e-05,0.0038365221855110763
resnet50,8,exp4,dyn_a8_exp4_l2,4,"fp8_e1m6,fp8_e2m5,fp8_e3m4,fp8_e4m3",80.29,95.138,-0.03599999999998715,0.39435537976264956,2.2775917718749963e-05,0.0038365221855110763
resnet50,8,exp3,dyn_a8_exp3_l2,3,"fp8_e1m6,fp8_e2m5,fp8_e3m4",80.292,95.136,-0.033999999999991815,0.3943762873744965,2.2776054374986742e-05,0.003836525204745316
resnet50,7,all,dyn_a7_all_l2,5,"fp7_e1m5,fp7_e2m4,fp7_e3m3,fp7_e4m2,fp7_e5m1",80.312,95.046,-0.013999999999995794,0.3930583169364929,9.100616787830723e-05,0.007668099009973822
resnet50,7,exp4,dyn_a7_exp4_l2,4,"fp7_e1m5,fp7_e2m4,fp7_e3m3,fp7_e4m2",80.312,95.046,-0.013999999999995794,0.3930583169364929,9.100616787830723e-05,0.007668099009973822
resnet50,7,exp3,dyn_a7_exp3_l2,3,"fp7_e1m5,fp7_e2m4,fp7_e3m3",80.298,95.056,-0.027999999999991587,0.39309426707267764,9.100636044792569e-05,0.007668081381922566
resnet50,6,all,dyn_a6_all_l2,4,"fp6_e1m4,fp6_e2m3,fp6_e3m2,fp6_e4m1",79.832,94.86,-0.4939999999999998,0.3892765945625305,0.0003612880666634843,0.015311084527488113
resnet50,6,exp3,dyn_a6_exp3_l2,3,"fp6_e1m4,fp6_e2m3,fp6_e3m2",79.854,94.834,-0.4719999999999942,0.38931135065078737,0.0003612871413225515,0.015311067096377102
resnet50,5,all,dyn_a5_all_l2,3,"fp5_e1m3,fp5_e2m2,fp5_e3m1",78.546,94.262,-1.779999999999987,0.3757866325187683,0.00142821229862652,0.030517894215288343
resnet50,4,all,dyn_a4_all_l2,2,"fp4_e1m2,fp4_e2m1",71.944,90.546,-8.38199999999999,0.33246364064216616,0.00559122942033842,0.06069889726259801
mobilenet_v3_large,8,all,dyn_a8_all_l2,6,"fp8_e1m6,fp8_e2m5,fp8_e3m4,fp8_e4m3,fp8_e5m2,fp8_e6m1",75.17,92.526,-0.1039999999999992,0.5796029342269897,3.0106460361830274e-05,0.0043098422700467215
mobilenet_v3_large,8,exp4,dyn_a8_exp4_l2,4,"fp8_e1m6,fp8_e2m5,fp8_e3m4,fp8_e4m3",75.17,92.526,-0.1039999999999992,0.5796029342269897,3.0106460361830274e-05,0.0043098422700467215
mobilenet_v3_large,8,exp3,dyn_a8_exp3_l2,3,"fp8_e1m6,fp8_e2m5,fp8_e3m4",75.18,92.522,-0.09399999999999409,0.5796087471580506,3.0106466122682447e-05,0.004309837380416471
mobilenet_v3_large,7,all,dyn_a7_all_l2,5,"fp7_e1m5,fp7_e2m4,fp7_e3m3,fp7_e4m2,fp7_e5m1",75.016,92.472,-0.25799999999999557,0.5796472190856934,0.00012015240722999472,0.008586589893548
mobilenet_v3_large,7,exp4,dyn_a7_exp4_l2,4,"fp7_e1m5,fp7_e2m4,fp7_e3m3,fp7_e4m2",75.016,92.472,-0.25799999999999557,0.5796472190856934,0.00012015240722999472,0.008586589893548
mobilenet_v3_large,7,exp3,dyn_a7_exp3_l2,3,"fp7_e1m5,fp7_e2m4,fp7_e3m3",75.032,92.478,-0.24200000000000443,0.5796340777206421,0.00012015287276912495,0.00858659061863397
mobilenet_v3_large,6,all,dyn_a6_all_l2,4,"fp6_e1m4,fp6_e2m3,fp6_e3m2,fp6_e4m1",74.034,91.864,-1.2399999999999949,0.5699561121749878,0.00048264758399759925,0.017210101643020954
mobilenet_v3_large,6,exp3,dyn_a6_exp3_l2,3,"fp6_e1m4,fp6_e2m3,fp6_e3m2",74.06,91.846,-1.2139999999999986,0.5698395608711243,0.0004826471256101289,0.017210194363370557
mobilenet_v3_large,5,all,dyn_a5_all_l2,3,"fp5_e1m3,fp5_e2m2,fp5_e3m1",66.724,87.464,-8.549999999999997,0.4759560970211029,0.0019228833468992925,0.03459599067687263
mobilenet_v3_large,4,all,dyn_a4_all_l2,2,"fp4_e1m2,fp4_e2m1",26.72,49.854,-48.554,0.22678085595607758,0.0075350978544095155,0.06785217820222006
efficientnet_b0,8,all,dyn_a8_all_l2,6,"fp8_e1m6,fp8_e2m5,fp8_e3m4,fp8_e4m3,fp8_e5m2,fp8_e6m1",77.53,93.58,-0.12000000000000455,0.7049707520675659,4.041625924192697e-05,0.0062652796064678155
efficientnet_b0,8,exp4,dyn_a8_exp4_l2,4,"fp8_e1m6,fp8_e2m5,fp8_e3m4,fp8_e4m3",77.53,93.58,-0.12000000000000455,0.7049707520675659,4.041625924192697e-05,0.0062652796064678155
efficientnet_b0,8,exp3,dyn_a8_exp3_l2,3,"fp8_e1m6,fp8_e2m5,fp8_e3m4",77.526,93.552,-0.12400000000000944,0.7049620058250428,4.041661002449769e-05,0.0062653058006744864
efficientnet_b0,7,all,dyn_a7_all_l2,5,"fp7_e1m5,fp7_e2m4,fp7_e3m3,fp7_e4m2,fp7_e5m1",77.218,93.354,-0.43200000000000216,0.7007205323219299,0.0001598773978152638,0.012323605444777631
