bit_width,exp_cap,activation_dt,candidate_count,candidate_formats,acc1,acc5,delta_acc1_vs_fp32,certainty,norm_mse,norm_l1
8,all,dyn_a8_all_l2,6,"fp8_e1m6,fp8_e2m5,fp8_e3m4,fp8_e4m3,fp8_e5m2,fp8_e6m1",80.982,95.284,-0.08400000000000318,0.7551259186172485,3.934901082328936e-05,0.0064204821494321775
8,exp4,dyn_a8_exp4_l2,4,"fp8_e1m6,fp8_e2m5,fp8_e3m4,fp8_e4m3",80.982,95.284,-0.08400000000000318,0.7551259186172485,3.934901082328936e-05,0.0064204821494321775
8,exp3,dyn_a8_exp3_l2,3,"fp8_e1m6,fp8_e2m5,fp8_e3m4",81.006,95.276,-0.060000000000002274,0.7551766254806519,3.934946204028033e-05,0.006420508787757543
7,all,dyn_a7_all_l2,5,"fp7_e1m5,fp7_e2m4,fp7_e3m3,fp7_e4m2,fp7_e5m1",80.842,95.276,-0.22400000000000375,0.7530961103439331,0.00015783332380747456,0.012784093448698351
7,exp4,dyn_a7_exp4_l2,4,"fp7_e1m5,fp7_e2m4,fp7_e3m3,fp7_e4m2",80.842,95.276,-0.22400000000000375,0.7530961103439331,0.00015783332380747456,0.012784093448698351
7,exp3,dyn_a7_exp3_l2,3,"fp7_e1m5,fp7_e2m4,fp7_e3m3",80.848,95.266,-0.21800000000000352,0.7530596455955505,0.00015783474806503663,0.012784100412147979
6,all,dyn_a6_all_l2,4,"fp6_e1m4,fp6_e2m3,fp6_e3m2,fp6_e4m1",80.554,95.13,-0.5120000000000005,0.7389470335960389,0.0006277168247274888,0.02555270823564037
6,exp3,dyn_a6_exp3_l2,3,"fp6_e1m4,fp6_e2m3,fp6_e3m2",80.52,95.076,-0.5460000000000065,0.7391441736602783,0.0006277244523755016,0.02555264709781386
5,all,dyn_a5_all_l2,3,"fp5_e1m3,fp5_e2m2,fp5_e3m1",78.974,94.132,-2.0919999999999987,0.6856925605010986,0.0025503951314559668,0.051116680541999526
4,all,dyn_a4_all_l2,2,"fp4_e1m2,fp4_e2m1",67.704,87.438,-13.362000000000009,0.5069850333881378,0.010150720016944186,0.10217234734031871
