SUMMARY: vit_b_16
bits | exp_cap | candidates | acc1 | acc5 | delta_acc1_vs_fp32 | norm_mse
--------------------------------------------------------------------------------------
8 | all | 6 | 80.98 | 95.28 | -0.08 | 0.000039
8 | exp4 | 4 | 80.98 | 95.28 | -0.08 | 0.000039
8 | exp3 | 3 | 81.01 | 95.28 | -0.06 | 0.000039
7 | all | 5 | 80.84 | 95.28 | -0.22 | 0.000158
7 | exp4 | 4 | 80.84 | 95.28 | -0.22 | 0.000158
7 | exp3 | 3 | 80.85 | 95.27 | -0.22 | 0.000158
6 | all | 4 | 80.55 | 95.13 | -0.51 | 0.000628
6 | exp3 | 3 | 80.52 | 95.08 | -0.55 | 0.000628
5 | all | 3 | 78.97 | 94.13 | -2.09 | 0.002550
4 | all | 2 | 67.70 | 87.44 | -13.36 | 0.010151
