layer,x_in,x_out,total_cache_needed_kb,weight_stream,pipeline_boundary,jumpback,residual_0,residual_1,residual_2,residual_3,residual_4,residual_5,residual_6,residual_7,residual_8,residual_9,residual_10,residual_11,residual_12,residual_13,residual_14,residual_15,residual_16,residual_17,residual_18,residual_19,hold_0_conv_to_conv_cat,hold_1_qkv_to_mul_6_matmul_matmul_1,hold_2_qkv_to_mul_7_matmul_2_matmul_3,hold_3_conv_to_conv_cat_1,hold_4_qkv_to_mul_18_matmul_4_matmul_5,hold_5_qkv_to_mul_19_matmul_6_matmul_7,hold_6_qkv_to_mul_20_matmul_8_matmul_9,hold_7_qkv_to_mul_21_matmul_10_matmul_11,hold_8_conv_to_conv_cat_2,hold_9_qkv_to_mul_32_matmul_12_matmul_13,hold_10_qkv_to_mul_33_matmul_14_matmul_15,hold_11_qkv_to_mul_34_matmul_16_matmul_17
stem.conv,250.0,125.0,875.0,250.0,125.0,125.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stages.0.0.conv1_1x1.conv,375.0,750.0,1625.0,250.0,125.0,125.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stages.0.0.conv2_kxk.conv,1125.0,0,1625.0,250.0,125.0,125.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stages.0.0.conv3_1x1.conv,1125.0,0,1625.0,250.0,125.0,125.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stages.1.0.conv1_1x1.conv,625.0,1500.0,2625.0,250.0,125.0,125.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stages.1.0.conv2_kxk.conv,2125.0,0,2625.0,250.0,125.0,125.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stages.1.0.conv3_1x1.conv,625.0,0,1125.0,250.0,125.0,125.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stages.1.1.conv1_1x1.conv,0,1125.0,1750.0,250.0,0,0,375.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stages.1.1.conv2_kxk.conv,1125.0,0,2000.0,250.0,125.0,125.0,375.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stages.1.1.conv3_1x1.conv,1125.0,0,2000.0,250.0,125.0,125.0,375.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
add,375.0,0,750.0,0,0,0,375.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stages.1.2.conv1_1x1.conv,0,1125.0,1750.0,250.0,0,0,0,375.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stages.1.2.conv2_kxk.conv,1125.0,0,2000.0,250.0,125.0,125.0,0,375.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stages.1.2.conv3_1x1.conv,1125.0,0,2000.0,250.0,125.0,125.0,0,375.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
add_1,375.0,0,750.0,0,0,0,0,375.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stages.2.0.conv1_1x1.conv,375.0,750.0,1625.0,250.0,125.0,125.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stages.2.0.conv2_kxk.conv,1125.0,0,1625.0,250.0,125.0,125.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stages.2.0.conv3_1x1.conv,375.0,0,875.0,250.0,125.0,125.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stages.2.1.conv_kxk.conv,0,125.0,500.0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0,0,0,0,0,0,0,0,0,0,0,0
stages.2.1.conv_1x1,125.0,125.0,1125.0,250.0,125.0,125.0,0,0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0,0,0,0,0,0,0,0,0,0,0,0
stages.2.1.transformer.0.norm1,0,250.0,875.0,250.0,0,0,0,0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0,0,0,0,0,0,0,0,0,0,0,0
stages.2.1.transformer.0.attn.qkv,250.0,500.0,1125.0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0,0,0,0,0,0,0,0,0,0,0,0
mul_6,0,250.0,875.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0,500.0,0,0,0,0,0,0,0,0,0,0
matmul,250.0,1125.0,2000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0,500.0,0,0,0,0,0,0,0,0,0,0
stages.2.1.transformer.0.attn.softmax,1125.0,1125.0,2875.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0,500.0,0,0,0,0,0,0,0,0,0,0
matmul_1,1125.0,250.0,2000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0,500.0,0,0,0,0,0,0,0,0,0,0
stages.2.1.transformer.0.attn.proj,250.0,250.0,875.0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0,0,0,0,0,0,0,0,0,0,0,0
add_2,0,0,625.0,0,0,0,0,0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0,0,0,0,0,0,0,0,0,0,0,0
stages.2.1.transformer.0.norm2,0,250.0,875.0,250.0,0,0,0,0,0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0,0,0,0,0,0,0,0,0,0,0,0
stages.2.1.transformer.0.mlp.fc1,250.0,375.0,1250.0,250.0,0,0,0,0,0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0,0,0,0,0,0,0,0,0,0,0,0
stages.2.1.transformer.0.mlp.fc2,375.0,250.0,1250.0,250.0,0,0,0,0,0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0,0,0,0,0,0,0,0,0,0,0,0
add_3,0,0,875.0,0,0,0,0,0,0,250.0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0,0,0,0,0,0,0,0,0,0,0,0
stages.2.1.transformer.1.norm1,0,250.0,875.0,250.0,0,0,0,0,0,0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0,0,0,0,0,0,0,0,0,0,0,0
