layer,x_in,x_out,total_cache_needed_kb,weight_stream,pipeline_boundary,jumpback,residual_0,residual_1,residual_2,residual_3,residual_4,residual_5,residual_6,residual_7,residual_8,residual_9,residual_10,residual_11,residual_12,residual_13,residual_14,residual_15,residual_16,residual_17,residual_18,residual_19,residual_20,residual_21,residual_22,residual_23,hold_0_ln_1_to_q_proj_k_proj_v_proj,hold_1_q_proj_to_matmul,hold_2_k_proj_to_matmul,hold_3_v_proj_to_matmul_1,hold_4_ln_1_to_q_proj_k_proj_v_proj,hold_5_q_proj_to_matmul_2,hold_6_k_proj_to_matmul_2,hold_7_v_proj_to_matmul_3,hold_8_ln_1_to_q_proj_k_proj_v_proj,hold_9_q_proj_to_matmul_4,hold_10_k_proj_to_matmul_4,hold_11_v_proj_to_matmul_5,hold_12_ln_1_to_q_proj_k_proj_v_proj,hold_13_q_proj_to_matmul_6,hold_14_k_proj_to_matmul_6,hold_15_v_proj_to_matmul_7,hold_16_ln_1_to_q_proj_k_proj_v_proj,hold_17_q_proj_to_matmul_8,hold_18_k_proj_to_matmul_8,hold_19_v_proj_to_matmul_9,hold_20_ln_1_to_q_proj_k_proj_v_proj,hold_21_q_proj_to_matmul_10,hold_22_k_proj_to_matmul_10,hold_23_v_proj_to_matmul_11,hold_24_ln_1_to_q_proj_k_proj_v_proj,hold_25_q_proj_to_matmul_12,hold_26_k_proj_to_matmul_12,hold_27_v_proj_to_matmul_13,hold_28_ln_1_to_q_proj_k_proj_v_proj,hold_29_q_proj_to_matmul_14,hold_30_k_proj_to_matmul_14,hold_31_v_proj_to_matmul_15,hold_32_ln_1_to_q_proj_k_proj_v_proj,hold_33_q_proj_to_matmul_16,hold_34_k_proj_to_matmul_16,hold_35_v_proj_to_matmul_17,hold_36_ln_1_to_q_proj_k_proj_v_proj,hold_37_q_proj_to_matmul_18,hold_38_k_proj_to_matmul_18,hold_39_v_proj_to_matmul_19,hold_40_ln_1_to_q_proj_k_proj_v_proj,hold_41_q_proj_to_matmul_20,hold_42_k_proj_to_matmul_20,hold_43_v_proj_to_matmul_21,hold_44_ln_1_to_q_proj_k_proj_v_proj,hold_45_q_proj_to_matmul_22,hold_46_k_proj_to_matmul_22,hold_47_v_proj_to_matmul_23
conv_proj,250.0,0,750.0,250.0,125.0,125.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cat,0,250.0,750.0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
add,250.0,0,500.0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
encoder.layers.encoder_layer_0.ln_1,0,250.0,750.0,250.0,0,0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
encoder.layers.encoder_layer_0.self_attention.q_proj,0,250.0,1000.0,250.0,0,0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
encoder.layers.encoder_layer_0.self_attention.k_proj,0,250.0,1250.0,250.0,0,0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
encoder.layers.encoder_layer_0.self_attention.v_proj,0,250.0,1500.0,250.0,0,0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.0,250.0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matmul,0,500.0,1500.0,0,0,0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.0,250.0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
truediv,500.0,500.0,1500.0,0,0,0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
encoder.layers.encoder_layer_0.self_attention.softmax,500.0,500.0,1500.0,0,0,0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
