layer,shape,max_val,best_type,best_error,fp2_e1m0_error,fp3_e1m1_error,fp4_e1m2_error,fp5_e1m3_error,fp6_e1m4_error,fp7_e1m5_error,fp8_e1m6_error,fp3_e2m0_error,fp4_e3m0_error,fp5_e4m0_error,fp6_e5m0_error,fp7_e6m0_error,fp8_e7m0_error
features.conv0,"(96, 3, 7, 7)",0.6821392178535461,fp8_e1m6,1.5653207583454787e-06,0.0034263504203408957,0.0010959780775010586,0.000340695638442412,9.319058881374076e-05,2.5074792574741878e-05,6.137562195362989e-06,1.5653207583454787e-06,0.0006947735091671348,0.0004943484673276544,0.0004941835068166256,0.0004941835068166256,0.0004941835068166256,0.0004941835068166256
features.norm0,"(96,)",0.3544362485408783,fp8_e1m6,1.0077719707624055e-06,0.002202879637479782,0.0005599994910880923,0.00028932333225384355,9.357462840853259e-05,1.5008903574198484e-05,3.596236410885467e-06,1.0077719707624055e-06,0.0005199009901843965,0.0003194577875547111,0.0003194577875547111,0.0003194577875547111,0.0003194577875547111,0.0003194577875547111
features.denseblock1.denselayer1.norm1,"(96,)",0.2506067752838135,fp8_e1m6,7.397247259177675e-07,0.00316305598244071,0.0008666230132803321,0.00017786826356314123,4.1190371121047065e-05,1.2074010555807035e-05,2.398502374489908e-06,7.397247259177675e-07,0.0006782491691410542,0.0006782491691410542,0.0006782491691410542,0.0006782491691410542,0.0006782491691410542,0.0006782491691410542
features.denseblock1.denselayer1.conv1,"(192, 96, 1, 1)",0.3221890330314636,fp8_e1m6,1.050470430641326e-07,0.00027808904997073114,9.901783050736412e-05,2.6903535399469547e-05,7.078302132867975e-06,1.7289236211581738e-06,4.262311108504946e-07,1.050470430641326e-07,6.315910286502913e-05,4.741222437587567e-05,4.740771328215487e-05,4.740771328215487e-05,4.740771328215487e-05,4.740771328215487e-05
features.denseblock1.denselayer1.norm2,"(192,)",0.30428966879844666,fp8_e1m6,1.1190347777301213e-06,0.006312386132776737,0.0012004186864942312,0.00032074699993245304,7.852790440665558e-05,1.8406546587357298e-05,4.375962362246355e-06,1.1190347777301213e-06,0.0006617477047257125,0.0006326439324766397,0.000632637063972652,0.000632637063972652,0.000632637063972652,0.000632637063972652
features.denseblock1.denselayer1.conv2,"(48, 192, 3, 3)",0.2632060647010803,fp8_e1m6,7.518237765680169e-08,0.00014069069584365934,5.761267675552517e-05,1.777867328200955e-05,4.719060598290525e-06,1.2046397159792832e-06,2.962676433071465e-07,7.518237765680169e-08,2.8908565582241863e-05,1.671242898737546e-05,1.6706602764315903e-05,1.6706602764315903e-05,1.6706602764315903e-05,1.6706602764315903e-05
features.denseblock1.denselayer2.norm1,"(144,)",0.27813825011253357,fp8_e1m6,5.09575045271049e-07,0.0020906750578433275,0.0006576580926775932,0.0001433224097127095,3.0681738280691206e-05,9.364081961393822e-06,2.23273309529759e-06,5.09575045271049e-07,0.0003336946538183838,0.0003187748370692134,0.000318774749757722,0.000318774749757722,0.000318774749757722,0.000318774749757722
features.denseblock1.denselayer2.conv1,"(192, 144, 1, 1)",0.42015063762664795,fp8_e1m6,9.358748798149463e-08,0.0001781227911124006,6.890840450068936e-05,2.1534529878408648e-05,5.758654879173264e-06,1.3773650380244362e-06,3.71574799373775e-07,9.358748798149463e-08,4.5081524149281904e-05,3.073126572417095e-05,3.07212358165998e-05,3.07212358165998e-05,3.07212358165998e-05,3.07212358165998e-05
features.denseblock1.denselayer2.norm2,"(192,)",0.2985484302043915,fp8_e1m6,8.487042464366823e-07,0.0051861414685845375,0.0009055993286892772,0.00020042566757183522,5.049555329605937e-05,1.4411302799999248e-05,3.1923173082759604e-06,8.487042464366823e-07,0.0008014425402507186,0.0007964801043272018,0.0007964695687405765,0.0007964695687405765,0.0007964695687405765,0.0007964695687405765
features.denseblock1.denselayer2.conv2,"(48, 192, 3, 3)",0.33581915497779846,fp8_e1m6,5.6674124948585813e-08,0.00011869584704982117,4.597474617185071e-05,1.3668867723026779e-05,3.5250063774583396e-06,9.056723229150521e-07,2.2741741645404545e-07,5.6674124948585813e-08,2.331330324523151e-05,1.4296646440925542e-05,1.4292076230049133e-05,1.4292076230049133e-05,1.4292076230049133e-05,1.4292076230049133e-05
