layer,shape,max_val,best_type,best_error,fp2_e1m0_error,fp3_e1m1_error,fp4_e1m2_error,fp5_e1m3_error,fp6_e1m4_error,fp7_e1m5_error,fp8_e1m6_error,fp3_e2m0_error,fp4_e3m0_error,fp5_e4m0_error,fp6_e5m0_error,fp7_e6m0_error,fp8_e7m0_error
features.0.0,"(32, 3, 3, 3)",2.2740981578826904,fp8_e1m6,2.746271848678589,136.12188720703125,80.86540222167969,39.873836517333984,21.702953338623047,10.8030366897583,5.382083892822266,2.746271848678589,54.143272399902344,39.612857818603516,39.51576232910156,39.51576232910156,39.51576232910156,39.51576232910156
features.0.1,"(32,)",9.927887916564941,fp8_e1m6,0.9588520526885986,58.086612701416016,39.50054931640625,15.10605239868164,9.415143966674805,3.565619945526123,1.9815983772277832,0.9588520526885986,19.55284881591797,17.490989685058594,17.484066009521484,17.484066009521484,17.484066009521484,17.484066009521484
features.1.0.block.0.0,"(32, 32, 3, 3)",1.4803427457809448,fp8_e1m6,15.708608627319336,476.74627685546875,337.3294677734375,211.3460235595703,117.86000061035156,61.506221771240234,30.776290893554688,15.708608627319336,250.66796875,125.52110290527344,123.6920166015625,123.69197082519531,123.69197082519531,123.69197082519531
features.1.0.block.0.1,"(32,)",4.684014797210693,fp8_e1m6,0.39808058738708496,48.655853271484375,14.635114669799805,7.900649547576904,4.560690879821777,1.7859983444213867,0.9114766120910645,0.39808058738708496,10.503486633300781,10.503486633300781,10.503486633300781,10.503486633300781,10.503486633300781,10.503486633300781
features.1.1.block.0.0,"(32, 32, 3, 3)",2.019986867904663,fp8_e1m6,19.173564910888672,597.2615356445312,435.3763427734375,270.8443908691406,148.5462646484375,75.12271118164062,37.56597900390625,19.173564910888672,316.5272216796875,153.45504760742188,151.8780517578125,151.87802124023438,151.87802124023438,151.87802124023438
features.1.1.block.0.1,"(32,)",6.830906391143799,fp8_e1m6,0.47513091564178467,32.08959197998047,15.848306655883789,7.86560583114624,4.184329986572266,2.1657967567443848,1.1231435537338257,0.47513091564178467,26.722442626953125,26.722442626953125,26.722442626953125,26.722442626953125,26.722442626953125,26.722442626953125
features.1.2.block.0.0,"(32, 32, 3, 3)",1.3728312253952026,fp8_e1m6,13.188783645629883,467.1341552734375,326.5509338378906,197.11212158203125,104.93267059326172,52.8326530456543,26.39376449584961,13.188783645629883,228.419921875,115.36387634277344,114.45587158203125,114.45586395263672,114.45586395263672,114.45586395263672
features.1.2.block.0.1,"(32,)",8.467318534851074,fp8_e1m6,1.130714774131775,56.346397399902344,41.85054016113281,13.169347763061523,8.66193962097168,3.129487991333008,2.017533779144287,1.130714774131775,23.98665428161621,22.897811889648438,22.897811889648438,22.897811889648438,22.897811889648438,22.897811889648438
features.1.3.block.0.0,"(32, 32, 3, 3)",1.522329330444336,fp8_e1m6,11.191433906555176,440.6962890625,297.4342041015625,172.59132385253906,90.2656478881836,44.81892013549805,22.46304702758789,11.191433906555176,200.41934204101562,107.29948425292969,106.62000274658203,106.6199951171875,106.6199951171875,106.6199951171875
features.1.3.block.0.1,"(32,)",11.158214569091797,fp8_e1m6,1.1052085161209106,70.2729721069336,36.80988693237305,16.215030670166016,7.003715515136719,4.239702224731445,1.6956201791763306,1.1052085161209106,31.226951599121094,30.055286407470703,30.055286407470703,30.055286407470703,30.055286407470703,30.055286407470703
