layer,shape,max_val,best_type,best_error,fp2_e1m0_error,fp3_e1m1_error,fp4_e1m2_error,fp5_e1m3_error,fp6_e1m4_error,fp7_e1m5_error,fp8_e1m6_error,fp3_e2m0_error,fp4_e3m0_error,fp5_e4m0_error,fp6_e5m0_error,fp7_e6m0_error,fp8_e7m0_error
features.0.0,"(32, 3, 3, 3)",2.2740981578826904,fp8_e1m6,1.5896770491963252e-05,0.04745887592434883,0.014991131611168385,0.0035298753064125776,0.001031483756378293,0.00025319206179119647,6.223233503988013e-05,1.5896770491963252e-05,0.00812957901507616,0.0065405238419771194,0.006539779715240002,0.006539779715240002,0.006539779715240002,0.006539779715240002
features.0.1,"(32,)",9.927887916564941,fp8_e1m6,0.0012633916921913624,4.134787082672119,1.8115296363830566,0.28687334060668945,0.10903247445821762,0.01763366349041462,0.005258494522422552,0.0012633916921913624,0.56479811668396,0.5051519274711609,0.5051502585411072,0.5051502585411072,0.5051502585411072,0.5051502585411072
features.1.0.block.0.0,"(32, 32, 3, 3)",1.4803427457809448,fp8_e1m6,5.262346803647233e-06,0.006063633598387241,0.0026154741644859314,0.0009588737157173455,0.0003048380895052105,8.208735380321741e-05,2.0472984033403918e-05,5.262346803647233e-06,0.0018952885875478387,0.0011735568987205625,0.0011726318625733256,0.0011726318625733256,0.0011726318625733256,0.0011726318625733256
features.1.0.block.0.1,"(32,)",4.684014797210693,fp8_e1m6,0.00024363546981476247,2.4152746200561523,0.288978636264801,0.07852660119533539,0.026339750736951828,0.004662462510168552,0.001246361993253231,0.00024363546981476247,0.15986527502536774,0.15986527502536774,0.15986527502536774,0.15986527502536774,0.15986527502536774,0.15986527502536774
features.1.1.block.0.0,"(32, 32, 3, 3)",2.019986867904663,fp8_e1m6,7.733037818979938e-06,0.008922364562749863,0.004252695012837648,0.0015102109173312783,0.0004543681861832738,0.00011756840103771538,2.9803686629747972e-05,7.733037818979938e-06,0.002848442643880844,0.001696233986876905,0.001695240382105112,0.001695240382105112,0.001695240382105112,0.001695240382105112
features.1.1.block.0.1,"(32,)",6.830906391143799,fp8_e1m6,0.00030544091714546084,1.5322232246398926,0.3283930718898773,0.07893368601799011,0.02141374722123146,0.005643955431878567,0.0015710906591266394,0.00030544091714546084,1.2241952419281006,1.2241952419281006,1.2241952419281006,1.2241952419281006,1.2241952419281006,1.2241952419281006
features.1.2.block.0.0,"(32, 32, 3, 3)",1.3728312253952026,fp8_e1m6,3.720806716955849e-06,0.0050224545411765575,0.0022462038323283195,0.0008159415447153151,0.00023347460955847055,6.014859536662698e-05,1.496407094236929e-05,3.720806716955849e-06,0.0013483799993991852,0.0007378928712569177,0.0007374692359007895,0.0007374692359007895,0.0007374692359007895,0.0007374692359007895
features.1.2.block.0.1,"(32,)",8.467318534851074,fp8_e1m6,0.0015594800934195518,3.845568895339966,2.0335865020751953,0.24101179838180542,0.10015532374382019,0.013710759580135345,0.005023617297410965,0.0015594800934195518,0.9170934557914734,0.8830671906471252,0.8830671906471252,0.8830671906471252,0.8830671906471252,0.8830671906471252
features.1.3.block.0.0,"(32, 32, 3, 3)",1.522329330444336,fp8_e1m6,2.62160278907686e-06,0.004338191356509924,0.001776064862497151,0.0005887712468393147,0.00016775117546785623,4.165181235293858e-05,1.0447067325003445e-05,2.62160278907686e-06,0.001024762517772615,0.000614756892900914,0.0006144811632111669,0.0006144811632111669,0.0006144811632111669,0.0006144811632111669
features.1.3.block.0.1,"(32,)",11.158214569091797,fp8_e1m6,0.001497031538747251,5.824784278869629,1.64189875125885,0.35472026467323303,0.0668666809797287,0.023678969591856003,0.0038033269811421633,0.001497031538747251,1.5557340383529663,1.5191195011138916,1.5191195011138916,1.5191195011138916,1.5191195011138916,1.5191195011138916
