layer,shape,max_val,best_type,best_error,fp2_e1m0_error,fp3_e1m1_error,fp4_e1m2_error,fp5_e1m3_error,fp6_e1m4_error,fp7_e1m5_error,fp8_e1m6_error,fp3_e2m0_error,fp4_e3m0_error,fp5_e4m0_error,fp6_e5m0_error,fp7_e6m0_error,fp8_e7m0_error
conv1.conv,"(64, 3, 7, 7)",1.230904459953308,fp8_e1m6,16.14867401123047,747.8560791015625,436.4623107910156,239.20916748046875,126.95783996582031,64.6958236694336,32.18099594116211,16.14867401123047,316.4632568359375,217.37957763671875,216.4827880859375,216.4827880859375,216.4827880859375,216.4827880859375
conv1.bn,"(64,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conv2.conv,"(64, 64, 1, 1)",1.9488348960876465,fp8_e1m6,9.414178848266602,354.9188232421875,229.81320190429688,134.36524963378906,73.5875244140625,37.954017639160156,18.715518951416016,9.414178848266602,167.92877197265625,95.89889526367188,95.09310913085938,95.09307861328125,95.09307861328125,95.09307861328125
conv2.bn,"(64,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conv3.conv,"(192, 64, 3, 3)",1.200365662574768,fp8_e1m6,79.06973266601562,3663.76611328125,2277.27490234375,1234.734130859375,629.28369140625,316.30499267578125,158.5067138671875,79.06973266601562,1486.287109375,908.1063232421875,904.4878540039062,904.48779296875,904.48779296875,904.48779296875
conv3.bn,"(192,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inception3a.branch1.conv,"(64, 192, 1, 1)",0.9426426291465759,fp8_e1m6,12.870279312133789,558.4158935546875,353.7594299316406,199.13279724121094,102.92359924316406,51.53815841674805,25.805078506469727,12.870279312133789,235.35696411132812,136.94842529296875,136.33396911621094,136.33395385742188,136.33395385742188,136.33395385742188
inception3a.branch1.bn,"(64,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inception3a.branch2.0.conv,"(96, 192, 1, 1)",1.024196982383728,fp8_e1m6,16.642196655273438,736.21142578125,465.54241943359375,255.13534545898438,131.07598876953125,66.2085189819336,33.11009979248047,16.642196655273438,307.85430908203125,184.54638671875,183.68362426757812,183.68362426757812,183.68362426757812,183.68362426757812
inception3a.branch2.0.bn,"(96,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inception3a.branch2.1.conv,"(128, 96, 3, 3)",0.9426586627960205,fp8_e1m6,56.39164733886719,2695.88671875,1674.850341796875,892.10546875,449.67333984375,224.98727416992188,112.26383209228516,56.39164733886719,1040.719482421875,628.4829711914062,626.3388671875,626.3388671875,626.3388671875,626.3388671875
inception3a.branch2.1.bn,"(128,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inception3a.branch3.0.conv,"(16, 192, 1, 1)",0.4525975286960602,fp8_e1m6,2.651639461517334,122.1773452758789,78.64875030517578,42.461063385009766,20.87802505493164,10.66489315032959,5.437097072601318,2.651639461517334,49.98834991455078,29.125886917114258,29.028953552246094,29.028949737548828,29.028949737548828,29.028949737548828
inception3a.branch3.0.bn,"(16,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inception3a.branch3.1.conv,"(32, 16, 3, 3)",0.9014831781387329,fp8_e1m6,4.72580623626709,159.475341796875,115.78593444824219,68.59750366210938,37.24481964111328,18.867202758789062,9.25942325592041,4.72580623626709,78.81501007080078,38.320701599121094,37.98235321044922,37.98234939575195,37.98234939575195,37.98234939575195
inception3a.branch3.1.bn,"(32,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inception3a.branch4.1.conv,"(32, 192, 1, 1)",1.1592117547988892,fp8_e1m6,7.295614242553711,240.200927734375,165.9371337890625,98.21063232421875,54.74437713623047,28.966323852539062,14.75331974029541,7.295614242553711,114.10542297363281,58.763206481933594,58.05012130737305,58.05010986328125,58.05010986328125,58.05010986328125
inception3a.branch4.1.bn,"(32,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inception3b.branch1.conv,"(128, 256, 1, 1)",0.9818577170372009,fp8_e1m6,25.347332000732422,1121.8846435546875,717.2730712890625,393.1744384765625,202.82614135742188,101.3109130859375,50.80297088623047,25.347332000732422,460.26708984375,267.4458923339844,266.2153625488281,266.21533203125,266.21533203125,266.21533203125
inception3b.branch1.bn,"(128,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inception3b.branch2.0.conv,"(128, 256, 1, 1)",0.7792328596115112,fp8_e1m6,24.724510192871094,1150.1158447265625,731.4149169921875,391.86065673828125,198.08682250976562,98.84886169433594,49.23863983154297,24.724510192871094,464.54534912109375,277.1452331542969,276.1962585449219,276.19622802734375,276.19622802734375,276.19622802734375
inception3b.branch2.0.bn,"(128,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inception3b.branch2.1.conv,"(192, 128, 3, 3)",0.45289260149002075,fp8_e1m6,75.090087890625,4118.48876953125,2368.7470703125,1199.79541015625,600.4996337890625,301.0690002441406,150.12123107910156,75.090087890625,1501.732666015625,1041.64013671875,1039.661865234375,1039.661865234375,1039.661865234375,1039.661865234375
inception3b.branch2.1.bn,"(192,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inception3b.branch3.0.conv,"(32, 256, 1, 1)",0.5561018586158752,fp8_e1m6,6.0042548179626465,294.2210693359375,179.3526153564453,95.5589370727539,47.955894470214844,23.405193328857422,11.855134963989258,6.0042548179626465,113.76061248779297,70.2235107421875,70.01397705078125,70.01397705078125,70.01397705078125,70.01397705078125
inception3b.branch3.0.bn,"(32,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inception3b.branch3.1.conv,"(96, 32, 3, 3)",0.3611057996749878,fp8_e1m6,12.89997386932373,704.79443359375,407.1351623535156,208.081298828125,103.86956787109375,52.17566680908203,26.066368103027344,12.89997386932373,254.8849639892578,173.27099609375,172.9229278564453,172.92291259765625,172.92291259765625,172.92291259765625
inception3b.branch3.1.bn,"(96,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inception3b.branch4.1.conv,"(64, 256, 1, 1)",1.0748625993728638,fp8_e1m6,13.296098709106445,533.35986328125,355.26617431640625,198.7079620361328,102.37129211425781,52.661766052246094,26.361780166625977,13.296098709106445,226.184326171875,121.79977416992188,120.85478210449219,120.85476684570312,120.85476684570312,120.85476684570312
inception3b.branch4.1.bn,"(64,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
