layer,shape,max_val,best_type,best_error,fp2_e1m0_error,fp3_e1m1_error,fp4_e1m2_error,fp5_e1m3_error,fp6_e1m4_error,fp7_e1m5_error,fp8_e1m6_error,fp3_e2m0_error,fp4_e3m0_error,fp5_e4m0_error,fp6_e5m0_error,fp7_e6m0_error,fp8_e7m0_error
conv1.conv,"(64, 3, 7, 7)",1.230904459953308,fp8_e1m6,5.702405360352714e-06,0.01295088604092598,0.004144378937780857,0.0012275531189516187,0.00034723104909062386,9.049304208019748e-05,2.238446359115187e-05,5.702405360352714e-06,0.002552430145442486,0.0018703215755522251,0.0018698133062571287,0.0018698133062571287,0.0018698133062571287,0.0018698133062571287
conv1.bn,"(64,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conv2.conv,"(64, 64, 1, 1)",1.9488348960876465,fp8_e1m6,8.152948794304393e-06,0.014525932259857655,0.00521946931257844,0.0016868661623448133,0.0004936167970299721,0.00013316883996594697,3.2524167181691155e-05,8.152948794304393e-06,0.004214202985167503,0.0030621769838035107,0.0030610773246735334,0.0030610773246735334,0.0030610773246735334,0.0030610773246735334
conv2.bn,"(64,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conv3.conv,"(192, 64, 3, 3)",1.200365662574768,fp8_e1m6,8.931589832172904e-07,0.0018683739472180605,0.0006867650081403553,0.00020636009867303073,5.500744009623304e-05,1.42506605698145e-05,3.5825314625981264e-06,8.931589832172904e-07,0.00036809282028116286,0.00023578439140692353,0.00023570290068164468,0.00023570290068164468,0.00023570290068164468,0.00023570290068164468
conv3.bn,"(192,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inception3a.branch1.conv,"(64, 192, 1, 1)",0.9426426291465759,fp8_e1m6,1.734419129206799e-06,0.003435867838561535,0.0012788926251232624,0.0004082021478097886,0.00010993918112944812,2.776391920633614e-05,6.9372536017908715e-06,1.734419129206799e-06,0.0007193197961896658,0.0004495810135267675,0.00044945531408302486,0.00044945531408302486,0.00044945531408302486,0.00044945531408302486
inception3a.branch1.bn,"(64,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inception3a.branch2.0.conv,"(96, 192, 1, 1)",1.024196982383728,fp8_e1m6,1.4052535561859258e-06,0.002589486539363861,0.0010045893723145127,0.00031204766128212214,8.651192911202088e-05,2.2139525754028e-05,5.491624506248627e-06,1.4052535561859258e-06,0.0005512105417437851,0.00034229891025461257,0.0003421679721213877,0.0003421679721213877,0.0003421679721213877,0.0003421679721213877
inception3a.branch2.0.bn,"(96,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inception3a.branch2.1.conv,"(128, 96, 3, 3)",0.9426586627960205,fp8_e1m6,4.2708839487204386e-07,0.0009559834725223482,0.0003616139874793589,0.00010557138739386573,2.7275696993456222e-05,6.8311928771436214e-06,1.6970122942439048e-06,4.2708839487204386e-07,0.0001692253863438964,0.00010138515062863007,0.00010135971388081089,0.00010135971388081089,0.00010135971388081089,0.00010135971388081089
inception3a.branch2.1.bn,"(128,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inception3a.branch3.0.conv,"(16, 192, 1, 1)",0.4525975286960602,fp8_e1m6,1.0550322713243077e-06,0.0025736596435308456,0.0009531569667160511,0.00027148472145199776,6.529649544972926e-05,1.68400292750448e-05,4.371924205770483e-06,1.0550322713243077e-06,0.0005059479735791683,0.00033501136931590736,0.00033496139803901315,0.00033496139803901315,0.00033496139803901315,0.00033496139803901315
inception3a.branch3.0.bn,"(16,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inception3a.branch3.1.conv,"(32, 16, 3, 3)",0.9014831781387329,fp8_e1m6,1.7939601093530655e-06,0.002578105079010129,0.001181729487143457,0.00037906054058112204,0.00011096490925410762,2.856183346011676e-05,6.829829999333015e-06,1.7939601093530655e-06,0.0006538270390592515,0.0003744559653569013,0.0003742665867321193,0.0003742665867321193,0.0003742665867321193,0.0003742665867321193
inception3a.branch3.1.bn,"(32,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inception3a.branch4.1.conv,"(32, 192, 1, 1)",1.1592117547988892,fp8_e1m6,2.846488314389717e-06,0.002883879467844963,0.0012789786560460925,0.00045138614950701594,0.0001507661072537303,4.391773109091446e-05,1.159211024059914e-05,2.846488314389717e-06,0.0007498430786654353,0.00041169626638293266,0.0004111556336283684,0.0004111556336283684,0.0004111556336283684,0.0004111556336283684
inception3a.branch4.1.bn,"(32,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inception3b.branch1.conv,"(128, 256, 1, 1)",0.9818577170372009,fp8_e1m6,9.762942454472068e-07,0.0019612526521086693,0.0007564760744571686,0.00022824498591944575,6.187014514580369e-05,1.5484292816836387e-05,3.908822236553533e-06,9.762942454472068e-07,0.0004053841403219849,0.0002544247836340219,0.00025434361305087805,0.00025434361305087805,0.00025434361305087805,0.00025434361305087805
inception3b.branch1.bn,"(128,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inception3b.branch2.0.conv,"(128, 256, 1, 1)",0.7792328596115112,fp8_e1m6,8.840031568979612e-07,0.001986997900530696,0.0007679688278585672,0.0002201254537794739,5.6678523833397776e-05,1.4148470654617995e-05,3.5149948871548986e-06,8.840031568979612e-07,0.00037942788912914693,0.00023732209228910506,0.00023727149527985603,0.00023727149527985603,0.00023727149527985603,0.00023727149527985603
inception3b.branch2.0.bn,"(128,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inception3b.branch2.1.conv,"(192, 128, 3, 3)",0.45289260149002075,fp8_e1m6,1.769758455338888e-07,0.0005271018017083406,0.00017480268434155732,4.530176374828443e-05,1.1328683285682928e-05,2.850657438102644e-06,7.074048653521459e-07,1.769758455338888e-07,8.367926784558222e-05,5.92893993598409e-05,5.9282538131810725e-05,5.9282538131810725e-05,5.9282538131810725e-05,5.9282538131810725e-05
inception3b.branch2.1.bn,"(192,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inception3b.branch3.0.conv,"(32, 256, 1, 1)",0.5561018586158752,fp8_e1m6,8.197458782888134e-07,0.002044162480160594,0.0007337360875681043,0.00020899383525829762,5.306509410729632e-05,1.2680919098784216e-05,3.229227786505362e-06,8.197458782888134e-07,0.00035228265915066004,0.00022375951812136918,0.00022371765226125717,0.00022371765226125717,0.00022371765226125717,0.00022371765226125717
inception3b.branch3.0.bn,"(32,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inception3b.branch3.1.conv,"(96, 32, 3, 3)",0.3611057996749878,fp8_e1m6,3.224407976176735e-07,0.0009809384355321527,0.000318534963298589,8.360700303455815e-05,2.0817702534259297e-05,5.285873157845344e-06,1.3145006505510537e-06,3.224407976176735e-07,0.00014990658382885158,0.00010532307351240888,0.00010531071166042238,0.00010531071166042238,0.00010531071166042238,0.00010531071166042238
inception3b.branch3.1.bn,"(96,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inception3b.branch4.1.conv,"(64, 256, 1, 1)",1.0748625993728638,fp8_e1m6,1.220647163791e-06,0.0017585703171789646,0.000747869024053216,0.0002447742153890431,6.796805246267468e-05,1.9078772311331704e-05,4.815336524188751e-06,1.220647163791e-06,0.00036151905078440905,0.00018612478743307292,0.0001859267649706453,0.0001859267649706453,0.0001859267649706453,0.0001859267649706453
inception3b.branch4.1.bn,"(64,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
