layer,shape,max_val,best_type,best_error,fp2_e1m0_error,fp3_e1m1_error,fp4_e1m2_error,fp5_e1m3_error,fp6_e1m4_error,fp7_e1m5_error,fp8_e1m6_error,fp3_e2m0_error,fp4_e3m0_error,fp5_e4m0_error,fp6_e5m0_error,fp7_e6m0_error,fp8_e7m0_error
Conv2d_1a_3x3.conv,"(32, 3, 3, 3)",0.4024004340171814,fp8_e1m6,0.5629401206970215,34.43756103515625,18.268230438232422,8.858407974243164,4.66609001159668,2.1952993869781494,1.120601773262024,0.5629401206970215,13.59835433959961,11.218805313110352,11.208366394042969,11.208366394042969,11.208366394042969,11.208366394042969
Conv2d_1a_3x3.bn,"(32,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Conv2d_2a_3x3.conv,"(32, 32, 3, 3)",0.9853654503822327,fp8_e1m6,11.17802906036377,479.6230773925781,313.13897705078125,174.15798950195312,89.15817260742188,44.83900451660156,22.463356018066406,11.17802906036377,213.19305419921875,127.67058563232422,127.1102294921875,127.1102294921875,127.1102294921875,127.1102294921875
Conv2d_2a_3x3.bn,"(32,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Conv2d_2b_3x3.conv,"(64, 32, 3, 3)",0.9677366614341736,fp8_e1m6,17.830652236938477,794.5986328125,510.88897705078125,279.8188781738281,141.6707305908203,71.44783020019531,35.61070251464844,17.830652236938477,336.86065673828125,198.70278930664062,197.99166870117188,197.9916229248047,197.9916229248047,197.9916229248047
Conv2d_2b_3x3.bn,"(64,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Conv2d_3b_1x1.conv,"(80, 64, 1, 1)",1.2027746438980103,fp8_e1m6,7.767906665802002,322.8314208984375,205.1778564453125,116.25186920166016,60.52790832519531,30.973987579345703,15.650788307189941,7.767906665802002,143.51255798339844,86.77110290527344,86.31951904296875,86.31951141357422,86.31951141357422,86.31951141357422
Conv2d_3b_1x1.bn,"(80,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Conv2d_4a_3x3.conv,"(192, 80, 3, 3)",0.7520069479942322,fp8_e1m6,66.82574462890625,3217.51806640625,1962.5936279296875,1052.878173828125,534.3662109375,267.4190368652344,133.92901611328125,66.82574462890625,1268.7230224609375,795.5745239257812,792.9434204101562,792.943359375,792.943359375,792.943359375
Conv2d_4a_3x3.bn,"(192,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mixed_5b.branch1x1.conv,"(64, 192, 1, 1)",0.7762024998664856,fp8_e1m6,10.02977180480957,509.53057861328125,299.05029296875,157.84190368652344,80.26942443847656,39.89978790283203,20.136573791503906,10.02977180480957,194.03482055664062,127.46049499511719,127.09626007080078,127.09625244140625,127.09625244140625,127.09625244140625
Mixed_5b.branch1x1.bn,"(64,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mixed_5b.branch5x5_1.conv,"(48, 192, 1, 1)",0.6749387383460999,fp8_e1m6,6.292981147766113,262.19268798828125,173.34364318847656,97.65092468261719,50.38005065917969,25.07769203186035,12.56595230102539,6.292981147766113,113.95895385742188,63.13779067993164,62.783897399902344,62.78388977050781,62.78388977050781,62.78388977050781
Mixed_5b.branch5x5_1.bn,"(48,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mixed_5b.branch5x5_2.conv,"(64, 48, 5, 5)",1.1008708477020264,fp8_e1m6,28.805744171142578,1227.016845703125,802.3507690429688,444.2574462890625,229.29367065429688,116.05552673339844,57.97459411621094,28.805744171142578,510.4448547363281,284.2339782714844,282.6881408691406,282.6881103515625,282.6881103515625,282.6881103515625
Mixed_5b.branch5x5_2.bn,"(64,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mixed_5b.branch3x3dbl_1.conv,"(64, 192, 1, 1)",0.5522279739379883,fp8_e1m6,8.373983383178711,392.465087890625,246.78631591796875,132.95468139648438,67.32887268066406,33.89655303955078,16.66897201538086,8.373983383178711,157.37066650390625,94.15888977050781,93.8261489868164,93.82614135742188,93.82614135742188,93.82614135742188
Mixed_5b.branch3x3dbl_1.bn,"(64,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mixed_5b.branch3x3dbl_2.conv,"(96, 64, 3, 3)",0.5184788107872009,fp8_e1m6,21.18290901184082,1059.11767578125,647.544921875,336.98004150390625,169.8727264404297,84.77298736572266,42.57415771484375,21.18290901184082,404.3377685546875,255.76255798339844,255.0821533203125,255.08213806152344,255.08213806152344,255.08213806152344
Mixed_5b.branch3x3dbl_2.bn,"(96,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mixed_5b.branch3x3dbl_3.conv,"(96, 96, 3, 3)",0.3756040930747986,fp8_e1m6,23.6654052734375,1274.2445068359375,738.1441040039062,376.96832275390625,190.73207092285156,95.47712707519531,47.513763427734375,23.6654052734375,460.6076965332031,310.51788330078125,309.81689453125,309.81689453125,309.81689453125,309.81689453125
Mixed_5b.branch3x3dbl_3.bn,"(96,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
