layer,shape,max_val,best_type,best_error,fp2_e1m0_error,fp3_e1m1_error,fp4_e1m2_error,fp5_e1m3_error,fp6_e1m4_error,fp7_e1m5_error,fp8_e1m6_error,fp3_e2m0_error,fp4_e3m0_error,fp5_e4m0_error,fp6_e5m0_error,fp7_e6m0_error,fp8_e7m0_error
Conv2d_1a_3x3.conv,"(32, 3, 3, 3)",0.4024004340171814,fp8_e1m6,6.906732892275613e-07,0.0025578895583748817,0.0007042224169708788,0.00016585712728556246,4.5932061766507104e-05,1.0427676897961646e-05,2.7094781671621604e-06,6.906732892275613e-07,0.0005200859159231186,0.0004607233568094671,0.00046070298412814736,0.00046070298412814736,0.00046070298412814736,0.00046070298412814736
Conv2d_1a_3x3.bn,"(32,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Conv2d_2a_3x3.conv,"(32, 32, 3, 3)",0.9853654503822327,fp8_e1m6,2.5349750103487168e-06,0.005572410766035318,0.0021098798606544733,0.0006196618778631091,0.00016083919035736471,4.044298475491814e-05,1.0179925993725192e-05,2.5349750103487168e-06,0.0013305224711075425,0.0009431011276319623,0.0009429248166270554,0.0009429248166270554,0.0009429248166270554,0.0009429248166270554
Conv2d_2a_3x3.bn,"(32,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Conv2d_2b_3x3.conv,"(64, 32, 3, 3)",0.9677366614341736,fp8_e1m6,1.6121790622491972e-06,0.0033741560764610767,0.0013253070646896958,0.0003984516952186823,0.00010158352233702317,2.596412923594471e-05,6.426352683774894e-06,1.6121790622491972e-06,0.0006982991471886635,0.0004342671309132129,0.0004341725434642285,0.0004341725434642285,0.0004341725434642285,0.0004341725434642285
Conv2d_2b_3x3.bn,"(64,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Conv2d_3b_1x1.conv,"(80, 64, 1, 1)",1.2027746438980103,fp8_e1m6,3.5645559819386108e-06,0.007110586855560541,0.0025701113045215607,0.0007986521231941879,0.00021576567087322474,5.6690845667617396e-05,1.4550368177879136e-05,3.5645559819386108e-06,0.0016720000421628356,0.0011692721163854003,0.0011689423117786646,0.0011689423117786646,0.0011689423117786646,0.0011689423117786646
Conv2d_3b_1x1.bn,"(80,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Conv2d_4a_3x3.conv,"(192, 80, 3, 3)",0.7520069479942322,fp8_e1m6,3.948914297779993e-07,0.0008843530085869133,0.0003218281490262598,9.542491898173466e-05,2.514874176995363e-05,6.330894393613562e-06,1.5879912780292216e-06,3.948914297779993e-07,0.0001616780209587887,0.00010182287951465696,0.00010179564560530707,0.00010179564560530707,0.00010179564560530707,0.00010179564560530707
Conv2d_4a_3x3.bn,"(192,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mixed_5b.branch1x1.conv,"(64, 192, 1, 1)",0.7762024998664856,fp8_e1m6,1.0657948905645753e-06,0.002777908695861697,0.000925183470826596,0.0002621084568090737,6.89358712406829e-05,1.6968551790341735e-05,4.330921910877805e-06,1.0657948905645753e-06,0.0004756076668854803,0.00032252250821329653,0.0003224589745514095,0.0003224589745514095,0.0003224589745514095,0.0003224589745514095
Mixed_5b.branch1x1.bn,"(64,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mixed_5b.branch5x5_1.conv,"(48, 192, 1, 1)",0.6749387383460999,fp8_e1m6,8.069217187767208e-07,0.001342620118521154,0.0005568749038502574,0.0001851157721830532,5.1489914767444134e-05,1.2683656677836552e-05,3.224190777473268e-06,8.069217187767208e-07,0.0002976647228933871,0.0001666759781073779,0.0001665949384914711,0.0001665949384914711,0.0001665949384914711,0.0001665949384914711
Mixed_5b.branch5x5_1.bn,"(48,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mixed_5b.branch5x5_2.conv,"(64, 48, 5, 5)",1.1008708477020264,fp8_e1m6,2.9744722951363656e-07,0.0004760592710226774,0.00019647873705253005,6.283808761509135e-05,1.7674701666692272e-05,4.715943305200199e-06,1.1973976370427408e-06,2.9744722951363656e-07,9.793827484827489e-05,5.396552660386078e-05,5.392796083469875e-05,5.392796083469875e-05,5.392796083469875e-05,5.392796083469875e-05
Mixed_5b.branch5x5_2.bn,"(64,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mixed_5b.branch3x3dbl_1.conv,"(64, 192, 1, 1)",0.5522279739379883,fp8_e1m6,7.444190259775496e-07,0.0016516223549842834,0.000629645655862987,0.00018271920271217823,4.743895260617137e-05,1.2182033970020711e-05,2.9430211725411937e-06,7.444190259775496e-07,0.00030744890682399273,0.00018963338516186923,0.000189585771295242,0.000189585771295242,0.000189585771295242,0.000189585771295242
Mixed_5b.branch3x3dbl_1.bn,"(64,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mixed_5b.branch3x3dbl_2.conv,"(96, 64, 3, 3)",0.5184788107872009,fp8_e1m6,2.485924142092699e-07,0.0005948859616182745,0.0002211136743426323,6.236065382836387e-05,1.6090622011688538e-05,4.0044433262664825e-06,1.015316229313612e-06,2.485924142092699e-07,0.00010670090705389157,6.76848940202035e-05,6.767236482119188e-05,6.767236482119188e-05,6.767236482119188e-05,6.767236482119188e-05
Mixed_5b.branch3x3dbl_2.bn,"(96,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mixed_5b.branch3x3dbl_3.conv,"(96, 96, 3, 3)",0.3756040930747986,fp8_e1m6,1.3480791949405102e-07,0.0003658639907371253,0.00012601703929249197,3.391955033293925e-05,8.735952178540174e-06,2.1813507373735774e-06,5.457158067656565e-07,1.3480791949405102e-07,5.9190344472881407e-05,3.9508522604592144e-05,3.950189784518443e-05,3.950189784518443e-05,3.950189784518443e-05,3.950189784518443e-05
Mixed_5b.branch3x3dbl_3.bn,"(96,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mixed_5b.branch_pool.conv,"(32, 192, 1, 1)",0.6163111925125122,fp8_e1m6,8.476924335809599e-07,0.0014728589449077845,0.0005856823408976197,0.0001982382673304528,5.212505493545905e-05,1.363098908768734e-05,3.3618057386775035e-06,8.476924335809599e-07,0.00033814291236922145,0.0001981381792575121,0.000198055335204117,0.000198055335204117,0.000198055335204117,0.000198055335204117
Mixed_5b.branch_pool.bn,"(32,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mixed_5c.branch1x1.conv,"(64, 256, 1, 1)",0.7529245615005493,fp8_e1m6,1.130017494688218e-06,0.0023549660108983517,0.0008830004371702671,0.000265846261754632,7.157937216106802e-05,1.850637090683449e-05,4.551901383820223e-06,1.130017494688218e-06,0.000440876348875463,0.0002699110482353717,0.00026982714189216495,0.00026982714189216495,0.00026982714189216495,0.00026982714189216495
Mixed_5c.branch1x1.bn,"(64,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mixed_5c.branch5x5_1.conv,"(48, 256, 1, 1)",0.6950880289077759,fp8_e1m6,6.253010269574588e-07,0.0012620114721357822,0.000506273121573031,0.00015234408783726394,4.069240458193235e-05,9.993173989641946e-06,2.556231947892229e-06,6.253010269574588e-07,0.00024935149122029543,0.00014602128067053854,0.00014597868721466511,0.00014597868721466511,0.00014597868721466511,0.00014597868721466511
Mixed_5c.branch5x5_1.bn,"(48,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mixed_5c.branch5x5_2.conv,"(64, 48, 5, 5)",0.4765673577785492,fp8_e1m6,1.9716949850590026e-07,0.00036775413900613785,0.0001535960182081908,4.727956184069626e-05,1.2429080015863292e-05,3.123485612377408e-06,7.775025778755662e-07,1.9716949850590026e-07,7.214862125692889e-05,3.9394577470375225e-05,3.9380192902171984e-05,3.9380192902171984e-05,3.9380192902171984e-05,3.9380192902171984e-05
Mixed_5c.branch5x5_2.bn,"(64,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mixed_5c.branch3x3dbl_1.conv,"(64, 256, 1, 1)",0.37923985719680786,fp8_e1m6,4.1902347902578185e-07,0.0010179929668083787,0.000378768949303776,0.00010531255975365639,2.7022178983315825e-05,6.7806295191985555e-06,1.683198661339702e-06,4.1902347902578185e-07,0.00017174445383716375,0.00010694585216697305,0.00010692497016862035,0.00010692497016862035,0.00010692497016862035,0.00010692497016862035
Mixed_5c.branch3x3dbl_1.bn,"(64,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mixed_5c.branch3x3dbl_2.conv,"(96, 64, 3, 3)",0.35057613253593445,fp8_e1m6,1.6034202587889013e-07,0.00046720163663849235,0.00015464742318727076,4.090916263521649e-05,1.015620455291355e-05,2.5635508791310713e-06,6.439678372771596e-07,1.6034202587889013e-07,7.420390465995297e-05,5.169608266442083e-05,5.1689257816178724e-05,5.1689257816178724e-05,5.1689257816178724e-05,5.1689257816178724e-05
Mixed_5c.branch3x3dbl_2.bn,"(96,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mixed_5c.branch3x3dbl_3.conv,"(96, 96, 3, 3)",0.3173360526561737,fp8_e1m6,1.0669712224853356e-07,0.00033628681558184326,0.00010413239942863584,2.7130177841172554e-05,6.816379936935846e-06,1.6956308854787494e-06,4.275331946246297e-07,1.0669712224853356e-07,5.106988828629255e-05,3.7350891943788156e-05,3.7346628232626244e-05,3.7346628232626244e-05,3.7346628232626244e-05,3.7346628232626244e-05
Mixed_5c.branch3x3dbl_3.bn,"(96,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mixed_5c.branch_pool.conv,"(64, 256, 1, 1)",0.5061038136482239,fp8_e1m6,4.984590873391426e-07,0.001001053024083376,0.0003836248361039907,0.00011695146531565115,3.112384001724422e-05,7.862721759011038e-06,1.9724461708392482e-06,4.984590873391426e-07,0.00018846787861548364,0.00011038689990527928,0.00011035173520212993,0.00011035173520212993,0.00011035173520212993,0.00011035173520212993
Mixed_5c.branch_pool.bn,"(64,)",1.0,fp2_e1m0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
