layer,shape,max_val,best_type,best_error,fp2_e1m0_error,fp3_e1m1_error,fp4_e1m2_error,fp5_e1m3_error,fp6_e1m4_error,fp7_e1m5_error,fp8_e1m6_error,fp3_e2m0_error,fp4_e3m0_error,fp5_e4m0_error,fp6_e5m0_error,fp7_e6m0_error,fp8_e7m0_error
layers.0,"(40, 3, 3, 3)",2.6180765628814697,fp8_e1m6,1.1939085197809618e-05,0.04002542048692703,0.010295179672539234,0.002699977718293667,0.0007859673351049423,0.00019802013412117958,4.354281918494962e-05,1.1939085197809618e-05,0.008707622066140175,0.00756533769890666,0.0075645409524440765,0.0075645409524440765,0.0075645409524440765,0.0075645409524440765
layers.1,"(40,)",5.0238356590271,fp8_e1m6,0.00036269595148041844,1.866423487663269,0.26777395606040955,0.060318078845739365,0.021605608984827995,0.005828337278217077,0.0008553944644518197,0.00036269595148041844,0.1473623812198639,0.1473623812198639,0.1473623812198639,0.1473623812198639,0.1473623812198639,0.1473623812198639
layers.3,"(40, 1, 3, 3)",3.231733560562134,fp8_e1m6,2.6574380171950907e-05,0.060499802231788635,0.01820422150194645,0.00606076605618,0.0014187740162014961,0.0004251538193784654,9.105396020459011e-05,2.6574380171950907e-05,0.02896423637866974,0.02628445066511631,0.026281801983714104,0.026281801983714104,0.026281801983714104,0.026281801983714104
layers.4,"(40,)",5.493852615356445,fp8_e1m6,0.0002637665602378547,0.9737357497215271,0.3114185929298401,0.101152203977108,0.02097080647945404,0.005766733083873987,0.0007980700465850532,0.0002637665602378547,0.1817122995853424,0.16896039247512817,0.16896039247512817,0.16896039247512817,0.16896039247512817,0.16896039247512817
layers.6,"(24, 40, 1, 1)",1.5510858297348022,fp8_e1m6,1.1346101928211283e-05,0.024100635200738907,0.009440449997782707,0.002640792867168784,0.000756439461838454,0.0001897329930216074,4.269280543667264e-05,1.1346101928211283e-05,0.00645552109926939,0.00485744746401906,0.004856872837990522,0.004856872837990522,0.004856872837990522,0.004856872837990522
layers.7,"(24,)",7.222682476043701,fp8_e1m6,0.0003660457150544971,2.39919376373291,0.5548287630081177,0.06632086634635925,0.018943345174193382,0.0049124895595014095,0.0012411462375894189,0.0003660457150544971,2.320950508117676,2.320950508117676,2.320950508117676,2.320950508117676,2.320950508117676,2.320950508117676
layers.8.0.layers.0,"(72, 24, 1, 1)",1.7400116920471191,fp8_e1m6,7.6270011959422845e-06,0.01839296519756317,0.007536587305366993,0.001972429221495986,0.0005118553526699543,0.00012550722749438137,3.281997123849578e-05,7.6270011959422845e-06,0.006196057423949242,0.005013438407331705,0.0050130621530115604,0.0050130621530115604,0.0050130621530115604,0.0050130621530115604
layers.8.0.layers.1,"(72,)",6.452444553375244,fp8_e1m6,0.00031917300657369196,1.71548593044281,0.365231454372406,0.0863170400261879,0.017559297382831573,0.0065366649068892,0.0011105096200481057,0.00031917300657369196,0.9175933003425598,0.9085267186164856,0.9085267186164856,0.9085267186164856,0.9085267186164856,0.9085267186164856
layers.8.0.layers.3,"(72, 1, 3, 3)",0.6639442443847656,fp8_e1m6,2.818940856741392e-06,0.014360993169248104,0.0032694563269615173,0.000714330468326807,0.0001888942497316748,4.770121813635342e-05,1.1567439287318848e-05,2.818940856741392e-06,0.004059458151459694,0.00392543850466609,0.0039253681898117065,0.0039253681898117065,0.0039253681898117065,0.0039253681898117065
layers.8.0.layers.4,"(72,)",7.369487762451172,fp8_e1m6,0.00031816455884836614,2.1616694927215576,0.3798152506351471,0.08650656789541245,0.02350376360118389,0.004156005568802357,0.001256916904821992,0.00031816455884836614,0.9095177054405212,0.9095177054405212,0.9095177054405212,0.9095177054405212,0.9095177054405212,0.9095177054405212
layers.8.0.layers.6,"(32, 72, 1, 1)",1.7111480236053467,fp8_e1m6,7.900574019004125e-06,0.021159950643777847,0.006466584745794535,0.0018840961856767535,0.0005252975970506668,0.00012773185153491795,3.2102201657835394e-05,7.900574019004125e-06,0.004942933563143015,0.0039060967974364758,0.0039054916705936193,0.0039054916705936193,0.0039054916705936193,0.0039054916705936193
layers.8.0.layers.7,"(32,)",8.813579559326172,fp8_e1m6,0.0012831819476559758,9.212361335754395,0.9328521490097046,0.36490553617477417,0.08388189226388931,0.021463483572006226,0.005447279661893845,0.0012831819476559758,0.9328521490097046,0.9328521490097046,0.9328521490097046,0.9328521490097046,0.9328521490097046,0.9328521490097046
layers.8.1.layers.0,"(96, 32, 1, 1)",1.2546957731246948,fp8_e1m6,3.616622052504681e-06,0.011863060295581818,0.0035634422674775124,0.0009426502510905266,0.00022999371867626905,5.7105306041194126e-05,1.4800210919929668e-05,3.616622052504681e-06,0.0024612199049443007,0.001987204421311617,0.001987043535336852,0.001987043535336852,0.001987043535336852,0.001987043535336852
layers.8.1.layers.1,"(96,)",4.315648555755615,fp8_e1m6,0.0003499068261589855,2.0189943313598633,0.32726743817329407,0.06379201263189316,0.019311927258968353,0.004959289915859699,0.001269743894226849,0.0003499068261589855,0.11281373351812363,0.10538686811923981,0.10538686811923981,0.10538686811923981,0.10538686811923981,0.10538686811923981
layers.8.1.layers.3,"(96, 1, 3, 3)",0.9529524445533752,fp8_e1m6,3.555364855856169e-06,0.013837174512445927,0.003671834245324135,0.0009210380376316607,0.0002457212540321052,5.834770854562521e-05,1.5415233065141365e-05,3.555364855856169e-06,0.007109863217920065,0.006631829775869846,0.006631718948483467,0.006631718948483467,0.006631718948483467,0.006631718948483467
layers.8.1.layers.4,"(96,)",7.605409145355225,fp8_e1m6,0.00033350579906255007,2.4170072078704834,0.29480159282684326,0.07111971080303192,0.02176915481686592,0.005763642489910126,0.0014219647273421288,0.00033350579906255007,0.22775869071483612,0.22708436846733093,0.22708436846733093,0.22708436846733093,0.22708436846733093,0.22708436846733093
layers.8.1.layers.6,"(32, 96, 1, 1)",0.899555504322052,fp8_e1m6,3.7599172628688393e-06,0.011831364594399929,0.00369812548160553,0.0009658777853474021,0.00023511165636591613,6.088249938329682e-05,1.564277226862032e-05,3.7599172628688393e-06,0.0019391820533201098,0.001408058567903936,0.0014079073444008827,0.0014079073444008827,0.0014079073444008827,0.0014079073444008827
layers.8.1.layers.7,"(32,)",5.905526638031006,fp8_e1m6,0.00030318854260258377,1.1739704608917236,0.3320778012275696,0.06454915553331375,0.0208743866533041,0.005784031935036182,0.0012874887324869633,0.00030318854260258377,0.5649091005325317,0.5649091005325317,0.5649091005325317,0.5649091005325317,0.5649091005325317,0.5649091005325317
layers.8.2.layers.0,"(96, 32, 1, 1)",0.9480988383293152,fp8_e1m6,2.578385419838014e-06,0.008728012442588806,0.0025949757546186447,0.0006318675586953759,0.00016412264085374773,4.094334872206673e-05,9.944995326804928e-06,2.578385419838014e-06,0.002150445943698287,0.0018446355825290084,0.0018445421010255814,0.0018445421010255814,0.0018445421010255814,0.0018445421010255814
layers.8.2.layers.1,"(96,)",2.6053051948547363,fp8_e1m6,6.90539600327611e-05,0.22185802459716797,0.08600866049528122,0.021305561065673828,0.0059731220826506615,0.0012899171561002731,0.0002947236062027514,6.90539600327611e-05,0.08997088670730591,0.08997088670730591,0.08997088670730591,0.08997088670730591,0.08997088670730591,0.08997088670730591
layers.8.2.layers.3,"(96, 1, 3, 3)",1.196937084197998,fp8_e1m6,4.257461114320904e-06,0.01218058168888092,0.003955894615501165,0.0010104638058692217,0.00026037346106022596,6.171699351398274e-05,1.5327210348914377e-05,4.257461114320904e-06,0.004234861116856337,0.0037519976031035185,0.003751842537894845,0.003751842537894845,0.003751842537894845,0.003751842537894845
layers.8.2.layers.4,"(96,)",6.633100986480713,fp8_e1m6,0.00037670598248951137,2.4715452194213867,0.25268471240997314,0.08667591214179993,0.018001798540353775,0.005918952636420727,0.0011668162187561393,0.00037670598248951137,0.18196448683738708,0.18196448683738708,0.18196448683738708,0.18196448683738708,0.18196448683738708,0.18196448683738708
layers.8.2.layers.6,"(32, 96, 1, 1)",0.7572328448295593,fp8_e1m6,3.1070655950315995e-06,0.009136183187365532,0.0030192825943231583,0.0008064055582508445,0.0002058169775409624,5.2339288231451064e-05,1.2377243365335744e-05,3.1070655950315995e-06,0.0015793510247021914,0.0011257114820182323,0.0011255701538175344,0.0011255701538175344,0.0011255701538175344,0.0011255701538175344
layers.8.2.layers.7,"(32,)",8.06399154663086,fp8_e1m6,0.0010008270619437099,5.6123247146606445,1.8963253498077393,0.28393733501434326,0.08043961971998215,0.02228056825697422,0.0063665760681033134,0.0010008270619437099,1.220848560333252,1.1491279602050781,1.1491279602050781,1.1491279602050781,1.1491279602050781,1.1491279602050781
