layer,shape,max_val,best_type,best_error,fp2_e1m0_error,fp3_e1m1_error,fp4_e1m2_error,fp5_e1m3_error,fp6_e1m4_error,fp7_e1m5_error,fp8_e1m6_error,fp3_e2m0_error,fp4_e3m0_error,fp5_e4m0_error,fp6_e5m0_error,fp7_e6m0_error,fp8_e7m0_error
features.0.0,"(16, 3, 3, 3)",3.6840670108795166,fp8_e1m6,2.456915855407715,134.00831604003906,71.85401916503906,39.31635665893555,18.438915252685547,9.657438278198242,4.816007137298584,2.456915855407715,61.933326721191406,48.22178649902344,48.157806396484375,48.157806396484375,48.157806396484375,48.157806396484375
features.0.1,"(16,)",2.706590414047241,fp8_e1m6,0.12886255979537964,8.645315170288086,4.837007522583008,2.053433656692505,1.0832278728485107,0.45313847064971924,0.2269231081008911,0.12886255979537964,3.7400150299072266,3.232764720916748,3.232764720916748,3.232764720916748,3.232764720916748,3.232764720916748
features.1.block.0.0,"(16, 1, 3, 3)",4.26633882522583,fp8_e1m6,0.7209667563438416,33.142189025878906,17.143709182739258,10.313150405883789,5.906339168548584,3.023791790008545,1.4444348812103271,0.7209667563438416,18.668615341186523,14.696284294128418,14.656774520874023,14.656774520874023,14.656774520874023,14.656774520874023
features.1.block.0.1,"(16,)",3.2228639125823975,fp8_e1m6,0.10318374633789062,8.607198715209961,4.3234686851501465,2.2061562538146973,1.162796974182129,0.3361396789550781,0.22824978828430176,0.10318374633789062,7.927309036254883,7.927309036254883,7.927309036254883,7.927309036254883,7.927309036254883,7.927309036254883
features.1.block.1.0,"(16, 16, 1, 1)",1.8375147581100464,fp8_e1m6,0.8400130271911621,40.10201644897461,22.457778930664062,11.368484497070312,5.955726623535156,2.9162986278533936,1.5185350179672241,0.8400130271911621,18.873374938964844,14.632384300231934,14.581521987915039,14.581521987915039,14.581521987915039,14.581521987915039
features.1.block.1.1,"(16,)",2.337331771850586,fp8_e1m6,0.12567591667175293,5.736348628997803,4.143867015838623,2.375131368637085,1.1542384624481201,0.6090219020843506,0.27003979682922363,0.12567591667175293,3.7711734771728516,3.3780534267425537,3.3780534267425537,3.3780534267425537,3.3780534267425537,3.3780534267425537
features.2.block.0.0,"(64, 16, 1, 1)",2.3202624320983887,fp8_e1m6,3.537633180618286,128.90196228027344,80.08473205566406,48.14467239379883,25.296045303344727,13.671297073364258,6.903989791870117,3.537633180618286,73.0429458618164,50.22257995605469,49.817508697509766,49.817508697509766,49.817508697509766,49.817508697509766
features.2.block.0.1,"(64,)",7.0224928855896,fp8_e1m6,1.0797309875488281,73.9192123413086,41.54758071899414,14.354730606079102,7.406910419464111,4.005337715148926,1.8998948335647583,1.0797309875488281,34.36259460449219,32.825416564941406,32.825416564941406,32.825416564941406,32.825416564941406,32.825416564941406
features.2.block.1.0,"(64, 1, 3, 3)",0.9833481311798096,fp8_e1m6,0.9621016979217529,68.79283905029297,33.45489501953125,16.085430145263672,7.681398391723633,4.03720235824585,1.9358158111572266,0.9621016979217529,33.05736541748047,31.43290901184082,31.429609298706055,31.429607391357422,31.429607391357422,31.429607391357422
features.2.block.1.1,"(64,)",8.44907283782959,fp8_e1m6,1.9223365783691406,177.7305145263672,61.266136169433594,28.004392623901367,15.64813232421875,8.12143325805664,4.01222038269043,1.9223365783691406,31.260272979736328,29.328758239746094,29.328758239746094,29.328758239746094,29.328758239746094,29.328758239746094
features.2.block.2.0,"(24, 64, 1, 1)",2.643199920654297,fp8_e1m6,5.943325042724609,263.0653076171875,154.4035186767578,84.32606506347656,45.97865295410156,23.637657165527344,12.098834037780762,5.943325042724609,113.52555847167969,76.77030944824219,76.2674789428711,76.26742553710938,76.26742553710938,76.26742553710938
features.2.block.2.1,"(24,)",7.317737102508545,fp8_e1m6,0.4361226558685303,22.528783798217773,12.920982360839844,5.669658660888672,3.3537724018096924,1.5472280979156494,0.826026201248169,0.4361226558685303,22.528783798217773,22.528783798217773,22.528783798217773,22.528783798217773,22.528783798217773,22.528783798217773
features.3.block.0.0,"(72, 24, 1, 1)",1.7267124652862549,fp8_e1m6,4.137495040893555,209.08535766601562,121.20944213867188,63.551025390625,32.308013916015625,16.06818389892578,8.348687171936035,4.137495040893555,97.32148742675781,72.60295104980469,72.45478057861328,72.45478057861328,72.45478057861328,72.45478057861328
features.3.block.0.1,"(72,)",5.056327819824219,fp8_e1m6,1.1121299266815186,91.12319946289062,39.227394104003906,14.747802734375,7.6740522384643555,4.292985916137695,2.342764377593994,1.1121299266815186,22.764842987060547,22.036088943481445,22.036088943481445,22.036088943481445,22.036088943481445,22.036088943481445
features.3.block.1.0,"(72, 1, 3, 3)",2.4063985347747803,fp8_e1m6,1.7749637365341187,96.14915466308594,54.35321044921875,26.65204620361328,13.912301063537598,7.054258823394775,3.4612607955932617,1.7749637365341187,52.097434997558594,42.7950553894043,42.71567916870117,42.71567916870117,42.71567916870117,42.71567916870117
features.3.block.1.1,"(72,)",5.251339912414551,fp8_e1m6,1.0942331552505493,110.13758850097656,30.60682487487793,15.794416427612305,9.917455673217773,4.428309440612793,2.0710058212280273,1.0942331552505493,25.08629608154297,25.08629608154297,25.08629608154297,25.08629608154297,25.08629608154297,25.08629608154297
features.3.block.2.0,"(24, 72, 1, 1)",1.3054872751235962,fp8_e1m6,3.964162826538086,214.19281005859375,121.11521911621094,61.35577392578125,31.779773712158203,15.439685821533203,7.957033634185791,3.964162826538086,83.36333465576172,60.94615936279297,60.84834671020508,60.84834671020508,60.84834671020508,60.84834671020508
features.3.block.2.1,"(24,)",9.616073608398438,fp8_e1m6,0.7586131691932678,50.7310905456543,31.800477981567383,11.106992721557617,5.324512481689453,3.3387889862060547,1.5816502571105957,0.7586131691932678,27.30265998840332,25.699481964111328,25.699481964111328,25.699481964111328,25.699481964111328,25.699481964111328
features.4.block.0.0,"(72, 24, 1, 1)",2.834456205368042,fp8_e1m6,5.0113301277160645,249.7572784423828,140.29977416992188,75.49683380126953,39.73260498046875,19.998510360717773,9.769817352294922,5.0113301277160645,113.03724670410156,84.85026550292969,84.5361099243164,84.5361099243164,84.5361099243164,84.5361099243164
features.4.block.0.1,"(72,)",4.633650779724121,fp8_e1m6,1.14754319190979,68.04779052734375,41.79127883911133,18.67740249633789,8.76340389251709,4.39862060546875,2.2240633964538574,1.14754319190979,37.3359375,37.32169723510742,37.32169723510742,37.32169723510742,37.32169723510742,37.32169723510742
features.4.block.1.0,"(72, 1, 5, 5)",1.0695686340332031,fp8_e1m6,3.0929219722747803,143.81185913085938,83.13908386230469,49.33418273925781,25.188251495361328,12.623733520507812,6.247273921966553,3.0929219722747803,75.37572479248047,53.40071105957031,53.2137451171875,53.2137451171875,53.2137451171875,53.2137451171875
features.4.block.1.1,"(72,)",5.106038570404053,fp8_e1m6,1.1512434482574463,103.35689544677734,26.856048583984375,17.41817855834961,8.160037994384766,4.6927056312561035,2.3227169513702393,1.1512434482574463,27.031566619873047,27.031566619873047,27.031566619873047,27.031566619873047,27.031566619873047,27.031566619873047
features.4.block.2.fc1,"(24, 72, 1, 1)",5.1468880712945975e-08,fp8_e1m6,6.127298490810063e-08,3.521073494994198e-06,1.9380554476811085e-06,9.60898205448757e-07,4.889455453849223e-07,2.4066366677288897e-07,1.2714369290733885e-07,6.127298490810063e-08,1.305748924096406e-06,9.785812835616525e-07,9.773768852028297e-07,9.773768852028297e-07,9.773768852028297e-07,9.773768852028297e-07
features.4.block.2.fc2,"(72, 24, 1, 1)",3.1405583911237045e-08,fp8_e1m6,6.573857547209627e-08,3.0751020858588163e-06,1.7813126760302112e-06,9.663517630542628e-07,5.238191533862846e-07,2.591348220448708e-07,1.2849343988818873e-07,6.573857547209627e-08,1.4034213791092043e-06,1.0073218845718657e-06,1.003944475996832e-06,1.003944475996832e-06,1.003944475996832e-06,1.003944475996832e-06
features.4.block.3.0,"(40, 72, 1, 1)",2.049621343612671,fp8_e1m6,7.395183563232422,400.66705322265625,224.06390380859375,114.24856567382812,58.394935607910156,28.789443969726562,14.808707237243652,7.395183563232422,161.73318481445312,119.84616088867188,119.62123107910156,119.62123107910156,119.62123107910156,119.62123107910156
features.4.block.3.1,"(40,)",5.591551303863525,fp8_e1m6,0.6848633289337158,25.271581649780273,21.316078186035156,9.305898666381836,5.082036972045898,2.5724704265594482,1.2765123844146729,0.6848633289337158,23.16440200805664,23.16440200805664,23.16440200805664,23.16440200805664,23.16440200805664,23.16440200805664
