layer,shape,max_val,best_type,best_error,fp2_e1m0_error,fp3_e1m1_error,fp4_e1m2_error,fp5_e1m3_error,fp6_e1m4_error,fp7_e1m5_error,fp8_e1m6_error,fp3_e2m0_error,fp4_e3m0_error,fp5_e4m0_error,fp6_e5m0_error,fp7_e6m0_error,fp8_e7m0_error
features.0.0,"(16, 3, 3, 3)",3.6840670108795166,fp8_e1m6,5.2059724112041295e-05,0.1819823533296585,0.04655303806066513,0.013638067990541458,0.0029802233912050724,0.0008217045105993748,0.00019677776435855776,5.2059724112041295e-05,0.055868979543447495,0.050246238708496094,0.050244782119989395,0.050244782119989395,0.050244782119989395,0.050244782119989395
features.0.1,"(16,)",2.706590414047241,fp8_e1m6,8.797769260127097e-05,0.34625113010406494,0.10823187232017517,0.021245192736387253,0.006085730157792568,0.0011631560046225786,0.0002795022155623883,8.797769260127097e-05,0.08686275780200958,0.08078185468912125,0.08078185468912125,0.08078185468912125,0.08078185468912125,0.08078185468912125
features.1.block.0.0,"(16, 1, 3, 3)",4.26633882522583,fp8_e1m6,4.657520184991881e-05,0.12820103764533997,0.032197006046772,0.009893511421978474,0.0033429949544370174,0.0008874860359355807,0.00021069760259706527,4.657520184991881e-05,0.04593830183148384,0.04152807965874672,0.0415252149105072,0.0415252149105072,0.0415252149105072,0.0415252149105072
features.1.block.0.1,"(16,)",3.2228639125823975,fp8_e1m6,6.434082752093673e-05,0.40065380930900574,0.08965681493282318,0.02349080517888069,0.007188315503299236,0.0007300553261302412,0.00030861044069752097,6.434082752093673e-05,0.36647480726242065,0.36647480726242065,0.36647480726242065,0.36647480726242065,0.36647480726242065,0.36647480726242065
features.1.block.1.0,"(16, 16, 1, 1)",1.8375147581100464,fp8_e1m6,1.5142615666263737e-05,0.04411199688911438,0.012500201351940632,0.0030735775362700224,0.000818302039988339,0.00019658624660223722,4.9843416491057724e-05,1.5142615666263737e-05,0.01580492965877056,0.014416231773793697,0.01441494282335043,0.01441494282335043,0.01441494282335043,0.01441494282335043
features.1.block.1.1,"(16,)",2.337331771850586,fp8_e1m6,8.411100134253502e-05,0.17982926964759827,0.08029916882514954,0.025026176124811172,0.005949725396931171,0.0016902205534279346,0.000366071704775095,8.411100134253502e-05,0.06865248829126358,0.06363847851753235,0.06363847851753235,0.06363847851753235,0.06363847851753235,0.06363847851753235
features.2.block.0.0,"(64, 16, 1, 1)",2.3202624320983887,fp8_e1m6,1.9089493434876204e-05,0.034385863691568375,0.010929513722658157,0.00373229687102139,0.0009928439976647496,0.00028092629509046674,7.158610969781876e-05,1.9089493434876204e-05,0.014621623791754246,0.012453739531338215,0.012450071051716805,0.012450071051716805,0.012450071051716805,0.012450071051716805
features.2.block.0.1,"(64,)",7.0224928855896,fp8_e1m6,0.0003703247639350593,1.5739612579345703,0.4984418749809265,0.07285069674253464,0.018570853397250175,0.005283459089696407,0.001171266078017652,0.0003703247639350593,0.6065585613250732,0.5945493578910828,0.5945493578910828,0.5945493578910828,0.5945493578910828,0.5945493578910828
features.2.block.1.0,"(64, 1, 3, 3)",0.9833481311798096,fp8_e1m6,3.998314241471235e-06,0.020217204466462135,0.004813731648027897,0.001114669139496982,0.0002532012003939599,6.971552647883072e-05,1.6300842617056333e-05,3.998314241471235e-06,0.007281122263520956,0.007140151225030422,0.0071401349268853664,0.0071401349268853664,0.0071401349268853664,0.0071401349268853664
features.2.block.1.1,"(64,)",8.44907283782959,fp8_e1m6,0.001183370128273964,8.591638565063477,1.3126152753829956,0.273185670375824,0.08011912554502487,0.021316785365343094,0.005265173967927694,0.001183370128273964,0.3749319612979889,0.3452385365962982,0.3452385365962982,0.3452385365962982,0.3452385365962982,0.3452385365962982
