layer,shape,max_val,best_type,best_error,fp2_e1m0_error,fp3_e1m1_error,fp4_e1m2_error,fp5_e1m3_error,fp6_e1m4_error,fp7_e1m5_error,fp8_e1m6_error,fp3_e2m0_error,fp4_e3m0_error,fp5_e4m0_error,fp6_e5m0_error,fp7_e6m0_error,fp8_e7m0_error
conv1,"(64, 3, 7, 7)",1.8893070220947266,best,23.985675811767578,955.1657104492188,602.5186767578125,345.1741943359375,185.4080047607422,95.4544677734375,47.943084716796875,inf,inf,inf,inf,inf,inf,inf
bn1,"(64,)",9.644447326660156,best,2.1150636672973633,129.07240295410156,100.93851470947266,21.286243438720703,16.54969024658203,6.727346420288086,4.051226615905762,inf,inf,inf,inf,inf,inf,inf
layer1.0.conv1,"(64, 64, 1, 1)",1.534404993057251,best,6.515047550201416,243.20626831054688,165.91104125976562,97.23196411132812,51.36000061035156,27.02513885498047,12.979143142700195,inf,inf,inf,inf,inf,inf,inf
layer1.0.bn1,"(64,)",4.394206523895264,best,0.9883798360824585,86.40911865234375,35.615501403808594,16.76813507080078,8.338522911071777,4.236425399780273,2.2256855964660645,inf,inf,inf,inf,inf,inf,inf
layer1.0.conv2,"(64, 64, 3, 3)",1.2274601459503174,best,27.648910522460938,1008.79638671875,695.44677734375,413.58477783203125,216.75970458984375,109.31108093261719,55.176971435546875,inf,inf,inf,inf,inf,inf,inf
layer1.0.bn2,"(64,)",3.5977470874786377,best,0.4522542953491211,43.485084533691406,17.10526466369629,8.491186141967773,4.639793872833252,1.9767664670944214,0.8796814680099487,inf,inf,inf,inf,inf,inf,inf
layer1.0.conv3,"(256, 64, 1, 1)",0.8309586048126221,best,11.29051399230957,507.86767578125,310.88623046875,170.76998901367188,88.96441650390625,45.21571350097656,22.63161849975586,inf,inf,inf,inf,inf,inf,inf
layer1.0.bn3,"(256,)",6.891922473907471,best,4.0019636154174805,282.738525390625,125.59945678710938,67.14293670654297,31.496326446533203,16.763484954833984,7.97826623916626,inf,inf,inf,inf,inf,inf,inf
layer1.0.downsample.0,"(256, 64, 1, 1)",1.6051031351089478,best,24.765960693359375,883.38671875,587.2339477539062,354.45660400390625,194.85501098632812,99.21670532226562,49.48427963256836,inf,inf,inf,inf,inf,inf,inf
layer1.0.downsample.1,"(256,)",7.907654285430908,best,4.044208526611328,294.7748718261719,132.05198669433594,66.76000213623047,33.66999816894531,15.652965545654297,8.428746223449707,inf,inf,inf,inf,inf,inf,inf
layer1.1.conv1,"(64, 256, 1, 1)",0.9195119142532349,best,14.47039794921875,600.4808959960938,398.1744079589844,219.5172882080078,114.0981216430664,56.789405822753906,28.900484085083008,inf,inf,inf,inf,inf,inf,inf
layer1.1.bn1,"(64,)",4.822342395782471,best,0.9418408274650574,90.23430633544922,33.82741928100586,16.925495147705078,7.4679341316223145,3.8325438499450684,2.0159919261932373,inf,inf,inf,inf,inf,inf,inf
layer1.1.conv2,"(64, 64, 3, 3)",1.1552479267120361,best,32.778350830078125,1242.149169921875,832.6915283203125,488.5958251953125,258.8664855957031,130.2694091796875,65.24751281738281,inf,inf,inf,inf,inf,inf,inf
layer1.1.bn2,"(64,)",3.4516897201538086,best,0.5295006036758423,25.503093719482422,16.350278854370117,8.152453422546387,3.8055977821350098,2.0006399154663086,1.1288293600082397,inf,inf,inf,inf,inf,inf,inf
layer1.1.conv3,"(256, 64, 1, 1)",0.8851325511932373,best,12.713092803955078,582.1334838867188,363.668212890625,201.71966552734375,102.0230712890625,51.420310974121094,25.644725799560547,inf,inf,inf,inf,inf,inf,inf
layer1.1.bn3,"(256,)",3.3543107509613037,best,1.918710470199585,107.93598937988281,57.266029357910156,28.136377334594727,15.153465270996094,7.007245063781738,3.471830368041992,inf,inf,inf,inf,inf,inf,inf
layer1.2.conv1,"(64, 256, 1, 1)",0.7732142210006714,best,13.76618766784668,664.0614013671875,411.2434387207031,218.85577392578125,110.5743408203125,55.39319610595703,27.35458755493164,inf,inf,inf,inf,inf,inf,inf
layer1.2.bn1,"(64,)",3.199765205383301,best,0.4724503755569458,17.72142219543457,13.711163520812988,9.741766929626465,3.808084011077881,1.9066892862319946,1.0762864351272583,inf,inf,inf,inf,inf,inf,inf
layer1.2.conv2,"(64, 64, 3, 3)",0.8935753703117371,best,26.934829711914062,1333.50439453125,817.3384399414062,429.558837890625,216.38360595703125,107.74430847167969,54.00267028808594,inf,inf,inf,inf,inf,inf,inf
layer1.2.bn2,"(64,)",4.240090370178223,best,0.9660741090774536,93.48005676269531,30.918556213378906,19.019142150878906,9.190779685974121,3.852919101715088,2.0747718811035156,inf,inf,inf,inf,inf,inf,inf
layer1.2.conv3,"(256, 64, 1, 1)",0.6557719707489014,best,11.195011138916016,557.79345703125,331.8204040527344,177.45587158203125,89.10581970214844,44.08298873901367,22.022987365722656,inf,inf,inf,inf,inf,inf,inf
layer1.2.bn3,"(256,)",3.0039799213409424,best,1.790469765663147,94.1111831665039,55.662933349609375,25.198589324951172,13.001115798950195,7.272633075714111,3.218478202819824,inf,inf,inf,inf,inf,inf,inf
layer2.0.conv1,"(128, 256, 1, 1)",1.037050724029541,best,33.31834411621094,1448.6158447265625,933.0509033203125,520.3150634765625,266.6380920410156,132.45175170898438,66.2298583984375,inf,inf,inf,inf,inf,inf,inf
layer2.0.bn1,"(128,)",3.858121633529663,best,1.0150165557861328,55.867340087890625,32.82082748413086,16.8698673248291,8.3330659866333,4.137355327606201,1.8831453323364258,inf,inf,inf,inf,inf,inf,inf
layer2.0.conv2,"(128, 128, 3, 3)",0.4713819622993469,best,62.462982177734375,3342.35986328125,1936.4593505859375,999.5517578125,500.66973876953125,249.73922729492188,125.3239974975586,inf,inf,inf,inf,inf,inf,inf
layer2.0.bn2,"(128,)",2.5694613456726074,best,0.9980390071868896,52.090057373046875,33.1702880859375,18.214399337768555,8.130847930908203,4.043281555175781,1.9891564846038818,inf,inf,inf,inf,inf,inf,inf
layer2.0.conv3,"(512, 128, 1, 1)",0.8026211857795715,best,41.16904067993164,1813.841064453125,1174.25732421875,646.1572875976562,329.60443115234375,164.67153930664062,82.01748657226562,inf,inf,inf,inf,inf,inf,inf
layer2.0.bn3,"(512,)",6.633885860443115,best,4.469162940979004,294.76177978515625,143.0392303466797,76.20820617675781,35.947444915771484,18.86966896057129,9.527149200439453,inf,inf,inf,inf,inf,inf,inf
layer2.0.downsample.0,"(512, 256, 1, 1)",1.4953793287277222,best,77.62144470214844,2721.2958984375,1865.14892578125,1114.04736328125,605.2648315429688,310.9881286621094,154.75686645507812,inf,inf,inf,inf,inf,inf,inf
layer2.0.downsample.1,"(512,)",5.912856101989746,best,5.978202819824219,414.3325500488281,208.07684326171875,103.02552795410156,49.35537338256836,24.575206756591797,12.063011169433594,inf,inf,inf,inf,inf,inf,inf
layer2.1.conv1,"(128, 512, 1, 1)",0.7689409852027893,best,34.97483825683594,1146.5159912109375,810.0511474609375,495.06396484375,268.781494140625,137.7558135986328,69.32371520996094,inf,inf,inf,inf,inf,inf,inf
layer2.1.bn1,"(128,)",2.8670570850372314,best,1.0005762577056885,84.39051818847656,31.04276466369629,16.24453353881836,8.633936882019043,3.5244829654693604,2.019010543823242,inf,inf,inf,inf,inf,inf,inf
layer2.1.conv2,"(128, 128, 3, 3)",0.6519728302955627,best,72.34680938720703,2753.447265625,1889.31396484375,1103.01953125,577.3480834960938,290.04095458984375,144.9297332763672,inf,inf,inf,inf,inf,inf,inf
layer2.1.bn2,"(128,)",3.028136968612671,best,0.9603012800216675,77.5232162475586,32.40940475463867,14.955726623535156,8.130278587341309,3.6263914108276367,2.1773345470428467,inf,inf,inf,inf,inf,inf,inf
layer2.1.conv3,"(512, 128, 1, 1)",0.8584754467010498,best,32.88240051269531,1276.57861328125,859.7178955078125,490.605224609375,260.36572265625,131.34317016601562,65.56376647949219,inf,inf,inf,inf,inf,inf,inf
layer2.1.bn3,"(512,)",4.6882100105285645,best,6.425472259521484,270.6461486816406,167.73521423339844,89.29096984863281,48.4766845703125,24.18450164794922,12.186089515686035,inf,inf,inf,inf,inf,inf,inf
layer2.2.conv1,"(128, 512, 1, 1)",0.8961858749389648,best,41.598384857177734,1437.447509765625,1032.6278076171875,622.6446533203125,329.17413330078125,165.46746826171875,82.83161926269531,inf,inf,inf,inf,inf,inf,inf
layer2.2.bn1,"(128,)",2.5640621185302734,best,0.9631673693656921,81.11660766601562,30.31584358215332,16.826826095581055,8.547754287719727,3.9488227367401123,1.8760836124420166,inf,inf,inf,inf,inf,inf,inf
layer2.2.conv2,"(128, 128, 3, 3)",0.6794301271438599,best,61.14267349243164,2605.1083984375,1727.5467529296875,959.2413330078125,490.64080810546875,244.46482849121094,122.16990661621094,inf,inf,inf,inf,inf,inf,inf
layer2.2.bn2,"(128,)",2.931674003601074,best,1.0126612186431885,58.966651916503906,30.14986801147461,17.004831314086914,9.05229377746582,4.153113842010498,2.055441379547119,inf,inf,inf,inf,inf,inf,inf
layer2.2.conv3,"(512, 128, 1, 1)",0.8148179054260254,best,30.848804473876953,1334.656005859375,868.9075927734375,479.39300537109375,246.90689086914062,123.73236846923828,61.96857452392578,inf,inf,inf,inf,inf,inf,inf
layer2.2.bn3,"(512,)",3.2215819358825684,best,3.782701015472412,217.061279296875,116.07237243652344,61.98480224609375,29.634376525878906,15.225969314575195,8.042572975158691,inf,inf,inf,inf,inf,inf,inf
layer2.3.conv1,"(128, 512, 1, 1)",0.4523930847644806,best,31.481189727783203,1463.9984130859375,936.4019775390625,501.24267578125,253.02175903320312,126.11318969726562,63.21611022949219,inf,inf,inf,inf,inf,inf,inf
layer2.3.bn1,"(128,)",2.4162611961364746,best,1.0129284858703613,78.37567138671875,34.79385757446289,16.424827575683594,8.948760986328125,3.8321685791015625,2.028029203414917,inf,inf,inf,inf,inf,inf,inf
layer2.3.conv2,"(128, 128, 3, 3)",0.4573722183704376,best,58.40398025512695,2934.19287109375,1788.843017578125,931.5144653320312,468.964111328125,233.62387084960938,116.74378204345703,inf,inf,inf,inf,inf,inf,inf
layer2.3.bn2,"(128,)",2.5532565116882324,best,1.0658304691314697,49.7725944519043,31.6427001953125,17.10235595703125,8.664739608764648,4.046086311340332,1.8665263652801514,inf,inf,inf,inf,inf,inf,inf
layer2.3.conv3,"(512, 128, 1, 1)",0.6222138404846191,best,29.370807647705078,1451.384765625,893.1423950195312,468.5010681152344,236.06661987304688,117.62562561035156,58.95440673828125,inf,inf,inf,inf,inf,inf,inf
layer2.3.bn3,"(512,)",2.9621975421905518,best,4.069373607635498,259.5193176269531,125.78504943847656,60.166507720947266,29.429025650024414,15.986845016479492,7.479196548461914,inf,inf,inf,inf,inf,inf,inf
layer2.4.conv1,"(128, 512, 1, 1)",0.5617599487304688,best,34.306488037109375,1401.726806640625,942.8749389648438,532.3074951171875,274.24566650390625,137.3905029296875,68.71763610839844,inf,inf,inf,inf,inf,inf,inf
layer2.4.bn1,"(128,)",2.222785711288452,best,0.9607879519462585,70.40603637695312,40.139122009277344,17.036251068115234,6.85783576965332,3.9012606143951416,1.993079662322998,inf,inf,inf,inf,inf,inf,inf
layer2.4.conv2,"(128, 128, 3, 3)",0.4887690842151642,best,51.376590728759766,2715.819091796875,1596.367919921875,821.3141479492188,409.8092346191406,205.2595977783203,102.8708267211914,inf,inf,inf,inf,inf,inf,inf
