layer,shape,max_val,best_type,best_error,fp2_e1m0_error,fp3_e1m1_error,fp4_e1m2_error,fp5_e1m3_error,fp6_e1m4_error,fp7_e1m5_error,fp8_e1m6_error,fp3_e2m0_error,fp4_e3m0_error,fp5_e4m0_error,fp6_e5m0_error,fp7_e6m0_error,fp8_e7m0_error
conv1,"(64, 3, 7, 7)",1.8893070220947266,best,1.0711658433137927e-05,0.021555393934249878,0.007633988279849291,0.0023287043441087008,0.00064936897251755,0.0001705876929918304,4.28086168540176e-05,inf,inf,inf,inf,inf,inf,inf
bn1,"(64,)",9.644447326660156,best,0.0013739971909672022,4.413856506347656,2.6554884910583496,0.16635487973690033,0.09234622865915298,0.015609157271683216,0.005155565217137337,inf,inf,inf,inf,inf,inf,inf
layer1.0.conv1,"(64, 64, 1, 1)",1.534404993057251,best,4.397686552692903e-06,0.006771488580852747,0.0028762700967490673,0.0009655216126702726,0.0002736921014729887,7.680978160351515e-05,1.7669281078269705e-05,inf,inf,inf,inf,inf,inf,inf
layer1.0.bn1,"(64,)",4.394206523895264,best,0.0003064927877858281,1.9691129922866821,0.38181227445602417,0.0873221829533577,0.021465841680765152,0.005442026071250439,0.0015147991944104433,inf,inf,inf,inf,inf,inf,inf
layer1.0.conv2,"(64, 64, 3, 3)",1.2274601459503174,best,1.4176079048411339e-06,0.0018398016691207886,0.000811950652860105,0.0002981389407068491,8.459061791654676e-05,2.182516982429661e-05,5.579225216933992e-06,inf,inf,inf,inf,inf,inf,inf
layer1.0.bn2,"(64,)",3.5977470874786377,best,6.624886009376496e-05,0.5402158498764038,0.09041684120893478,0.021592050790786743,0.0065475511364638805,0.0013463256182149053,0.00027495354879647493,inf,inf,inf,inf,inf,inf,inf
layer1.0.conv3,"(256, 64, 1, 1)",0.8309586048126221,best,1.0404232853034046e-06,0.002274711150676012,0.0008115472737699747,0.00023892000899650156,6.394132651621476e-05,1.6713882359908894e-05,4.1904741010512225e-06,inf,inf,inf,inf,inf,inf,inf
layer1.0.bn3,"(256,)",6.891922473907471,best,0.0003239789220970124,1.7138988971710205,0.3179400563240051,0.08959423005580902,0.019971953704953194,0.005584413185715675,0.0012947558425366879,inf,inf,inf,inf,inf,inf,inf
layer1.0.downsample.0,"(256, 64, 1, 1)",1.6051031351089478,best,4.45521163783269e-06,0.006902880035340786,0.002535854000598192,0.0008848222787491977,0.0002711820707190782,7.144977280404419e-05,1.7927177395904437e-05,inf,inf,inf,inf,inf,inf,inf
layer1.0.downsample.1,"(256,)",7.907654285430908,best,0.000335348944645375,1.9932661056518555,0.3643135130405426,0.08908911794424057,0.022867809981107712,0.0049651325680315495,0.0014057925436645746,inf,inf,inf,inf,inf,inf,inf
layer1.1.conv1,"(64, 256, 1, 1)",0.9195119142532349,best,1.2901398349640658e-06,0.0025691906921565533,0.001016154419630766,0.0003043538308702409,8.287964010378346e-05,2.016662256210111e-05,5.232963303569704e-06,inf,inf,inf,inf,inf,inf,inf
layer1.1.bn1,"(64,)",4.822342395782471,best,0.0002930225455202162,2.119785785675049,0.3570704460144043,0.09297790378332138,0.019090695306658745,0.004889951087534428,0.0013419982278719544,inf,inf,inf,inf,inf,inf,inf
layer1.1.conv2,"(64, 64, 3, 3)",1.1552479267120361,best,1.4225614677343401e-06,0.0022297922987490892,0.0009048691135831177,0.0003052840766031295,8.833262836560607e-05,2.2555122995981947e-05,5.6385447351203766e-06,inf,inf,inf,inf,inf,inf,inf
layer1.1.bn2,"(64,)",3.4516897201538086,best,8.973514195531607e-05,0.25050976872444153,0.08578447997570038,0.021738966926932335,0.004759062081575394,0.001233753515407443,0.0003823761362582445,inf,inf,inf,inf,inf,inf,inf
layer1.1.conv3,"(256, 64, 1, 1)",0.8851325511932373,best,1.1151032595080324e-06,0.002409267472103238,0.0008954214863479137,0.0002788275887724012,7.142139656934887e-05,1.8240716599393636e-05,4.54072687716689e-06,inf,inf,inf,inf,inf,inf,inf
layer1.1.bn3,"(256,)",3.3543107509613037,best,7.719676796114072e-05,0.2776254415512085,0.07468005269765854,0.017786197364330292,0.005107571370899677,0.0011299249017611146,0.0002667865774128586,inf,inf,inf,inf,inf,inf,inf
layer1.2.conv1,"(64, 256, 1, 1)",0.7732142210006714,best,1.064994194166502e-06,0.0026158387772738934,0.0009483402827754617,0.0002652234979905188,6.868906348245218e-05,1.7342121282126755e-05,4.203464413876645e-06,inf,inf,inf,inf,inf,inf,inf
layer1.2.bn1,"(64,)",3.199765205383301,best,7.4542906077113e-05,0.12798628211021423,0.059083350002765656,0.028072437271475792,0.0048939865082502365,0.001180324936285615,0.00036938473931513727,inf,inf,inf,inf,inf,inf,inf
layer1.2.conv2,"(64, 64, 3, 3)",0.8935753703117371,best,8.425205351159093e-07,0.002098317490890622,0.0007599510718137026,0.00021125219063833356,5.438022344605997e-05,1.3476967069436796e-05,3.388998493392137e-06,inf,inf,inf,inf,inf,inf,inf
layer1.2.bn2,"(64,)",4.240090370178223,best,0.0003110732650384307,2.2434771060943604,0.28843018412590027,0.10250182449817657,0.02571774646639824,0.004866729956120253,0.00139378581661731,inf,inf,inf,inf,inf,inf,inf
layer1.2.conv3,"(256, 64, 1, 1)",0.6557719707489014,best,8.068461170296359e-07,0.00219530938193202,0.000726936268620193,0.0002042652922682464,5.095057713333517e-05,1.2625474482774734e-05,3.116671678071725e-06,inf,inf,inf,inf,inf,inf,inf
layer1.2.bn3,"(256,)",3.0039799213409424,best,7.160312816267833e-05,0.2256646454334259,0.07544508576393127,0.015944410115480423,0.004032814875245094,0.0012357045197859406,0.0002459205570630729,inf,inf,inf,inf,inf,inf,inf
layer2.0.conv1,"(128, 256, 1, 1)",1.037050724029541,best,1.6120159216370666e-06,0.0032453506719321012,0.0012416262179613113,0.0003859369608107954,0.00010319597640773281,2.546252653701231e-05,6.3427801251236815e-06,inf,inf,inf,inf,inf,inf,inf
layer2.0.bn1,"(128,)",3.858121633529663,best,8.405077096540481e-05,0.31356748938560486,0.0876961201429367,0.022589849308133125,0.005494058132171631,0.0013966846745461226,0.00029599625850096345,inf,inf,inf,inf,inf,inf,inf
layer2.0.conv2,"(128, 128, 3, 3)",0.4713819622993469,best,2.78856703062047e-07,0.0008076249505393207,0.0002643164771143347,7.087935955496505e-05,1.790630631148815e-05,4.434664333530236e-06,1.118051500270667e-06,inf,inf,inf,inf,inf,inf,inf
layer2.0.bn2,"(128,)",2.5694613456726074,best,7.881517376517877e-05,0.23124206066131592,0.0834314227104187,0.02500997856259346,0.005315541755408049,0.001323777949437499,0.0003207871923223138,inf,inf,inf,inf,inf,inf,inf
layer2.0.conv3,"(512, 128, 1, 1)",0.8026211857795715,best,7.956465424285852e-07,0.0015540877357125282,0.0006186990067362785,0.00019090453861281276,5.059436080045998e-05,1.271254677703837e-05,3.143694812024478e-06,inf,inf,inf,inf,inf,inf,inf
layer2.0.bn3,"(512,)",6.633885860443115,best,0.00012605813390109688,0.5829436779022217,0.12461835891008377,0.03599874675273895,0.007787909358739853,0.002152861561626196,0.0005461435066536069,inf,inf,inf,inf,inf,inf,inf
layer2.0.downsample.0,"(512, 256, 1, 1)",1.4953793287277222,best,8.159797744156094e-07,0.0009152377024292946,0.00040138495387509465,0.00015096153947524726,4.8726098611950874e-05,1.3114661669533234e-05,3.2456432563776616e-06,inf,inf,inf,inf,inf,inf,inf
layer2.0.downsample.1,"(512,)",5.912856101989746,best,0.00020113741629756987,0.8918156623840332,0.2287164330482483,0.05878671631217003,0.013539917767047882,0.0033792294561862946,0.0008263562922365963,inf,inf,inf,inf,inf,inf,inf
layer2.1.conv1,"(128, 512, 1, 1)",0.7689409852027893,best,4.899500822830305e-07,0.0006005847826600075,0.00026508697192184627,9.706516721053049e-05,2.8795677280868404e-05,7.647948223166168e-06,1.919957412610529e-06,inf,inf,inf,inf,inf,inf,inf
layer2.1.bn1,"(128,)",2.8670570850372314,best,8.171558874892071e-05,0.4955045282840729,0.0787251889705658,0.020919594913721085,0.006055151578038931,0.0010654507204890251,0.0003303567646071315,inf,inf,inf,inf,inf,inf,inf
layer2.1.conv2,"(128, 128, 3, 3)",0.6519728302955627,best,4.3396448745625094e-07,0.0006640992942266166,0.00028473848942667246,9.81890843831934e-05,2.729248626565095e-05,6.971917173359543e-06,1.7371316971548367e-06,inf,inf,inf,inf,inf,inf,inf
layer2.1.bn2,"(128,)",3.028136968612671,best,7.730593642918393e-05,0.43988096714019775,0.08698968589305878,0.018811261281371117,0.005480308085680008,0.0010819805320352316,0.00037443317705765367,inf,inf,inf,inf,inf,inf,inf
layer2.1.conv3,"(512, 128, 1, 1)",0.8584754467010498,best,6.465643878073024e-07,0.0009684537653811276,0.00041156221413984895,0.00013649204629473388,4.016244565718807e-05,1.0280464266543277e-05,2.5640674721216783e-06,inf,inf,inf,inf,inf,inf,inf
layer2.1.bn3,"(512,)",4.6882100105285645,best,0.00024171688710339367,0.5602799654006958,0.19293811917304993,0.05093073099851608,0.014711465686559677,0.003612568136304617,0.000886335619725287,inf,inf,inf,inf,inf,inf,inf
layer2.2.conv1,"(128, 512, 1, 1)",0.8961858749389648,best,6.449321858781332e-07,0.0008793834713287652,0.00040275021456182003,0.00014331148122437298,4.02908626710996e-05,1.0212111192231532e-05,2.5552178612997523e-06,inf,inf,inf,inf,inf,inf,inf
layer2.2.bn1,"(128,)",2.5640621185302734,best,7.870231638662517e-05,0.47154736518859863,0.0746663436293602,0.021974869072437286,0.005804806482046843,0.0013136619236320257,0.0003015822439920157,inf,inf,inf,inf,inf,inf,inf
layer2.2.conv2,"(128, 128, 3, 3)",0.6794301271438599,best,2.931517713022913e-07,0.0005383121315389872,0.0002213241095887497,6.976697477512062e-05,1.8823384380084462e-05,4.713075668405509e-06,1.1664257044685655e-06,inf,inf,inf,inf,inf,inf,inf
layer2.2.bn2,"(128,)",2.931674003601074,best,8.316696766996756e-05,0.29815757274627686,0.07302646338939667,0.021678663790225983,0.00614636205136776,0.0013620059471577406,0.0003377519897185266,inf,inf,inf,inf,inf,inf,inf
layer2.2.conv3,"(512, 128, 1, 1)",0.8148179054260254,best,4.5721944275101123e-07,0.0008319971966557205,0.00033461092971265316,0.00010578690853435546,2.892513839469757e-05,7.352142347372137e-06,1.8400636463411502e-06,inf,inf,inf,inf,inf,inf,inf
layer2.2.bn3,"(512,)",3.2215819358825684,best,7.376457506325096e-05,0.2715907394886017,0.07334432750940323,0.02052442729473114,0.00472832378000021,0.001210646005347371,0.0003337665693834424,inf,inf,inf,inf,inf,inf,inf
layer2.3.conv1,"(128, 512, 1, 1)",0.4523930847644806,best,3.5007317933377635e-07,0.0007991809397935867,0.00030593713745474815,8.832137245917693e-05,2.2616968635702506e-05,5.605902515526395e-06,1.4105735317571089e-06,inf,inf,inf,inf,inf,inf,inf
layer2.3.bn1,"(128,)",2.4162611961364746,best,8.296196756418794e-05,0.43304702639579773,0.09256411343812943,0.0208100825548172,0.0062083899974823,0.0012117167934775352,0.00033078930573537946,inf,inf,inf,inf,inf,inf,inf
layer2.3.conv2,"(128, 128, 3, 3)",0.4573722183704376,best,2.486160326498066e-07,0.0006304664420895278,0.00022878471645526588,6.281975947786123e-05,1.6020136172301136e-05,3.975880190409953e-06,9.947381158781354e-07,inf,inf,inf,inf,inf,inf,inf
layer2.3.bn2,"(128,)",2.5532565116882324,best,8.882943802746013e-05,0.22077670693397522,0.07913689315319061,0.02233867160975933,0.005858954042196274,0.0013485499657690525,0.00028431182727217674,inf,inf,inf,inf,inf,inf,inf
layer2.3.conv3,"(512, 128, 1, 1)",0.6222138404846191,best,3.485202455522085e-07,0.0008624496404081583,0.00031508487882092595,8.806611003819853e-05,2.2488839022116736e-05,5.603576937573962e-06,1.404106342306477e-06,inf,inf,inf,inf,inf,inf,inf
layer2.3.bn3,"(512,)",2.9621975421905518,best,8.402686944464222e-05,0.34490132331848145,0.08370160311460495,0.019620994105935097,0.00461245933547616,0.0013306771870702505,0.00029214596725068986,inf,inf,inf,inf,inf,inf,inf
layer2.4.conv1,"(128, 512, 1, 1)",0.5617599487304688,best,4.2594052729327814e-07,0.0007793443510308862,0.0003214666503481567,0.00010142182873096317,2.7115744160255417e-05,6.804373697377741e-06,1.7063732684619026e-06,inf,inf,inf,inf,inf,inf,inf
layer2.4.bn1,"(128,)",2.222785711288452,best,7.33966298867017e-05,0.3507300019264221,0.11426971852779388,0.024024149402976036,0.004144430160522461,0.0012571500847116113,0.00032542095868848264,inf,inf,inf,inf,inf,inf,inf
