layer,shape,max_val,best_type,best_error,fp2_e1m0_error,fp3_e1m1_error,fp4_e1m2_error,fp5_e1m3_error,fp6_e1m4_error,fp7_e1m5_error,fp8_e1m6_error,fp3_e2m0_error,fp4_e3m0_error,fp5_e4m0_error,fp6_e5m0_error,fp7_e6m0_error,fp8_e7m0_error
conv1,"(64, 3, 7, 7)",2.5455985069274902,fp8_e1m6,29.21421241760254,1085.479736328125,685.1703491210938,405.8571472167969,222.98895263671875,116.77230834960938,58.3294563293457,29.21421241760254,515.9278564453125,311.39483642578125,308.63348388671875,308.63348388671875,308.63348388671875,308.63348388671875
bn1,"(64,)",7.714588642120361,fp8_e1m6,1.0305458307266235,103.64812469482422,23.156381607055664,18.948448181152344,7.323185920715332,3.7933812141418457,1.881869912147522,1.0305458307266235,28.42995834350586,28.42995834350586,28.42995834350586,28.42995834350586,28.42995834350586,28.42995834350586
layer1.0.conv1,"(256, 64, 1, 1)",2.027123212814331,fp8_e1m6,23.668235778808594,734.105712890625,497.25238037109375,310.14312744140625,176.66397094726562,93.03096771240234,46.826141357421875,23.668235778808594,382.1404724121094,207.99168395996094,205.2582244873047,205.25819396972656,205.25819396972656,205.25819396972656
layer1.0.bn1,"(256,)",4.21907377243042,fp8_e1m6,3.150733470916748,226.5194549560547,107.07601165771484,49.65670394897461,24.94709014892578,12.270517349243164,5.553406715393066,3.150733470916748,68.44163513183594,62.04096603393555,62.04096603393555,62.04096603393555,62.04096603393555,62.04096603393555
layer1.0.conv2,"(256, 4, 3, 3)",1.4099490642547607,fp8_e1m6,13.041488647460938,529.1683349609375,348.05615234375,196.66552734375,103.13235473632812,51.837188720703125,25.60851287841797,13.041488647460938,258.0692138671875,155.67662048339844,154.83279418945312,154.83279418945312,154.83279418945312,154.83279418945312
layer1.0.bn2,"(256,)",5.166105270385742,fp8_e1m6,2.891261577606201,244.09124755859375,111.88060760498047,43.780555725097656,24.44801902770996,11.140275001525879,5.95496940612793,2.891261577606201,58.59088897705078,56.539306640625,56.539306640625,56.539306640625,56.539306640625,56.539306640625
layer1.0.conv3,"(256, 256, 1, 1)",1.4554930925369263,fp8_e1m6,64.36895751953125,2249.61376953125,1588.82373046875,950.3416137695312,506.1597900390625,256.8717346191406,129.00384521484375,64.36895751953125,1072.54296875,521.560546875,516.857421875,516.8572998046875,516.8572998046875,516.8572998046875
layer1.0.bn3,"(256,)",5.763731956481934,fp8_e1m6,3.9766361713409424,311.30511474609375,120.46014404296875,65.6089859008789,32.858882904052734,15.667293548583984,8.067911148071289,3.9766361713409424,107.80854797363281,106.53083801269531,106.53083801269531,106.53083801269531,106.53083801269531,106.53083801269531
layer1.0.downsample.0,"(256, 64, 1, 1)",1.2221907377243042,fp8_e1m6,20.515148162841797,838.392578125,545.6591796875,313.07440185546875,162.385009765625,82.09272766113281,40.9236946105957,20.515148162841797,391.02447509765625,232.9425048828125,231.74586486816406,231.74586486816406,231.74586486816406,231.74586486816406
layer1.0.downsample.1,"(256,)",6.926845550537109,fp8_e1m6,4.0306501388549805,256.57342529296875,122.73267364501953,64.00714111328125,30.65851593017578,15.978628158569336,7.886194229125977,4.0306501388549805,112.38700866699219,108.12218475341797,108.05883026123047,108.05883026123047,108.05883026123047,108.05883026123047
layer1.1.conv1,"(256, 256, 1, 1)",1.172145128250122,fp8_e1m6,56.48369216918945,2215.693115234375,1548.48095703125,880.031982421875,450.42803955078125,225.91453552246094,113.16532897949219,56.48369216918945,988.3765869140625,502.2039489746094,499.24652099609375,499.2464599609375,499.2464599609375,499.2464599609375
layer1.1.bn1,"(256,)",3.857191562652588,fp8_e1m6,1.91367769241333,140.4364013671875,66.46463012695312,30.127347946166992,15.566839218139648,8.06222915649414,3.896974563598633,1.91367769241333,66.56855010986328,65.63470458984375,65.63470458984375,65.63470458984375,65.63470458984375,65.63470458984375
layer1.1.conv2,"(256, 4, 3, 3)",1.0771368741989136,fp8_e1m6,10.70925235748291,510.2338562011719,303.29345703125,165.03688049316406,85.26922607421875,42.79425048828125,21.65001106262207,10.70925235748291,229.69107055664062,157.20164489746094,156.55416870117188,156.55410766601562,156.55410766601562,156.55410766601562
layer1.1.bn2,"(256,)",5.357972145080566,fp8_e1m6,3.052385091781616,257.0853576660156,91.75743103027344,45.77758026123047,24.11526107788086,12.474578857421875,6.033843517303467,3.052385091781616,70.3530502319336,69.42483520507812,69.42483520507812,69.42483520507812,69.42483520507812,69.42483520507812
layer1.1.conv3,"(256, 256, 1, 1)",0.8274813294410706,fp8_e1m6,54.250431060791016,2274.12939453125,1517.326416015625,854.918701171875,435.60357666015625,217.10089111328125,108.35201263427734,54.250431060791016,982.096435546875,529.9861450195312,527.4000244140625,527.3999633789062,527.3999633789062,527.3999633789062
layer1.1.bn3,"(256,)",6.360452175140381,fp8_e1m6,2.9847607612609863,225.9956817626953,92.17367553710938,46.82666015625,22.53781509399414,10.995223999023438,6.085353851318359,2.9847607612609863,81.05033111572266,74.50399780273438,74.49150085449219,74.49150085449219,74.49150085449219,74.49150085449219
layer1.2.conv1,"(256, 256, 1, 1)",0.5883867144584656,fp8_e1m6,45.406158447265625,2117.951904296875,1334.9278564453125,719.54541015625,362.48223876953125,181.661376953125,90.88426208496094,45.406158447265625,845.88671875,501.6936950683594,499.8941345214844,499.8940734863281,499.8940734863281,499.8940734863281
layer1.2.bn1,"(256,)",2.4705634117126465,fp8_e1m6,1.9897245168685913,165.2833709716797,61.247371673583984,32.644622802734375,16.24752426147461,8.055048942565918,3.981661558151245,1.9897245168685913,60.379127502441406,60.379127502441406,60.379127502441406,60.379127502441406,60.379127502441406,60.379127502441406
layer1.2.conv2,"(256, 4, 3, 3)",0.9376120567321777,fp8_e1m6,8.856417655944824,505.8097839355469,276.26837158203125,141.90257263183594,70.58961486816406,35.79353332519531,17.740238189697266,8.856417655944824,201.96653747558594,154.1429901123047,153.9217071533203,153.92169189453125,153.92169189453125,153.92169189453125
layer1.2.bn2,"(256,)",4.066176891326904,fp8_e1m6,2.9871256351470947,245.93804931640625,101.17656707763672,51.65100860595703,24.03746795654297,11.784306526184082,5.859694004058838,2.9871256351470947,70.91513061523438,70.91264343261719,70.91264343261719,70.91264343261719,70.91264343261719,70.91264343261719
layer1.2.conv3,"(256, 256, 1, 1)",0.7247481942176819,fp8_e1m6,43.56435775756836,2056.43994140625,1288.8994140625,688.075439453125,346.677734375,173.65953063964844,86.73033142089844,43.56435775756836,813.7132568359375,493.4132080078125,491.6904296875,491.69036865234375,491.69036865234375,491.69036865234375
layer1.2.bn3,"(256,)",4.286499977111816,fp8_e1m6,3.0963289737701416,206.87057495117188,101.53428649902344,46.195960998535156,24.158531188964844,10.921630859375,5.900116920471191,3.0963289737701416,94.91487121582031,89.64083099365234,89.55857849121094,89.55857849121094,89.55857849121094,89.55857849121094
layer2.0.conv1,"(512, 256, 1, 1)",1.2072094678878784,fp8_e1m6,117.0151596069336,4669.0927734375,3150.25341796875,1786.4384765625,932.5650634765625,467.4677734375,233.59844970703125,117.0151596069336,2044.840087890625,1088.1890869140625,1081.5977783203125,1081.59765625,1081.59765625,1081.59765625
layer2.0.bn1,"(512,)",2.8472371101379395,fp8_e1m6,4.07176399230957,228.75613403320312,134.68887329101562,63.98680877685547,32.399078369140625,16.176597595214844,7.817431926727295,4.07176399230957,136.56948852539062,136.56948852539062,136.56948852539062,136.56948852539062,136.56948852539062,136.56948852539062
layer2.0.conv2,"(512, 8, 3, 3)",0.41712263226509094,fp8_e1m6,23.32829475402832,1117.836181640625,656.0302734375,366.2000732421875,186.91250610351562,93.89859008789062,47.30021286010742,23.32829475402832,536.1085205078125,383.8608703613281,382.827880859375,382.827880859375,382.827880859375,382.827880859375
layer2.0.bn2,"(512,)",4.206721782684326,fp8_e1m6,6.149478435516357,496.81982421875,200.16299438476562,80.30215454101562,43.397483825683594,23.328372955322266,11.71299934387207,6.149478435516357,106.39633178710938,106.39633178710938,106.39633178710938,106.39633178710938,106.39633178710938,106.39633178710938
