layer,shape,max_val,best_type,best_error,fp2_e1m0_error,fp3_e1m1_error,fp4_e1m2_error,fp5_e1m3_error,fp6_e1m4_error,fp7_e1m5_error,fp8_e1m6_error,fp3_e2m0_error,fp4_e3m0_error,fp5_e4m0_error,fp6_e5m0_error,fp7_e6m0_error,fp8_e7m0_error
conv1,"(64, 3, 7, 7)",2.5455985069274902,fp8_e1m6,1.58659640874248e-05,0.029359417036175728,0.010143307968974113,0.0032604308798909187,0.0009393991786055267,0.0002534613886382431,6.382491119438782e-05,1.58659640874248e-05,0.007124532479792833,0.00504785543307662,0.0050457245670259,0.0050457245670259,0.0050457245670259,0.0050457245670259
bn1,"(64,)",7.714588642120361,fp8_e1m6,0.0003405722673051059,2.8529305458068848,0.2009488344192505,0.11286897957324982,0.01869366504251957,0.004905364476144314,0.0011719433823600411,0.0003405722673051059,0.518088698387146,0.518088698387146,0.518088698387146,0.518088698387146,0.518088698387146,0.518088698387146
layer1.0.conv1,"(256, 64, 1, 1)",2.027123212814331,fp8_e1m6,4.512306077231187e-06,0.004960421472787857,0.0019527222029864788,0.0007238113321363926,0.00023788769613020122,6.768678576918319e-05,1.748608519847039e-05,4.512306077231187e-06,0.0017454931512475014,0.001222078688442707,0.001221106038428843,0.001221106038428843,0.001221106038428843,0.001221106038428843
layer1.0.bn1,"(256,)",4.21907377243042,fp8_e1m6,0.00022587977582588792,1.0022897720336914,0.24988634884357452,0.05367109179496765,0.013923116028308868,0.003476168494671583,0.0007060815114527941,0.00022587977582588792,0.11409454047679901,0.10257277637720108,0.10257277637720108,0.10257277637720108,0.10257277637720108,0.10257277637720108
layer1.0.conv2,"(256, 4, 3, 3)",1.4099490642547607,fp8_e1m6,3.570976105038426e-06,0.007264645770192146,0.0027794395573437214,0.0008354760939255357,0.0002242910850327462,5.7361128710908815e-05,1.376857289869804e-05,3.570976105038426e-06,0.002263628877699375,0.001714902464300394,0.0017145687015727162,0.0017145687015727162,0.0017145687015727162,0.0017145687015727162
layer1.0.bn2,"(256,)",5.166105270385742,fp8_e1m6,0.00019259117834735662,1.0910441875457764,0.2876521944999695,0.0436304435133934,0.013622323051095009,0.0029678374994546175,0.0008210078813135624,0.00019259117834735662,0.08876650035381317,0.08475950360298157,0.08475950360298157,0.08475950360298157,0.08475950360298157,0.08475950360298157
layer1.0.conv3,"(256, 256, 1, 1)",1.4554930925369263,fp8_e1m6,1.7685525790511747e-06,0.002271226141601801,0.0010007272940129042,0.000358621240593493,0.00010568834841251373,2.7984500775346532e-05,7.104793439793866e-06,1.7685525790511747e-06,0.0005641028983518481,0.00029500952223315835,0.00029477349016815424,0.00029477349016815424,0.00029477349016815424,0.00029477349016815424
layer1.0.bn3,"(256,)",5.763731956481934,fp8_e1m6,0.00033122627064585686,1.7910332679748535,0.3000567555427551,0.08579441905021667,0.02182937040925026,0.005040708929300308,0.001330072758719325,0.00033122627064585686,0.2657546103000641,0.26325908303260803,0.26325908303260803,0.26325908303260803,0.26325908303260803,0.26325908303260803
layer1.0.downsample.0,"(256, 64, 1, 1)",1.2221907377243042,fp8_e1m6,2.7891464924323373e-06,0.005462363827973604,0.001995653612539172,0.0006400345591828227,0.0001729935611365363,4.5425109419738874e-05,1.1105830708402209e-05,2.7891464924323373e-06,0.001389946904964745,0.00097754062153399,0.0009772880002856255,0.0009772880002856255,0.0009772880002856255,0.0009772880002856255
layer1.0.downsample.1,"(256,)",6.926845550537109,fp8_e1m6,0.0003226357221137732,1.3795278072357178,0.31408175826072693,0.08468516916036606,0.019551144912838936,0.005215314216911793,0.0012639304623007774,0.0003226357221137732,0.32598555088043213,0.3192540407180786,0.3192478120326996,0.3192478120326996,0.3192478120326996,0.3192478120326996
layer1.1.conv1,"(256, 256, 1, 1)",1.172145128250122,fp8_e1m6,1.186218923976412e-06,0.0020069689489901066,0.0008881661342456937,0.00028298847610130906,7.548066787421703e-05,1.8960538000101224e-05,4.7644521146139596e-06,1.186218923976412e-06,0.0004250418860465288,0.00022213066404219717,0.00022203853586688638,0.00022203853586688638,0.00022203853586688638,0.00022203853586688638
layer1.1.bn1,"(256,)",3.857191562652588,fp8_e1m6,7.733473466942087e-05,0.3948858380317688,0.09190960973501205,0.019429311156272888,0.0050007039681077,0.0013363442849367857,0.0003194363962393254,7.733473466942087e-05,0.1142064556479454,0.11329449713230133,0.11329449713230133,0.11329449713230133,0.11329449713230133,0.11329449713230133
layer1.1.conv2,"(256, 4, 3, 3)",1.0771368741989136,fp8_e1m6,2.1595644739136333e-06,0.0054918029345571995,0.0018091421807184815,0.0005229714442975819,0.00013710634084418416,3.4898552257800475e-05,8.819004506221972e-06,2.1595644739136333e-06,0.001548167085275054,0.0012424964224919677,0.001242301077581942,0.001242301077581942,0.001242301077581942,0.001242301077581942
layer1.1.bn2,"(256,)",5.357972145080566,fp8_e1m6,0.00021936430130153894,1.361262321472168,0.18989387154579163,0.04898986220359802,0.012405609712004662,0.0034662215039134026,0.0008193472167477012,0.00021936430130153894,0.11200392246246338,0.11043421179056168,0.11043421179056168,0.11043421179056168,0.11043421179056168,0.11043421179056168
layer1.1.conv3,"(256, 256, 1, 1)",0.8274813294410706,fp8_e1m6,1.1074297390223364e-06,0.002079661935567856,0.0008526635938324034,0.0002713333524297923,7.157363870646805e-05,1.7828770069172606e-05,4.428913598530926e-06,1.1074297390223364e-06,0.00042537733679637313,0.00023559224791824818,0.0002355125907342881,0.0002355125907342881,0.0002355125907342881,0.0002355125907342881
layer1.1.bn3,"(256,)",6.360452175140381,fp8_e1m6,0.00020106398733332753,1.114230751991272,0.2019473910331726,0.05182354897260666,0.012117452919483185,0.0028194948099553585,0.0008307232055813074,0.00020106398733332753,0.18934637308120728,0.1787857711315155,0.17878514528274536,0.17878514528274536,0.17878514528274536,0.17878514528274536
layer1.2.conv1,"(256, 256, 1, 1)",0.5883867144584656,fp8_e1m6,7.354080935328966e-07,0.001677276217378676,0.0006359404651448131,0.0001842944766394794,4.700300996773876e-05,1.1770855053327978e-05,2.9487907795555657e-06,7.354080935328966e-07,0.00031154832686297596,0.00019287908799014986,0.00019283598521724343,0.00019283598521724343,0.00019283598521724343,0.00019283598521724343
layer1.2.bn1,"(256,)",2.4705634117126465,fp8_e1m6,8.038945816224441e-05,0.4835864305496216,0.07719579339027405,0.021331049501895905,0.005318256560713053,0.0013180250534787774,0.00032354588620364666,8.038945816224441e-05,0.0755000039935112,0.0755000039935112,0.0755000039935112,0.0755000039935112,0.0755000039935112,0.0755000039935112
layer1.2.conv2,"(256, 4, 3, 3)",0.9376120567321777,fp8_e1m6,1.3131351579431794e-06,0.004466530866920948,0.0012741942191496491,0.00033421916305087507,8.305922528961673e-05,2.1335914425435476e-05,5.27228712599026e-06,1.3131351579431794e-06,0.0009826663881540298,0.000834501173812896,0.0008344522211700678,0.0008344522211700678,0.0008344522211700678,0.0008344522211700678
layer1.2.bn2,"(256,)",4.066176891326904,fp8_e1m6,0.00019612538744695485,1.2313454151153564,0.21686992049217224,0.05905821919441223,0.013247114606201649,0.003154822625219822,0.0007721450529061258,0.00019612538744695485,0.09917373955249786,0.0991697832942009,0.0991697832942009,0.0991697832942009,0.0991697832942009,0.0991697832942009
layer1.2.conv3,"(256, 256, 1, 1)",0.7247481942176819,fp8_e1m6,7.442185960826464e-07,0.0017020103987306356,0.0006360109546221793,0.00018271639419253916,4.691473804996349e-05,1.175818579213228e-05,2.935474640253233e-06,7.442185960826464e-07,0.0003060526796616614,0.0001911157014546916,0.00019106880063191056,0.00019106880063191056,0.00019106880063191056,0.00019106880063191056
layer1.2.bn3,"(256,)",4.286499977111816,fp8_e1m6,0.00020947970915585756,0.9491472244262695,0.23756392300128937,0.04899836331605911,0.014110218733549118,0.0028623640537261963,0.0007838227320462465,0.00020947970915585756,0.24602475762367249,0.2375808209180832,0.23757494986057281,0.23757494986057281,0.23757494986057281,0.23757494986057281
layer2.0.conv1,"(512, 256, 1, 1)",1.2072094678878784,fp8_e1m6,1.3102262528263964e-06,0.002178163267672062,0.0009165965020656586,0.0002947213943116367,8.232300751842558e-05,2.0951421902282164e-05,5.227383553574327e-06,1.3102262528263964e-06,0.0004660891427192837,0.00025742428260855377,0.0002573007659520954,0.0002573007659520954,0.0002573007659520954,0.0002573007659520954
layer2.0.bn1,"(512,)",2.8472371101379395,fp8_e1m6,8.36063627502881e-05,0.27348700165748596,0.089761883020401,0.020716892555356026,0.005293196067214012,0.0013326298212632537,0.00031222382676787674,8.36063627502881e-05,0.09407088160514832,0.09407088160514832,0.09407088160514832,0.09407088160514832,0.09407088160514832,0.09407088160514832
layer2.0.conv2,"(512, 8, 3, 3)",0.41712263226509094,fp8_e1m6,6.054241339370492e-07,0.001552102854475379,0.00048256260924972594,0.0001490374852437526,3.8790643884567544e-05,9.750385288498364e-06,2.4800813207548345e-06,6.054241339370492e-07,0.00042798518552444875,0.00034586444962769747,0.00034582376247271895,0.00034582376247271895,0.00034582376247271895,0.00034582376247271895
layer2.0.bn2,"(512,)",4.206721782684326,fp8_e1m6,0.00021412040223367512,1.232187032699585,0.2527303099632263,0.04036129266023636,0.011052466928958893,0.0030766278505325317,0.0007769518415443599,0.00021412040223367512,0.0696014016866684,0.0696014016866684,0.0696014016866684,0.0696014016866684,0.0696014016866684,0.0696014016866684
layer2.0.conv3,"(512, 512, 1, 1)",0.9181857109069824,fp8_e1m6,7.668851935704879e-07,0.0011739794863387942,0.0004992031026631594,0.00017038980149663985,4.8165868065552786e-05,1.224949664901942e-05,3.0632259040430654e-06,7.668851935704879e-07,0.00027145983767695725,0.00014718988677486777,0.00014711133553646505,0.00014711133553646505,0.00014711133553646505,0.00014711133553646505
layer2.0.bn3,"(512,)",5.420421123504639,fp8_e1m6,0.0003206611145287752,2.239718198776245,0.28101617097854614,0.08434978127479553,0.0196689423173666,0.005254796240478754,0.0012773685157299042,0.0003206611145287752,0.12483946233987808,0.11456580460071564,0.11456580460071564,0.11456580460071564,0.11456580460071564,0.11456580460071564
layer2.0.downsample.0,"(512, 256, 1, 1)",1.5258280038833618,fp8_e1m6,6.154357947707467e-07,0.000546347931958735,0.00024443032452836633,9.429570491192862e-05,3.157762694172561e-05,9.259791113436222e-06,2.4603814381407574e-06,6.154357947707467e-07,0.00015670656284783036,8.385278488276526e-05,8.371546573471278e-05,8.371546573471278e-05,8.371546573471278e-05,8.371546573471278e-05
layer2.0.downsample.1,"(512,)",2.958526372909546,fp8_e1m6,6.258930079638958e-05,0.2244018018245697,0.07996790111064911,0.018022585660219193,0.004447415471076965,0.0009868720080703497,0.00028556445613503456,6.258930079638958e-05,0.02932199090719223,0.020533764734864235,0.020533721894025803,0.020533721894025803,0.020533721894025803,0.020533721894025803
layer2.1.conv1,"(512, 512, 1, 1)",0.7532620429992676,fp8_e1m6,3.7836352362319303e-07,0.000542991328984499,0.00024303985992446542,8.385533874388784e-05,2.3574582883156836e-05,6.007842330291169e-06,1.4954398466215935e-06,3.7836352362319303e-07,0.00012676126789301634,6.425366154871881e-05,6.421505531761795e-05,6.421505531761795e-05,6.421505531761795e-05,6.421505531761795e-05
layer2.1.bn1,"(512,)",2.494509220123291,fp8_e1m6,6.458806456066668e-05,0.4999966323375702,0.04626045748591423,0.01778525486588478,0.004227576777338982,0.0011088098399341106,0.0002576365659479052,6.458806456066668e-05,0.052278488874435425,0.05227471888065338,0.05227471888065338,0.05227471888065338,0.05227471888065338,0.05227471888065338
layer2.1.conv2,"(512, 8, 3, 3)",0.6910187005996704,fp8_e1m6,9.016193871502765e-07,0.0022021320182830095,0.0008044539135880768,0.00022017107403371483,5.770649295300245e-05,1.4348583135870285e-05,3.592555003706366e-06,9.016193871502765e-07,0.0004442694189492613,0.0003119168395642191,0.0003118612803518772,0.0003118612803518772,0.0003118612803518772,0.0003118612803518772
layer2.1.bn2,"(512,)",4.556511878967285,fp8_e1m6,0.00018849846674129367,1.1799668073654175,0.2521757483482361,0.056054674088954926,0.014119790866971016,0.0030642414931207895,0.000780539121478796,0.00018849846674129367,0.09643755108118057,0.09547647833824158,0.09547647833824158,0.09547647833824158,0.09547647833824158,0.09547647833824158
layer2.1.conv3,"(512, 512, 1, 1)",0.8632078766822815,fp8_e1m6,3.935388690479158e-07,0.000710494292434305,0.00029364143847487867,9.352648339699954e-05,2.4955988919828087e-05,6.295955245150253e-06,1.581266701577988e-06,3.935388690479158e-07,0.00014829073916189373,8.264326606877148e-05,8.261168841272593e-05,8.261168841272593e-05,8.261168841272593e-05,8.261168841272593e-05
layer2.1.bn3,"(512,)",6.09562349319458,fp8_e1m6,0.00014101169654168189,0.592589259147644,0.17457140982151031,0.040146589279174805,0.009527001529932022,0.0023091542534530163,0.0005712020792998374,0.00014101169654168189,0.12312502413988113,0.10653255134820938,0.10653255134820938,0.10653255134820938,0.10653255134820938,0.10653255134820938
layer2.2.conv1,"(512, 512, 1, 1)",0.6974519491195679,fp8_e1m6,4.4226516138223815e-07,0.0006813070503994823,0.0003015479596797377,0.00010066519462270662,2.765012686722912e-05,7.114873824320966e-06,1.772710220393492e-06,4.4226516138223815e-07,0.00014930343604646623,7.536278280895203e-05,7.532155723311007e-05,7.532155723311007e-05,7.532155723311007e-05,7.532155723311007e-05
layer2.2.bn1,"(512,)",2.5546133518218994,fp8_e1m6,6.912805838510394e-05,0.46126654744148254,0.05673984810709953,0.017646031454205513,0.004233907908201218,0.0010131322778761387,0.00024492110242135823,6.912805838510394e-05,0.06477038562297821,0.06470943987369537,0.06470943987369537,0.06470943987369537,0.06470943987369537,0.06470943987369537
layer2.2.conv2,"(512, 8, 3, 3)",0.650332510471344,fp8_e1m6,6.491662816188182e-07,0.0017816738691180944,0.0005915373330935836,0.00016450535622425377,4.1923813114408404e-05,1.0366403330408502e-05,2.6083603188453708e-06,6.491662816188182e-07,0.00036499163252301514,0.0002728419203776866,0.00027281043003313243,0.00027281043003313243,0.00027281043003313243,0.00027281043003313243
layer2.2.bn2,"(512,)",4.015584468841553,fp8_e1m6,0.000153561239130795,0.7492431998252869,0.19678959250450134,0.03314002603292465,0.008793851360678673,0.0023508742451667786,0.0005269976682029665,0.000153561239130795,0.08609665930271149,0.08264704048633575,0.08264704048633575,0.08264704048633575,0.08264704048633575,0.08264704048633575
layer2.2.conv3,"(512, 512, 1, 1)",0.8504918813705444,fp8_e1m6,3.2870613608793064e-07,0.000618930789642036,0.00024651939747855067,7.664728036615998e-05,2.0729075913550332e-05,5.261218120722333e-06,1.314837049903872e-06,3.2870613608793064e-07,0.00012416456593200564,7.190385076683015e-05,7.187564187915996e-05,7.187564187915996e-05,7.187564187915996e-05,7.187564187915996e-05
layer2.2.bn3,"(512,)",4.418004035949707,fp8_e1m6,0.00014357618056237698,0.573460578918457,0.16987958550453186,0.037469737231731415,0.00874403677880764,0.002291732933372259,0.0005498890532180667,0.00014357618056237698,0.08465728163719177,0.0711090937256813,0.0711090937256813,0.0711090937256813,0.0711090937256813,0.0711090937256813
layer2.3.conv1,"(512, 512, 1, 1)",0.5965108275413513,fp8_e1m6,3.6174444062453404e-07,0.0007087127305567265,0.00028713617939502,8.807325502857566e-05,2.2921860363567248e-05,5.778683771495707e-06,1.4491861293208785e-06,3.6174444062453404e-07,0.0001375975552946329,7.72194325691089e-05,7.719387213001028e-05,7.719387213001028e-05,7.719387213001028e-05,7.719387213001028e-05
layer2.3.bn1,"(512,)",2.9164276123046875,fp8_e1m6,5.388986028265208e-05,0.3248872756958008,0.04450364410877228,0.01367773674428463,0.003556573763489723,0.0007580507663078606,0.0002073007490253076,5.388986028265208e-05,0.07929880917072296,0.07929880917072296,0.07929880917072296,0.07929880917072296,0.07929880917072296,0.07929880917072296
layer2.3.conv2,"(512, 8, 3, 3)",0.7328540086746216,fp8_e1m6,7.011828984104795e-07,0.0016375590348616242,0.000591443560551852,0.0001727916533127427,4.481746145756915e-05,1.1290231668681372e-05,2.8079673484171508e-06,7.011828984104795e-07,0.00034642143873497844,0.0002381417143624276,0.0002380992955295369,0.0002380992955295369,0.0002380992955295369,0.0002380992955295369
layer2.3.bn2,"(512,)",3.3603250980377197,fp8_e1m6,6.558519817190245e-05,0.4268440902233124,0.05879361554980278,0.016831174492836,0.004431270062923431,0.0010182277765125036,0.000268627074547112,6.558519817190245e-05,0.07165027409791946,0.07165027409791946,0.07165027409791946,0.07165027409791946,0.07165027409791946,0.07165027409791946
layer2.3.conv3,"(512, 512, 1, 1)",0.7264452576637268,fp8_e1m6,3.1173519232652325e-07,0.000600383325945586,0.00024030593340285122,7.407492375932634e-05,1.978502950805705e-05,4.993641596229281e-06,1.2525206329883076e-06,3.1173519232652325e-07,0.00011715047003235668,6.66291598463431e-05,6.660580402240157e-05,6.660580402240157e-05,6.660580402240157e-05,6.660580402240157e-05
layer2.3.bn3,"(512,)",4.160728454589844,fp8_e1m6,0.00014082228881306946,0.618184506893158,0.17121466994285583,0.036328237503767014,0.009264571592211723,0.0022935348097234964,0.0005532252253033221,0.00014082228881306946,0.05668986961245537,0.04307807236909866,0.04307620972394943,0.04307620972394943,0.04307620972394943,0.04307620972394943
layer3.0.conv1,"(1024, 512, 1, 1)",0.9426210522651672,fp8_e1m6,5.65949676456512e-07,0.0009949448285624385,0.00041423202492296696,0.00013299826241564006,3.593200381146744e-05,9.093269909499213e-06,2.263955366288428e-06,5.65949676456512e-07,0.0002033388300333172,0.00010925759852398187,0.0001092103193514049,0.0001092103193514049,0.0001092103193514049,0.0001092103193514049
layer3.0.bn1,"(1024,)",2.529674768447876,fp8_e1m6,7.250599446706474e-05,0.4038771986961365,0.08866772800683975,0.018532615154981613,0.0045841410756111145,0.0012162671191617846,0.00028956850292161107,7.250599446706474e-05,0.10895386338233948,0.10895386338233948,0.10895386338233948,0.10895386338233948,0.10895386338233948,0.10895386338233948
layer3.0.conv2,"(1024, 16, 3, 3)",0.39818692207336426,fp8_e1m6,4.2132029420827166e-07,0.0007281384314410388,0.00028713102801702917,9.939441952155903e-05,2.7039646738558076e-05,6.769425908714766e-06,1.6937657392190886e-06,4.2132029420827166e-07,0.00023614635574631393,0.00016655570652801543,0.00016651995247229934,0.00016651995247229934,0.00016651995247229934,0.00016651995247229934
layer3.0.bn2,"(1024,)",2.889259099960327,fp8_e1m6,8.067104499787092e-05,0.6385902166366577,0.045683473348617554,0.016049973666667938,0.005044600926339626,0.001220238977111876,0.00034765596501529217,8.067104499787092e-05,0.04694055765867233,0.04694055765867233,0.04694055765867233,0.04694055765867233,0.04694055765867233,0.04694055765867233
layer3.0.conv3,"(1024, 1024, 1, 1)",1.0472928285598755,fp8_e1m6,3.2580274478277715e-07,0.0005405941628850996,0.0002220441965619102,7.209541945485398e-05,2.0068859157618135e-05,5.166557457414456e-06,1.297313019676949e-06,3.2580274478277715e-07,0.00011311108391964808,6.216764450073242e-05,6.213431333890185e-05,6.213431333890185e-05,6.213431333890185e-05,6.213431333890185e-05
layer3.0.bn3,"(1024,)",5.404519557952881,fp8_e1m6,0.00021707522682845592,1.4886949062347412,0.2225549817085266,0.06335613876581192,0.014419511891901493,0.0037484033964574337,0.0009607195388525724,0.00021707522682845592,0.2814134359359741,0.2769019901752472,0.2769019901752472,0.2769019901752472,0.2769019901752472,0.2769019901752472
layer3.0.downsample.0,"(1024, 512, 1, 1)",0.7730002999305725,fp8_e1m6,1.6082898923741595e-07,0.0002506700693629682,0.00010757973359432071,3.594140798668377e-05,1.0063442459795624e-05,2.565895556472242e-06,6.45778413854714e-07,1.6082898923741595e-07,5.445778515422717e-05,2.8301554266363382e-05,2.8285872758715414e-05,2.8285872758715414e-05,2.8285872758715414e-05,2.8285872758715414e-05
layer3.0.downsample.1,"(1024,)",5.0058512687683105,fp8_e1m6,0.00011779933993238956,0.43843814730644226,0.1503535509109497,0.03092770278453827,0.006932034157216549,0.0018900580471381545,0.000447786005679518,0.00011779933993238956,0.045167118310928345,0.031756605952978134,0.031756605952978134,0.031756605952978134,0.031756605952978134,0.031756605952978134
layer3.1.conv1,"(1024, 1024, 1, 1)",0.6974338293075562,fp8_e1m6,1.2553928740999254e-07,0.0001624857832212001,7.414152787532657e-05,2.638747901073657e-05,7.67552774050273e-06,1.9925407741538947e-06,5.018883939555963e-07,1.2553928740999254e-07,3.9065940654836595e-05,1.90304472198477e-05,1.901487121358514e-05,1.901487121358514e-05,1.901487121358514e-05,1.901487121358514e-05
layer3.1.bn1,"(1024,)",2.6776609420776367,fp8_e1m6,2.7350644813850522e-05,0.12491967529058456,0.025085721164941788,0.007197851315140724,0.0016702699940651655,0.0004385341890156269,0.00011424830881878734,2.7350644813850522e-05,0.029810095205903053,0.029648233205080032,0.029648233205080032,0.029648233205080032,0.029648233205080032,0.029648233205080032
layer3.1.conv2,"(1024, 16, 3, 3)",0.590117335319519,fp8_e1m6,3.3596077742004127e-07,0.0007266636239364743,0.00028332421788945794,8.245719800470397e-05,2.1444391677505337e-05,5.3591579671774525e-06,1.3426500800051144e-06,3.3596077742004127e-07,0.00014267735241446644,8.893673657439649e-05,8.891619654605165e-05,8.891619654605165e-05,8.891619654605165e-05,8.891619654605165e-05
layer3.1.bn2,"(1024,)",4.951671600341797,fp8_e1m6,9.547148511046544e-05,0.6002213954925537,0.11600260436534882,0.01950131729245186,0.005710442550480366,0.0014634195249527693,0.0004037369799334556,9.547148511046544e-05,0.04950561001896858,0.0491010844707489,0.0491010844707489,0.0491010844707489,0.0491010844707489,0.0491010844707489
layer3.1.conv3,"(1024, 1024, 1, 1)",0.7629876732826233,fp8_e1m6,1.1787385290062957e-07,0.00023259874433279037,9.070328087545931e-05,2.7725656764232554e-05,7.424097475450253e-06,1.8884398969021277e-06,4.704528464571922e-07,1.1787385290062957e-07,4.493489905144088e-05,2.6393776352051646e-05,2.6384135708212852e-05,2.6384135708212852e-05,2.6384135708212852e-05,2.6384135708212852e-05
layer3.1.bn3,"(1024,)",6.911373138427734,fp8_e1m6,0.00022665702272206545,0.7965397238731384,0.31994038820266724,0.06649476289749146,0.014632406644523144,0.003705135779455304,0.0009606355451978743,0.00022665702272206545,0.11787498742341995,0.08113794773817062,0.0811372846364975,0.0811372846364975,0.0811372846364975,0.0811372846364975
layer3.2.conv1,"(1024, 1024, 1, 1)",0.830133855342865,fp8_e1m6,1.3456968872560537e-07,0.0001813362177927047,8.177693234756589e-05,2.862485416699201e-05,8.28758675197605e-06,2.1565685983659932e-06,5.434965828499116e-07,1.3456968872560537e-07,4.205263758194633e-05,2.052285344689153e-05,2.0507166482275352e-05,2.0507166482275352e-05,2.0507166482275352e-05,2.0507166482275352e-05
layer3.2.bn1,"(1024,)",3.8314473628997803,fp8_e1m6,4.281543078832328e-05,0.27240580320358276,0.035019759088754654,0.010498866438865662,0.002773721469566226,0.0006717161159031093,0.0001802248298190534,4.281543078832328e-05,0.03152270242571831,0.031245511025190353,0.031245511025190353,0.031245511025190353,0.031245511025190353,0.031245511025190353
layer3.2.conv2,"(1024, 16, 3, 3)",0.5268961191177368,fp8_e1m6,2.73086897095709e-07,0.0006644822424277663,0.0002380870282649994,6.787013990106061e-05,1.749359398672823e-05,4.353276381152682e-06,1.0900508868871839e-06,2.73086897095709e-07,0.00012016236723866314,7.856119918869808e-05,7.854595605749637e-05,7.854595605749637e-05,7.854595605749637e-05,7.854595605749637e-05
layer3.2.bn2,"(1024,)",4.709144115447998,fp8_e1m6,8.852596511133015e-05,0.4669404625892639,0.12020055949687958,0.01746556907892227,0.005910215433686972,0.0014338208129629493,0.0003600201162043959,8.852596511133015e-05,0.03720855712890625,0.03496720641851425,0.03496720641851425,0.03496720641851425,0.03496720641851425,0.03496720641851425
