layer,shape,max_val,best_type,best_error,fp2_e1m0_error,fp3_e1m1_error,fp4_e1m2_error,fp5_e1m3_error,fp6_e1m4_error,fp7_e1m5_error,fp8_e1m6_error,fp3_e2m0_error,fp4_e3m0_error,fp5_e4m0_error,fp6_e5m0_error,fp7_e6m0_error,fp8_e7m0_error
conv1.0,"(24, 3, 3, 3)",2.967194080352783,fp8_e1m6,3.192049980163574,215.51214599609375,106.77275085449219,51.6787109375,26.202220916748047,12.880014419555664,6.457306385040283,3.192049980163574,89.87257385253906,77.36177825927734,77.2969741821289,77.2969741821289,77.2969741821289,77.2969741821289
conv1.1,"(24,)",7.244090557098389,fp8_e1m6,0.39636433124542236,42.5537109375,12.997997283935547,4.977404594421387,3.277811050415039,1.2126940488815308,0.7633317708969116,0.39636433124542236,33.73527526855469,33.73527526855469,33.73527526855469,33.73527526855469,33.73527526855469,33.73527526855469
stage2.0.branch1.0,"(24, 1, 3, 3)",1.6801902055740356,fp8_e1m6,0.41227835416793823,20.092058181762695,10.307098388671875,6.831020832061768,3.439910888671875,1.9045734405517578,0.8735488057136536,0.41227835416793823,11.606695175170898,8.690325736999512,8.681148529052734,8.681148529052734,8.681148529052734,8.681148529052734
stage2.0.branch1.1,"(24,)",5.73802375793457,fp8_e1m6,0.3554260730743408,30.814428329467773,8.608142852783203,5.755476951599121,3.2623043060302734,1.6119260787963867,0.6900606155395508,0.3554260730743408,14.907407760620117,14.907407760620117,14.907407760620117,14.907407760620117,14.907407760620117,14.907407760620117
stage2.0.branch1.2,"(122, 24, 1, 1)",1.5388439893722534,fp8_e1m6,5.515380859375,180.76812744140625,121.59988403320312,74.98085021972656,43.00273132324219,22.220680236816406,11.338874816894531,5.515380859375,103.32823181152344,61.66529846191406,61.12110900878906,61.12110900878906,61.12110900878906,61.12110900878906
stage2.0.branch1.3,"(122,)",5.527655124664307,fp8_e1m6,1.987496256828308,155.77757263183594,68.45484924316406,30.71375846862793,14.550943374633789,8.015854835510254,3.7734222412109375,1.987496256828308,45.72364044189453,45.39848709106445,45.39848709106445,45.39848709106445,45.39848709106445,45.39848709106445
stage2.0.branch2.0,"(122, 24, 1, 1)",2.3416507244110107,fp8_e1m6,6.276415824890137,236.51226806640625,150.64932250976562,88.97384643554688,49.68684387207031,25.22117042541504,12.50627326965332,6.276415824890137,133.19061279296875,87.88328552246094,87.43075561523438,87.43074035644531,87.43074035644531,87.43074035644531
stage2.0.branch2.1,"(122,)",5.737158298492432,fp8_e1m6,1.9064064025878906,136.10684204101562,65.50593566894531,28.75992202758789,14.76866626739502,8.523137092590332,3.6739821434020996,1.9064064025878906,63.11083221435547,62.57633972167969,62.57633972167969,62.57633972167969,62.57633972167969,62.57633972167969
stage2.0.branch2.3,"(122, 1, 3, 3)",1.7693878412246704,fp8_e1m6,1.439652919769287,75.71934509277344,43.092491149902344,22.839191436767578,11.493856430053711,5.620718002319336,2.900261878967285,1.439652919769287,47.370033264160156,40.10560607910156,40.06454086303711,40.06454086303711,40.06454086303711,40.06454086303711
stage2.0.branch2.4,"(122,)",5.665212631225586,fp8_e1m6,1.821321964263916,166.868408203125,54.044254302978516,26.360916137695312,15.23572063446045,7.798076629638672,3.4880306720733643,1.821321964263916,53.77872848510742,53.50109100341797,53.50109100341797,53.50109100341797,53.50109100341797,53.50109100341797
stage2.0.branch2.5,"(122, 122, 1, 1)",1.5428352355957031,fp8_e1m6,24.29645347595215,814.3638305664062,564.8042602539062,345.8858337402344,188.23721313476562,96.54911804199219,48.372703552246094,24.29645347595215,393.70050048828125,193.93637084960938,191.97451782226562,191.97451782226562,191.97451782226562,191.97451782226562
stage2.0.branch2.6,"(122,)",4.359332084655762,fp8_e1m6,1.8599570989608765,191.70718383789062,47.544151306152344,33.82072067260742,16.138103485107422,8.236101150512695,3.928954601287842,1.8599570989608765,41.731719970703125,41.731719970703125,41.731719970703125,41.731719970703125,41.731719970703125,41.731719970703125
