layer,shape,max_val,best_type,best_error,fp2_e1m0_error,fp3_e1m1_error,fp4_e1m2_error,fp5_e1m3_error,fp6_e1m4_error,fp7_e1m5_error,fp8_e1m6_error,fp3_e2m0_error,fp4_e3m0_error,fp5_e4m0_error,fp6_e5m0_error,fp7_e6m0_error,fp8_e7m0_error
conv1.0,"(24, 3, 3, 3)",2.967194080352783,fp8_e1m6,3.922020914615132e-05,0.1813569962978363,0.04448116198182106,0.010027946904301643,0.0026650435756891966,0.0006433175876736641,0.00016109287389554083,3.922020914615132e-05,0.043844111263751984,0.040592700242996216,0.040591515600681305,0.040591515600681305,0.040591515600681305,0.040591515600681305
conv1.1,"(24,)",7.244090557098389,fp8_e1m6,0.00036454806104302406,3.84436297416687,0.42385849356651306,0.060580454766750336,0.025172259658575058,0.003660620888695121,0.0013201923575252295,0.00036454806104302406,3.223834991455078,3.223834991455078,3.223834991455078,3.223834991455078,3.223834991455078,3.223834991455078
stage2.0.branch1.0,"(24, 1, 3, 3)",1.6801902055740356,fp8_e1m6,6.684060281259008e-06,0.023401984944939613,0.004800699185580015,0.0020144155714660883,0.0004632681084331125,0.00014835727051831782,3.1386622140416875e-05,6.684060281259008e-06,0.00923169869929552,0.008244709111750126,0.008244643919169903,0.008244643919169903,0.008244643919169903,0.008244643919169903
stage2.0.branch1.1,"(24,)",5.73802375793457,fp8_e1m6,0.0003006115439347923,2.0444908142089844,0.1939670741558075,0.07510598003864288,0.02316487953066826,0.005973438732326031,0.0011720557231456041,0.0003006115439347923,0.7189058065414429,0.7189058065414429,0.7189058065414429,0.7189058065414429,0.7189058065414429,0.7189058065414429
stage2.0.branch1.2,"(122, 24, 1, 1)",1.5388439893722534,fp8_e1m6,5.995270385028562e-06,0.008300716988742352,0.0031179599463939667,0.0010864175856113434,0.0003549997927621007,9.593436698196456e-05,2.4927199774538167e-05,5.995270385028562e-06,0.003589721629396081,0.0028447271324694157,0.002843791851773858,0.002843791851773858,0.002843791851773858,0.002843791851773858
stage2.0.branch1.3,"(122,)",5.527655124664307,fp8_e1m6,0.000353987910784781,1.8261213302612305,0.3946014940738678,0.08524827659130096,0.019007235765457153,0.005615664180368185,0.0012689088471233845,0.000353987910784781,0.22542516887187958,0.22409255802631378,0.22409255802631378,0.22409255802631378,0.22409255802631378,0.22409255802631378
stage2.0.branch2.0,"(122, 24, 1, 1)",2.3416507244110107,fp8_e1m6,8.095805242192e-06,0.013406101614236832,0.00461985357105732,0.0016030552797019482,0.0005010525928810239,0.00013171207683626562,3.306935104774311e-05,8.095805242192e-06,0.006130641791969538,0.005053717643022537,0.0050527239218354225,0.0050527239218354225,0.0050527239218354225,0.0050527239218354225
stage2.0.branch2.1,"(122,)",5.737158298492432,fp8_e1m6,0.0003205180400982499,1.534922480583191,0.37753069400787354,0.07633385807275772,0.018992649391293526,0.0061944336630403996,0.0012260384391993284,0.0003205180400982499,0.3902306854724884,0.388040155172348,0.388040155172348,0.388040155172348,0.388040155172348,0.388040155172348
stage2.0.branch2.3,"(122, 1, 3, 3)",1.7693878412246704,fp8_e1m6,3.001042614414473e-06,0.010582844726741314,0.002875999081879854,0.0007803249172866344,0.00019685702864080667,4.770135637954809e-05,1.2386763046379201e-05,3.001042614414473e-06,0.005105671938508749,0.004806044977158308,0.004805948585271835,0.004805948585271835,0.004805948585271835,0.004805948585271835
stage2.0.branch2.4,"(122,)",5.665212631225586,fp8_e1m6,0.0003141003253404051,2.142909049987793,0.2933327257633209,0.06642011553049088,0.02082504890859127,0.005583977326750755,0.0011679470771923661,0.0003141003253404051,0.30206140875816345,0.30092355608940125,0.30092355608940125,0.30092355608940125,0.30092355608940125,0.30092355608940125
stage2.0.branch2.5,"(122, 122, 1, 1)",1.5428352355957031,fp8_e1m6,4.188060756860068e-06,0.00581319397315383,0.002370719565078616,0.0008462443365715444,0.0002487194142304361,6.61860904074274e-05,1.6722689906600863e-05,4.188060756860068e-06,0.001401133369654417,0.0007843186031095684,0.0007837763405404985,0.0007837763405404985,0.0007837763405404985,0.0007837763405404985
stage2.0.branch2.6,"(122,)",4.359332084655762,fp8_e1m6,0.00029984890716150403,2.5702507495880127,0.20692236721515656,0.0944352075457573,0.021965472027659416,0.005772845353931189,0.0013597861398011446,0.00029984890716150403,0.1592794805765152,0.1592794805765152,0.1592794805765152,0.1592794805765152,0.1592794805765152,0.1592794805765152
stage2.1.branch2.0,"(122, 122, 1, 1)",1.1823183298110962,fp8_e1m6,3.091860889981035e-06,0.004867638926953077,0.002043259795755148,0.0007009629043750465,0.00019402909674681723,4.919854109175503e-05,1.2140851140429731e-05,3.091860889981035e-06,0.0010770801454782486,0.0005712228594347835,0.0005709200049750507,0.0005709200049750507,0.0005709200049750507,0.0005709200049750507
stage2.1.branch2.1,"(122,)",5.303261756896973,fp8_e1m6,0.00030686083482578397,2.3113901615142822,0.2940881848335266,0.08528119325637817,0.020072784274816513,0.005748882424086332,0.0013040504418313503,0.00030686083482578397,0.11112266033887863,0.10331609845161438,0.10331609845161438,0.10331609845161438,0.10331609845161438,0.10331609845161438
stage2.1.branch2.3,"(122, 1, 3, 3)",2.0596847534179688,fp8_e1m6,5.477208105730824e-06,0.010911618359386921,0.004391743801534176,0.0013911877758800983,0.00034639021032489836,9.149985999101773e-05,2.4008075342862867e-05,5.477208105730824e-06,0.005988186225295067,0.0050857700407505035,0.005085413344204426,0.005085413344204426,0.005085413344204426,0.005085413344204426
stage2.1.branch2.4,"(122,)",3.9271891117095947,fp8_e1m6,8.660424646222964e-05,0.35643768310546875,0.09079219400882721,0.022532517090439796,0.005193821154534817,0.001270848442800343,0.0003423613088671118,8.660424646222964e-05,0.31732168793678284,0.31732168793678284,0.31732168793678284,0.31732168793678284,0.31732168793678284,0.31732168793678284
stage2.1.branch2.5,"(122, 122, 1, 1)",1.1458756923675537,fp8_e1m6,3.5681509871210437e-06,0.004467114806175232,0.0019296614918857813,0.0006878565181978047,0.00020796565513592213,5.560149293160066e-05,1.3984366887598298e-05,3.5681509871210437e-06,0.0012040094006806612,0.0006989235407672822,0.0006983901257626712,0.0006983901257626712,0.0006983901257626712,0.0006983901257626712
