layer,shape,max_val,best_type,best_error,fp2_e1m0_error,fp3_e1m1_error,fp4_e1m2_error,fp5_e1m3_error,fp6_e1m4_error,fp7_e1m5_error,fp8_e1m6_error,fp3_e2m0_error,fp4_e3m0_error,fp5_e4m0_error,fp6_e5m0_error,fp7_e6m0_error,fp8_e7m0_error
features.0,"(64, 3, 3, 3)",0.9316266775131226,fp8_e1m6,3.274864866398275e-06,0.013781817629933357,0.0031841029413044453,0.0008664436754770577,0.00020067431614734232,5.167401468497701e-05,1.3385211786953732e-05,3.274864866398275e-06,0.003689385950565338,0.0034588249400258064,0.003458762541413307,0.003458762541413307,0.003458762541413307,0.003458762541413307
features.3.squeeze,"(16, 64, 1, 1)",1.4822914600372314,fp8_e1m6,1.2107789189030882e-05,0.02750435471534729,0.00952298566699028,0.002709378954023123,0.0007101169903762639,0.00018320884555578232,4.4388711103238165e-05,1.2107789189030882e-05,0.005799839738756418,0.004173831082880497,0.0041726129129529,0.0041726129129529,0.0041726129129529,0.0041726129129529
features.3.expand1x1,"(64, 16, 1, 1)",1.1723295450210571,fp8_e1m6,3.7377874377853004e-06,0.011221101507544518,0.003425995819270611,0.0008742478676140308,0.0002465863944962621,6.390101043507457e-05,1.4812732842983678e-05,3.7377874377853004e-06,0.003677340690046549,0.0032918285578489304,0.0032915726769715548,0.0032915726769715548,0.0032915726769715548,0.0032915726769715548
features.3.expand3x3,"(64, 16, 3, 3)",1.0335798263549805,fp8_e1m6,1.9261135548731545e-06,0.0036727534607052803,0.0014025343116372824,0.00043608073610812426,0.00011825747787952423,3.0001005143276416e-05,7.693243787798565e-06,1.9261135548731545e-06,0.0007472747820429504,0.0004559414810501039,0.0004557635693345219,0.0004557635693345219,0.0004557635693345219,0.0004557635693345219
features.4.squeeze,"(16, 128, 1, 1)",0.9729258418083191,fp8_e1m6,4.839645498577738e-06,0.015827365219593048,0.0045449272729456425,0.001195828546769917,0.00031575438333675265,7.641776755917817e-05,1.843560858105775e-05,4.839645498577738e-06,0.002400108380243182,0.0018194837030023336,0.0018192577408626676,0.0018192577408626676,0.0018192577408626676,0.0018192577408626676
features.4.expand1x1,"(64, 16, 1, 1)",1.1182246208190918,fp8_e1m6,4.3005884435842745e-06,0.011172810569405556,0.0031939996406435966,0.0009346205042675138,0.0002560286084190011,6.220494105946273e-05,1.7088959793909453e-05,4.3005884435842745e-06,0.003211540635675192,0.0027501352597028017,0.002749897539615631,0.002749897539615631,0.002749897539615631,0.002749897539615631
features.4.expand3x3,"(64, 16, 3, 3)",0.6702296733856201,fp8_e1m6,1.257276494470716e-06,0.0037740953266620636,0.0011588279157876968,0.00031392151140607893,7.98736946308054e-05,1.972931931959465e-05,5.118351509736385e-06,1.257276494470716e-06,0.0007079039933159947,0.0005470829200930893,0.0005470254691317677,0.0005470254691317677,0.0005470254691317677,0.0005470254691317677
features.6.squeeze,"(32, 128, 1, 1)",1.2981643676757812,fp8_e1m6,5.324149242369458e-06,0.01319822110235691,0.004292589612305164,0.0011949437903240323,0.00032360112527385354,8.48377967486158e-05,2.1085277694510296e-05,5.324149242369458e-06,0.002194484695792198,0.00152035360224545,0.0015198983019217849,0.0015198983019217849,0.0015198983019217849,0.0015198983019217849
features.6.expand1x1,"(128, 32, 1, 1)",0.7575163841247559,fp8_e1m6,1.3353493386603077e-06,0.004310212098062038,0.001243760110810399,0.00033846599399112165,8.613158570369706e-05,2.0942090486641973e-05,5.2639315981650725e-06,1.3353493386603077e-06,0.0010676070814952254,0.0009045053739100695,0.0009044496691785753,0.0009044496691785753,0.0009044496691785753,0.0009044496691785753
features.6.expand3x3,"(128, 32, 3, 3)",0.6564458012580872,fp8_e1m6,5.24760707776295e-07,0.0014072940684854984,0.0004744342586491257,0.00012993934797123075,3.345866934978403e-05,8.399677426496055e-06,2.1085913886054186e-06,5.24760707776295e-07,0.00024647824466228485,0.0001731711527099833,0.00017314306751359254,0.00017314306751359254,0.00017314306751359254,0.00017314306751359254
features.7.squeeze,"(32, 256, 1, 1)",0.8722013235092163,fp8_e1m6,2.129060931110871e-06,0.006090542301535606,0.002001472283154726,0.000538171676453203,0.00013368377403821796,3.425838440307416e-05,8.45060458232183e-06,2.129060931110871e-06,0.0010011898120865226,0.000704870093613863,0.0007047618273645639,0.0007047618273645639,0.0007047618273645639,0.0007047618273645639
features.7.expand1x1,"(128, 32, 1, 1)",0.8852208256721497,fp8_e1m6,1.5612495189998299e-06,0.005051245912909508,0.0014528498286381364,0.00039407546864822507,0.00010233890498057008,2.5176510462188162e-05,6.4196501625701785e-06,1.5612495189998299e-06,0.00110520888119936,0.000913572555873543,0.0009134955471381545,0.0009134955471381545,0.0009134955471381545,0.0009134955471381545
features.7.expand3x3,"(128, 32, 3, 3)",0.6416589617729187,fp8_e1m6,5.984236963740841e-07,0.0014660179149359465,0.0004840450710617006,0.00014206580817699432,3.799087426159531e-05,9.529040653433185e-06,2.362380655540619e-06,5.984236963740841e-07,0.00025996743352152407,0.0001761078165145591,0.0001760679588187486,0.0001760679588187486,0.0001760679588187486,0.0001760679588187486
features.9.squeeze,"(48, 256, 1, 1)",0.9365586042404175,fp8_e1m6,1.9801159396592993e-06,0.00551409088075161,0.001895724213682115,0.0004994135815650225,0.0001253914088010788,3.125109287793748e-05,7.810867828084156e-06,1.9801159396592993e-06,0.0008339621126651764,0.0005554615054279566,0.0005553773953579366,0.0005553773953579366,0.0005553773953579366,0.0005553773953579366
features.9.expand1x1,"(192, 48, 1, 1)",0.48890721797943115,fp8_e1m6,6.592799763893709e-07,0.002298407256603241,0.000679385440889746,0.00017295547877438366,4.300698128645308e-05,1.0582763934507966e-05,2.6905847789748805e-06,6.592799763893709e-07,0.00048520081327296793,0.0004050696443300694,0.00040504970820620656,0.00040504970820620656,0.00040504970820620656,0.00040504970820620656
