layer,shape,max_val,best_type,best_error,fp2_e1m0_error,fp3_e1m1_error,fp4_e1m2_error,fp5_e1m3_error,fp6_e1m4_error,fp7_e1m5_error,fp8_e1m6_error,fp3_e2m0_error,fp4_e3m0_error,fp5_e4m0_error,fp6_e5m0_error,fp7_e6m0_error,fp8_e7m0_error
features.0,"(64, 3, 3, 3)",1.644176959991455,fp8_e1m6,1.3585159877038677e-06,0.004822006449103355,0.0015019391430541873,0.0003618435584940016,9.160674380837008e-05,2.2978436390985735e-05,6.68052689434262e-06,1.3585159877038677e-06,0.002120455726981163,0.0019501224160194397,0.001950093312188983,0.001950093312188983,0.001950093312188983,0.001950093312188983
features.1,"(64,)",0.6830024719238281,fp8_e1m6,1.31296746985754e-06,0.007432068232446909,0.0017423946410417557,0.000363326194928959,7.89851910667494e-05,1.8725357222137973e-05,6.402681719919201e-06,1.31296746985754e-06,0.002174871042370796,0.002169828861951828,0.0021698279306292534,0.0021698279306292534,0.0021698279306292534,0.0021698279306292534
features.3,"(64, 64, 3, 3)",0.6415273547172546,fp8_e1m6,1.1431492197289117e-07,0.0002671568072400987,8.43600500957109e-05,2.5035609724000096e-05,7.348350209213095e-06,1.9418594092712738e-06,4.623920517587976e-07,1.1431492197289117e-07,6.409163324860856e-05,5.045264697400853e-05,5.0442456995369866e-05,5.0442456995369866e-05,5.0442456995369866e-05,5.0442456995369866e-05
features.4,"(64,)",0.4632866680622101,fp8_e1m6,6.645238954661181e-07,0.004433922469615936,0.0008987907785922289,0.0002540646819397807,6.219773058546707e-05,1.3747785487794317e-05,3.5700591070053633e-06,6.645238954661181e-07,0.004433922469615936,0.004433922469615936,0.004433922469615936,0.004433922469615936,0.004433922469615936,0.004433922469615936
features.7,"(128, 64, 3, 3)",0.8701702952384949,fp8_e1m6,2.1592920518287428e-07,0.0004358331498224288,0.00016695646627340466,5.165029506315477e-05,1.3888010471418966e-05,3.5473244679451454e-06,8.777986408858851e-07,2.1592920518287428e-07,0.00010375913552707061,6.93463152856566e-05,6.932971882633865e-05,6.932971882633865e-05,6.932971882633865e-05,6.932971882633865e-05
features.8,"(128,)",0.672987163066864,fp8_e1m6,2.502249344615848e-06,0.013200000859797001,0.0025166356936097145,0.00048011011676862836,0.00015529835945926607,3.837222175206989e-05,9.620382115826942e-06,2.502249344615848e-06,0.0019656498916447163,0.0019656498916447163,0.0019656477961689234,0.0019656477961689234,0.0019656477961689234,0.0019656477961689234
features.10,"(128, 128, 3, 3)",0.3381270170211792,fp8_e1m6,7.804735702165999e-08,0.00021514629770535976,6.866512558190152e-05,1.9553559468477033e-05,4.9833915909403e-06,1.2369368960207794e-06,3.1069268402461603e-07,7.804735702165999e-08,4.614899808075279e-05,3.5420864151092246e-05,3.5416625905781984e-05,3.5416625905781984e-05,3.5416625905781984e-05,3.5416625905781984e-05
features.11,"(128,)",0.4616698622703552,fp8_e1m6,1.0203468718827935e-06,0.003672787919640541,0.0013611388858407736,0.0002548483316786587,6.810798367951065e-05,1.721752414596267e-05,4.272195837984327e-06,1.0203468718827935e-06,0.0036536450497806072,0.0036536450497806072,0.0036536450497806072,0.0036536450497806072,0.0036536450497806072,0.0036536450497806072
features.14,"(256, 128, 3, 3)",0.594925045967102,fp8_e1m6,9.252368471379668e-08,0.00021750509040430188,7.923785597085953e-05,2.301738459209446e-05,5.933341981290141e-06,1.4966764183554915e-06,3.721925736499543e-07,9.252368471379668e-08,3.9568927604705095e-05,2.522160139051266e-05,2.5215884306817316e-05,2.5215884306817316e-05,2.5215884306817316e-05,2.5215884306817316e-05
features.15,"(256,)",0.43483880162239075,fp8_e1m6,9.321242373516725e-07,0.0021700910292565823,0.0010451640700921416,0.0002428479347145185,6.924760236870497e-05,1.524072649772279e-05,3.7596651054627728e-06,9.321242373516725e-07,0.0016683544963598251,0.0016682592686265707,0.0016682592686265707,0.0016682592686265707,0.0016682592686265707,0.0016682592686265707
