layer,shape,max_val,best_type,best_error,fp2_e1m0_error,fp3_e1m1_error,fp4_e1m2_error,fp5_e1m3_error,fp6_e1m4_error,fp7_e1m5_error,fp8_e1m6_error,fp3_e2m0_error,fp4_e3m0_error,fp5_e4m0_error,fp6_e5m0_error,fp7_e6m0_error,fp8_e7m0_error
conv_proj,"(768, 3, 16, 16)",0.1331636607646942,fp8_e1m6,29.062267303466797,1740.0726318359375,926.102783203125,464.9627990722656,232.50857543945312,116.2530746459961,58.10108947753906,29.062267303466797,627.791015625,483.02154541015625,482.39251708984375,482.39251708984375,482.39251708984375,482.39251708984375
encoder.layers.encoder_layer_0.ln_1,"(768,)",0.24998325109481812,fp8_e1m6,0.3798716068267822,17.749509811401367,7.782951831817627,4.889646530151367,2.883619785308838,1.5311920642852783,0.7264419794082642,0.3798716068267822,9.829479217529297,8.155485153198242,8.117566108703613,8.117566108703613,8.117566108703613,8.117566108703613
encoder.layers.encoder_layer_0.self_attention.out_proj,"(768, 768)",0.49757224321365356,fp8_e1m6,92.68830108642578,5483.03125,2929.39013671875,1479.0970458984375,742.7650146484375,371.5963439941406,185.6515350341797,92.68830108642578,1943.0675048828125,1466.8076171875,1464.662841796875,1464.6627197265625,1464.6627197265625,1464.6627197265625
encoder.layers.encoder_layer_0.ln_2,"(768,)",1.0042657852172852,fp8_e1m6,1.6057733297348022,70.41426086425781,45.119056701660156,22.293373107910156,12.111249923706055,6.200389862060547,3.124439239501953,1.6057733297348022,30.73672866821289,22.453022003173828,22.272212982177734,22.27219581604004,22.27219581604004,22.27219581604004
encoder.layers.encoder_layer_0.mlp.0,"(3072, 768)",0.41951844096183777,fp8_e1m6,590.5775756835938,26502.046875,16801.62890625,9324.9892578125,4720.146484375,2374.0126953125,1181.4423828125,590.5775756835938,11077.818359375,6493.69189453125,6467.7177734375,6467.71728515625,6467.71728515625,6467.71728515625
encoder.layers.encoder_layer_0.mlp.3,"(768, 3072)",0.6461905837059021,fp8_e1m6,341.87127685546875,12489.544921875,8264.35546875,4970.05078125,2678.4794921875,1364.2613525390625,683.4256591796875,341.87127685546875,5794.19140625,3074.41064453125,3048.58203125,3048.58203125,3048.58203125,3048.58203125
encoder.layers.encoder_layer_1.ln_1,"(768,)",0.3755127489566803,fp8_e1m6,0.6717140078544617,32.199615478515625,15.382781028747559,8.819107055664062,4.985344886779785,2.7716832160949707,1.2942218780517578,0.6717140078544617,15.124929428100586,12.737883567810059,12.673845291137695,12.673837661743164,12.673837661743164,12.673837661743164
encoder.layers.encoder_layer_1.self_attention.out_proj,"(768, 768)",0.2803439795970917,fp8_e1m6,92.08757781982422,5086.1044921875,2862.628662109375,1468.301513671875,735.8638305664062,367.88165283203125,184.05690002441406,92.08757781982422,1876.6728515625,1331.975830078125,1329.42529296875,1329.42529296875,1329.42529296875,1329.42529296875
encoder.layers.encoder_layer_1.ln_2,"(768,)",0.6293441653251648,fp8_e1m6,1.5337575674057007,63.44358825683594,30.51764678955078,15.77964973449707,8.512815475463867,4.479942321777344,2.6443910598754883,1.5337575674057007,26.48568344116211,24.91667938232422,24.543926239013672,24.54391860961914,24.54391860961914,24.54391860961914
encoder.layers.encoder_layer_1.mlp.0,"(3072, 768)",0.5083341598510742,fp8_e1m6,750.370361328125,38649.40625,22133.2734375,11717.6943359375,5984.16796875,2996.87451171875,1499.281005859375,750.370361328125,15216.515625,10288.9111328125,10262.291015625,10262.2900390625,10262.2900390625,10262.2900390625
encoder.layers.encoder_layer_1.mlp.3,"(768, 3072)",0.6584275364875793,fp8_e1m6,387.94439697265625,18465.099609375,10748.501953125,5771.490234375,3024.667724609375,1545.770751953125,775.924560546875,387.94439697265625,7087.09423828125,4643.7880859375,4620.994140625,4620.994140625,4620.994140625,4620.994140625
encoder.layers.encoder_layer_2.ln_1,"(768,)",0.6214396953582764,fp8_e1m6,0.8784492611885071,38.554046630859375,20.539493560791016,11.987335205078125,6.90255069732666,3.425708293914795,1.732822299003601,0.8784492611885071,19.560138702392578,16.427385330200195,16.371328353881836,16.37131690979004,16.37131690979004,16.37131690979004
