layer,shape,max_val,best_type,best_error,fp2_e1m0_error,fp3_e1m1_error,fp4_e1m2_error,fp5_e1m3_error,fp6_e1m4_error,fp7_e1m5_error,fp8_e1m6_error,fp3_e2m0_error,fp4_e3m0_error,fp5_e4m0_error,fp6_e5m0_error,fp7_e6m0_error,fp8_e7m0_error
conv_proj,"(768, 3, 16, 16)",0.1331636607646942,fp8_e1m6,8.537015538934156e-09,3.0456309104920365e-05,8.660904313728679e-06,2.194990884163417e-06,5.493336061590526e-07,1.3729993497690884e-07,3.425319405891969e-08,8.537015538934156e-09,4.900438398180995e-06,3.947570803575218e-06,3.947303866880247e-06,3.947303866880247e-06,3.947303866880247e-06,3.947303866880247e-06
encoder.layers.encoder_layer_0.ln_1,"(768,)",0.24998325109481812,fp8_e1m6,3.280758278378926e-07,0.0011412759777158499,0.0001813163107726723,6.0716069128829986e-05,1.9268249161541462e-05,5.352035714167869e-06,1.2192988378956215e-06,3.280758278378926e-07,0.0005612539243884385,0.0005406916025094688,0.0005406506243161857,0.0005406506243161857,0.0005406506243161857,0.0005406506243161857
encoder.layers.encoder_layer_0.self_attention.out_proj,"(768, 768)",0.49757224321365356,fp8_e1m6,4.1472816292298376e-08,0.00014263414777815342,4.076520417584106e-05,1.0480946002644487e-05,2.6552177132543875e-06,6.664246825494047e-07,1.664562603309605e-07,4.1472816292298376e-08,2.2423915652325377e-05,1.7708380255498923e-05,1.770685412338935e-05,1.770685412338935e-05,1.770685412338935e-05,1.770685412338935e-05
encoder.layers.encoder_layer_0.ln_2,"(768,)",1.0042657852172852,fp8_e1m6,6.9315137807279825e-06,0.015467840246856213,0.006106918677687645,0.0015246275579556823,0.00042246386874467134,0.00010818140435731038,2.6892592359217815e-05,6.9315137807279825e-06,0.003737144637852907,0.0029209554195404053,0.0029201898723840714,0.0029201898723840714,0.0029201898723840714,0.0029201898723840714
encoder.layers.encoder_layer_0.mlp.0,"(3072, 768)",0.41951844096183777,fp8_e1m6,1.0177115683518423e-07,0.00023193750530481339,8.425050327787176e-05,2.525950549170375e-05,6.478118393715704e-06,1.6385240542149404e-06,4.0747093521531497e-07,1.0177115683518423e-07,4.378232915769331e-05,2.7710508220479824e-05,2.7704118110705167e-05,2.7704118110705167e-05,2.7704118110705167e-05,2.7704118110705167e-05
encoder.layers.encoder_layer_0.mlp.3,"(768, 3072)",0.6461905837059021,fp8_e1m6,4.509695372689748e-08,6.142675556475297e-05,2.4504792236257344e-05,8.898417036107276e-06,2.67462792180595e-06,7.127299568310264e-07,1.8003690627210744e-07,4.509695372689748e-08,1.498066649219254e-05,8.539062037016265e-06,8.532695574103855e-06,8.532695574103855e-06,8.532695574103855e-06,8.532695574103855e-06
encoder.layers.encoder_layer_1.ln_1,"(768,)",0.3755127489566803,fp8_e1m6,1.072229451892781e-06,0.003358024638146162,0.0007197934901341796,0.0002092032227665186,6.129563553258777e-05,1.8437503968016244e-05,4.090903530595824e-06,1.072229451892781e-06,0.0007612627232447267,0.0007062777294777334,0.000706143444404006,0.000706143444404006,0.000706143444404006,0.000706143444404006
encoder.layers.encoder_layer_1.self_attention.out_proj,"(768, 768)",0.2803439795970917,fp8_e1m6,4.5302346762809975e-08,0.00013654003851115704,4.266644100425765e-05,1.1399604773032479e-05,2.8777560601156438e-06,7.204755547718378e-07,1.806026119766102e-07,4.5302346762809975e-08,2.268753814860247e-05,1.6789184883236885e-05,1.678720218478702e-05,1.678720218478702e-05,1.678720218478702e-05,1.678720218478702e-05
encoder.layers.encoder_layer_1.ln_2,"(768,)",0.6293441653251648,fp8_e1m6,5.236830475041643e-06,0.013926195912063122,0.0032081163953989744,0.0008093537762761116,0.00021797721274197102,5.387916462495923e-05,1.653478102525696e-05,5.236830475041643e-06,0.002554235514253378,0.0024767497088760138,0.002475253539159894,0.002475253539159894,0.002475253539159894,0.002475253539159894
encoder.layers.encoder_layer_1.mlp.0,"(3072, 768)",0.5083341598510742,fp8_e1m6,1.6134639224674174e-07,0.0004353876574896276,0.00014097052917350084,3.897194255841896e-05,1.0252500032947864e-05,2.574656946308096e-06,6.444733458010887e-07,1.6134639224674174e-07,8.2549246144481e-05,5.982217408018187e-05,5.981321010040119e-05,5.981321010040119e-05,5.981321010040119e-05,5.981321010040119e-05
encoder.layers.encoder_layer_1.mlp.3,"(768, 3072)",0.6584275364875793,fp8_e1m6,6.961064968891151e-08,0.00012917831190861762,4.3018888391088694e-05,1.3130253137205727e-05,3.921752522728639e-06,1.0884577932301909e-06,2.7719335093934205e-07,6.961064968891151e-08,2.5105715394602157e-05,1.714204699965194e-05,1.7131509594037198e-05,1.7131509594037198e-05,1.7131509594037198e-05,1.7131509594037198e-05
encoder.layers.encoder_layer_2.ln_1,"(768,)",0.6214396953582764,fp8_e1m6,1.927334324136609e-06,0.005880529060959816,0.0012976066209375858,0.00037562119541689754,0.00011568191985134035,2.9356651793932542e-05,7.513429409300443e-06,1.927334324136609e-06,0.0015839950647205114,0.0014829852152615786,0.0014828161802142859,0.0014828161802142859,0.0014828161802142859,0.0014828161802142859
encoder.layers.encoder_layer_2.self_attention.out_proj,"(768, 768)",0.3022974729537964,fp8_e1m6,4.7898566890580696e-08,0.00016460311599075794,4.768327562487684e-05,1.2239692296134308e-05,3.062250925722765e-06,7.64468779834715e-07,1.9080276558725018e-07,4.7898566890580696e-08,2.5167473722831346e-05,1.954722210939508e-05,1.9545628674677573e-05,1.9545628674677573e-05,1.9545628674677573e-05,1.9545628674677573e-05
encoder.layers.encoder_layer_2.ln_2,"(768,)",0.8240420818328857,fp8_e1m6,4.467204234970268e-06,0.013135659508407116,0.0028595770709216595,0.0008767358958721161,0.00020786613458767533,5.5087930377339944e-05,1.5109205378394108e-05,4.467204234970268e-06,0.0027091125957667828,0.002589829033240676,0.002588869770988822,0.002588869770988822,0.002588869770988822,0.002588869770988822
encoder.layers.encoder_layer_2.mlp.0,"(3072, 768)",0.40920737385749817,fp8_e1m6,1.2029458673623594e-07,0.0003547498781699687,0.00011026758147636428,2.975741881527938e-05,7.801537321938667e-06,1.9282897483208217e-06,4.861784077547782e-07,1.2029458673623594e-07,8.078236714936793e-05,6.499125447589904e-05,6.49853318464011e-05,6.49853318464011e-05,6.49853318464011e-05,6.49853318464011e-05
encoder.layers.encoder_layer_2.mlp.3,"(768, 3072)",0.6260519027709961,fp8_e1m6,3.468937137540706e-08,9.523588232696056e-05,3.003620440722443e-05,8.099222213786561e-06,2.125085757143097e-06,5.464079322337057e-07,1.3925480857324146e-07,3.468937137540706e-08,1.5191269994829781e-05,1.0875348380068317e-05,1.0872568964259699e-05,1.0872568964259699e-05,1.0872568964259699e-05,1.0872568964259699e-05
encoder.layers.encoder_layer_3.ln_1,"(768,)",0.7020809054374695,fp8_e1m6,4.522876224655192e-06,0.01853235624730587,0.0028351619839668274,0.0008317888714373112,0.00020811542344745249,5.892054468858987e-05,1.6475461961817928e-05,4.522876224655192e-06,0.0019905134104192257,0.0018754815682768822,0.0018745893612504005,0.0018745893612504005,0.0018745893612504005,0.0018745893612504005
encoder.layers.encoder_layer_3.self_attention.out_proj,"(768, 768)",0.25689226388931274,fp8_e1m6,4.588926927340253e-08,0.00016793282702565193,4.66449091618415e-05,1.176717796624871e-05,2.943538902400178e-06,7.351189879045705e-07,1.8439057214436616e-07,4.588926927340253e-08,2.5309875127277337e-05,2.031378789979499e-05,2.0312481865403242e-05,2.0312481865403242e-05,2.0312481865403242e-05,2.0312481865403242e-05
encoder.layers.encoder_layer_3.ln_2,"(768,)",0.6918255090713501,fp8_e1m6,5.100118869449943e-06,0.007624591700732708,0.003517858451232314,0.00086166278924793,0.00023549071920569986,6.456881237681955e-05,1.907258774735965e-05,5.100118869449943e-06,0.0034454292617738247,0.0033457945100963116,0.003344692988321185,0.003344692988321185,0.003344692988321185,0.003344692988321185
encoder.layers.encoder_layer_3.mlp.0,"(3072, 768)",0.36361318826675415,fp8_e1m6,1.0334380817766942e-07,0.00034460253664292395,0.00010122912499355152,2.6347941457061097e-05,6.6181819420307875e-06,1.6582520174779347e-06,4.1407128037462826e-07,1.0334380817766942e-07,5.539972335100174e-05,4.321360756875947e-05,4.320980951888487e-05,4.320980951888487e-05,4.320980951888487e-05,4.320980951888487e-05
encoder.layers.encoder_layer_3.mlp.3,"(768, 3072)",0.5712713003158569,fp8_e1m6,3.626890077157441e-08,0.00010810585808940232,3.3427742891944945e-05,8.889326636563055e-06,2.2849549168313388e-06,5.802870077786793e-07,1.4467910602888878e-07,3.626890077157441e-08,1.685787719907239e-05,1.2241574040672276e-05,1.2239655006851535e-05,1.2239655006851535e-05,1.2239655006851535e-05,1.2239655006851535e-05
encoder.layers.encoder_layer_4.ln_1,"(768,)",0.6288522481918335,fp8_e1m6,3.591252152546076e-06,0.012320615351200104,0.0036395848728716373,0.000658645061776042,0.0001655011292314157,4.9336536903865635e-05,1.3291300092532765e-05,3.591252152546076e-06,0.004724474623799324,0.004613807424902916,0.00461302325129509,0.00461302325129509,0.00461302325129509,0.00461302325129509
encoder.layers.encoder_layer_4.self_attention.out_proj,"(768, 768)",0.41326266527175903,fp8_e1m6,4.8599634538959435e-08,0.00018893065862357616,4.952187737217173e-05,1.2433783922460862e-05,3.1115794172364986e-06,7.773533070576377e-07,1.942668887977561e-07,4.8599634538959435e-08,2.7774258342105895e-05,2.3037269784254022e-05,2.303598557773512e-05,2.303598557773512e-05,2.303598557773512e-05,2.303598557773512e-05
encoder.layers.encoder_layer_4.ln_2,"(768,)",0.7059245705604553,fp8_e1m6,5.085614247946069e-06,0.009998384863138199,0.004880261607468128,0.0010451509151607752,0.00028066831873729825,8.00764755695127e-05,1.9683415303006768e-05,5.085614247946069e-06,0.006070293486118317,0.005905733909457922,0.005905129015445709,0.005905129015445709,0.005905129015445709,0.005905129015445709
encoder.layers.encoder_layer_4.mlp.0,"(3072, 768)",0.34097498655319214,fp8_e1m6,9.611003548570807e-08,0.00034438908915035427,9.69596512732096e-05,2.4603165002190508e-05,6.1613309298991226e-06,1.536223862785846e-06,3.8485853792735725e-07,9.611003548570807e-08,5.28338277945295e-05,4.2252537241438404e-05,4.2249597754562274e-05,4.2249597754562274e-05,4.2249597754562274e-05,4.2249597754562274e-05
