layer,shape,max_val,best_type,best_error,fp2_e1m0_error,fp3_e1m1_error,fp4_e1m2_error,fp5_e1m3_error,fp6_e1m4_error,fp7_e1m5_error,fp8_e1m6_error,fp3_e2m0_error,fp4_e3m0_error,fp5_e4m0_error,fp6_e5m0_error,fp7_e6m0_error,fp8_e7m0_error
conv1,"(64, 3, 7, 7)",0.70947265625,fp8_e1m6,7.5337724685668945,294.36614990234375,172.30508422851562,102.80903625488281,57.38214111328125,29.86448097229004,14.870173454284668,7.5337724685668945,135.9027557373047,89.09988403320312,88.43951416015625,88.43950653076172,88.43950653076172,88.43950653076172
bn1,"(64,)",0.5399254560470581,fp8_e1m6,0.06630173325538635,7.835539817810059,1.8053948879241943,1.4092333316802979,0.64987713098526,0.3287662863731384,0.18300855159759521,0.06630173325538635,1.8053948879241943,1.8053948879241943,1.8053948879241943,1.8053948879241943,1.8053948879241943,1.8053948879241943
layer1.0.conv1,"(128, 64, 1, 1)",0.654296875,fp8_e1m6,2.7584586143493652,95.28291320800781,66.17552185058594,40.58879470825195,21.93518829345703,10.95883846282959,5.521615028381348,2.7584586143493652,50.83247756958008,27.554306030273438,27.357391357421875,27.35738754272461,27.35738754272461,27.35738754272461
layer1.0.bn1,"(128,)",0.320271760225296,fp8_e1m6,0.08879455924034119,7.593974590301514,2.7046971321105957,1.4675027132034302,0.7250358462333679,0.373695969581604,0.16848169267177582,0.08879455924034119,2.3374929428100586,2.3057847023010254,2.3057847023010254,2.3057847023010254,2.3057847023010254,2.3057847023010254
layer1.0.conv2,"(128, 128, 3, 3)",0.31201171875,fp8_e1m6,15.990777015686035,694.6694946289062,448.22747802734375,251.12330627441406,128.6200714111328,64.36495971679688,32.10551834106445,15.990777015686035,297.23199462890625,170.58853149414062,169.82749938964844,169.82748413085938,169.82748413085938,169.82748413085938
layer1.0.bn2,"(128,)",0.2449088841676712,fp8_e1m6,0.05086847394704819,2.7842464447021484,1.6220706701278687,0.7950673699378967,0.38843032717704773,0.16812008619308472,0.09387718141078949,0.05086847394704819,2.4833924770355225,2.4833924770355225,2.4833619594573975,2.4833619594573975,2.4833619594573975,2.4833619594573975
layer1.0.conv3,"(256, 128, 1, 1)",0.318359375,fp8_e1m6,6.242788791656494,263.2225341796875,171.35540771484375,95.67901611328125,49.09951400756836,24.937965393066406,12.523077011108398,6.242788791656494,111.32212829589844,62.661312103271484,62.31961441040039,62.31951141357422,62.31951141357422,62.31951141357422
layer1.0.bn3,"(256,)",0.3169753849506378,fp8_e1m6,0.19059878587722778,10.77135944366455,5.538420677185059,2.8035693168640137,1.342603325843811,0.7219399213790894,0.3597297966480255,0.19059878587722778,4.832439422607422,4.451642036437988,4.435123920440674,4.435118198394775,4.435118198394775,4.435118198394775
layer1.0.downsample.0,"(256, 64, 1, 1)",1.046875,fp8_e1m6,4.945659637451172,193.69143676757812,120.38372802734375,70.1077651977539,37.99170684814453,19.38983154296875,9.942895889282227,4.945659637451172,94.25642395019531,60.011322021484375,59.58977508544922,59.589759826660156,59.589759826660156,59.589759826660156
layer1.0.downsample.1,"(256,)",0.41367071866989136,fp8_e1m6,0.20741881430149078,9.312417984008789,5.880928039550781,3.1323752403259277,1.5224617719650269,0.7613741755485535,0.3551209568977356,0.20741881430149078,6.550487518310547,6.411418914794922,6.408330917358398,6.408329010009766,6.408329010009766,6.408329010009766
layer1.1.conv1,"(128, 256, 1, 1)",0.2427978515625,fp8_e1m6,5.285100936889648,257.5392150878906,159.15869140625,83.48648071289062,42.05958557128906,21.055866241455078,10.488932609558105,5.285100936889648,101.35855102539062,64.27813720703125,64.08206176757812,64.0819320678711,64.0819320678711,64.0819320678711
