layer,shape,max_val,best_type,best_error,fp2_e1m0_error,fp3_e1m1_error,fp4_e1m2_error,fp5_e1m3_error,fp6_e1m4_error,fp7_e1m5_error,fp8_e1m6_error,fp3_e2m0_error,fp4_e3m0_error,fp5_e4m0_error,fp6_e5m0_error,fp7_e6m0_error,fp8_e7m0_error
conv1,"(64, 3, 7, 7)",0.70947265625,fp8_e1m6,1.6055460037023295e-06,0.003314803820103407,0.000966247811447829,0.00031505548395216465,9.436374966753647e-05,2.5480190743110143e-05,6.3369566305482294e-06,1.6055460037023295e-06,0.0007364129414781928,0.0005642133764922619,0.0005640102899633348,0.0005640102899633348,0.0005640102899633348,0.0005640102899633348
bn1,"(64,)",0.5399254560470581,fp8_e1m6,2.4726100491534453e-06,0.025279661640524864,0.001724408706650138,0.0009506556671112776,0.00020909681916236877,5.2304436394479126e-05,1.6719048289814964e-05,2.4726100491534453e-06,0.001724408706650138,0.001724408706650138,0.001724408706650138,0.001724408706650138,0.001724408706650138,0.001724408706650138
layer1.0.conv1,"(128, 64, 1, 1)",0.654296875,fp8_e1m6,4.378705398266902e-07,0.0005852631293237209,0.00025083578657358885,9.289017179980874e-05,2.8075974114472046e-05,6.9103775786061306e-06,1.8151333733840147e-06,4.378705398266902e-07,0.0002153879904653877,0.00014570399071089923,0.00014565452875103801,0.00014565452875103801,0.00014565452875103801,0.00014565452875103801
layer1.0.bn1,"(128,)",0.320271760225296,fp8_e1m6,8.83716552380065e-07,0.0056187789887189865,0.0008440942037850618,0.0002399953518761322,5.8729026932269335e-05,1.5840862033655867e-05,3.315574758744333e-06,8.83716552380065e-07,0.000677933800034225,0.0006701925303786993,0.0006701925303786993,0.0006701925303786993,0.0006701925303786993,0.0006701925303786993
layer1.0.conv2,"(128, 128, 3, 3)",0.31201171875,fp8_e1m6,4.140376930195089e-08,7.838476449251175e-05,3.1148800189839676e-05,1.0052217476186343e-05,2.6675038498069625e-06,6.742150731042784e-07,1.6868507657363807e-07,4.140376930195089e-08,1.72465752257267e-05,1.0306892363587394e-05,1.030356634146301e-05,1.030356634146301e-05,1.030356634146301e-05,1.030356634146301e-05
layer1.0.bn2,"(128,)",0.2449088841676712,fp8_e1m6,2.7021906134905294e-07,0.0009925487684085965,0.00028385911718942225,6.918111466802657e-05,1.6971063814708032e-05,3.1921931622491684e-06,9.264798563890508e-07,2.7021906134905294e-07,0.0008456474170088768,0.0008456474170088768,0.0008456474170088768,0.0008456474170088768,0.0008456474170088768,0.0008456474170088768
layer1.0.conv3,"(256, 128, 1, 1)",0.318359375,fp8_e1m6,1.0544727047090419e-07,0.00021886604372411966,8.462368714390323e-05,2.5309305783594027e-05,6.524806849483866e-06,1.6668410580678028e-06,4.231870320836606e-07,1.0544727047090419e-07,4.303095192881301e-05,2.6373907530796714e-05,2.6366331439930946e-05,2.6366331439930946e-05,2.6366331439930946e-05,2.6366331439930946e-05
layer1.0.bn3,"(256,)",0.3169753849506378,fp8_e1m6,9.522577784082387e-07,0.003453643526881933,0.0008984978776425123,0.00023080963001120836,5.2469054935500026e-05,1.4586768884328194e-05,3.532992423060932e-06,9.522577784082387e-07,0.0007296844851225615,0.0006938970182090998,0.0006937907892279327,0.0006937907892279327,0.0006937907892279327,0.0006937907892279327
layer1.0.downsample.0,"(256, 64, 1, 1)",1.046875,fp8_e1m6,3.8007917169124994e-07,0.0006049000658094883,0.00019875973521266133,6.881197623442858e-05,2.0752264390466735e-05,5.627278824249515e-06,1.526567302789772e-06,3.8007917169124994e-07,0.00018529989756643772,0.0001428398536518216,0.00014276659931056201,0.00014276659931056201,0.00014276659931056201,0.00014276659931056201
layer1.0.downsample.1,"(256,)",0.41367071866989136,fp8_e1m6,1.0921191915258532e-06,0.002643049228936434,0.000929752888623625,0.00025871946127153933,6.219683564268053e-05,1.574373891344294e-05,3.3458754842286e-06,1.0921191915258532e-06,0.0013152484316378832,0.0013027980457991362,0.0013027798850089312,0.0013027798850089312,0.0013027798850089312,0.0013027798850089312
layer1.1.conv1,"(128, 256, 1, 1)",0.2427978515625,fp8_e1m6,6.32789962651259e-08,0.00015798448293935508,5.737487299484201e-05,1.589971361681819e-05,3.996114173787646e-06,1.005022113531595e-06,2.4944984033936635e-07,6.32789962651259e-08,2.9982764317537658e-05,2.0391489670146257e-05,2.038814636762254e-05,2.038814636762254e-05,2.038814636762254e-05,2.038814636762254e-05
layer1.1.bn1,"(128,)",0.23280052840709686,fp8_e1m6,2.6331181857131014e-07,0.001068937941454351,0.0002948868786916137,6.291459430940449e-05,1.435904050595127e-05,3.7576437534880824e-06,1.1668687420751667e-06,2.6331181857131014e-07,0.0009961159667000175,0.0009961159667000175,0.0009961159667000175,0.0009961159667000175,0.0009961159667000175,0.0009961159667000175
layer1.1.conv2,"(128, 128, 3, 3)",0.29248046875,fp8_e1m6,3.6190691332649294e-08,7.970020669745281e-05,2.9216456823633052e-05,8.739106306165922e-06,2.3179297841124935e-06,5.759987971032388e-07,1.4611819665333314e-07,3.6190691332649294e-08,1.54654208017746e-05,9.886127372737974e-06,9.883420716505498e-06,9.883420716505498e-06,9.883420716505498e-06,9.883420716505498e-06
layer1.1.bn2,"(128,)",0.260072261095047,fp8_e1m6,1.1070318350903108e-06,0.009179017506539822,0.0007051124703139067,0.00026258063735440373,6.0613645473495126e-05,1.741523556120228e-05,4.353450094640721e-06,1.1070318350903108e-06,0.0006557616870850325,0.0006557616870850325,0.0006557616870850325,0.0006557616870850325,0.0006557616870850325,0.0006557616870850325
layer1.1.conv3,"(256, 128, 1, 1)",0.268310546875,fp8_e1m6,9.305597359343665e-08,0.00017658391152508557,6.95008784532547e-05,2.21449627133552e-05,5.902549219172215e-06,1.4875262195346295e-06,3.7661959595425287e-07,9.305597359343665e-08,3.711986937560141e-05,2.178654176532291e-05,2.1779407688882202e-05,2.1779407688882202e-05,2.1779407688882202e-05,2.1779407688882202e-05
layer1.1.bn3,"(256,)",0.23031412065029144,fp8_e1m6,2.8636253546210355e-07,0.0008405453991144896,0.0001994285121327266,5.564712409977801e-05,1.521982721897075e-05,4.829142653761664e-06,1.1672278787955293e-06,2.8636253546210355e-07,0.0004210856859572232,0.00040734244976192713,0.0004073089803569019,0.0004073089803569019,0.0004073089803569019,0.0004073089803569019
layer1.2.conv1,"(128, 256, 1, 1)",0.195068359375,fp8_e1m6,8.2665891909528e-08,0.00018837010429706424,7.144559640437365e-05,2.0356794266263023e-05,5.243481155048357e-06,1.3381493317865534e-06,3.2762764590188453e-07,8.2665891909528e-08,3.431004734011367e-05,2.1423387806862593e-05,2.1418156393337995e-05,2.1418156393337995e-05,2.1418156393337995e-05,2.1418156393337995e-05
layer1.2.bn1,"(128,)",0.19141758978366852,fp8_e1m6,1.9475926649192843e-07,0.0008215396082960069,0.0002586606133263558,5.7081815612036735e-05,1.4959605323383585e-05,4.369497219158802e-06,9.660742534833844e-07,1.9475926649192843e-07,0.0008215396082960069,0.0008215396082960069,0.0008215396082960069,0.0008215396082960069,0.0008215396082960069,0.0008215396082960069
layer1.2.conv2,"(128, 128, 3, 3)",0.1845703125,fp8_e1m6,3.458929498378893e-08,0.00010430001566419378,3.3555883419467136e-05,8.77693310030736e-06,2.195398792537162e-06,5.500506858879817e-07,1.380213774382355e-07,3.458929498378893e-08,1.6622469047433697e-05,1.1961269592575263e-05,1.1959978110098746e-05,1.1959978110098746e-05,1.1959978110098746e-05,1.1959978110098746e-05
layer1.2.bn2,"(128,)",0.2763352692127228,fp8_e1m6,1.4043286000742228e-06,0.0094087403267622,0.000954083981923759,0.00035743642365559936,9.130872786045074e-05,1.8123899280908518e-05,4.947977686242666e-06,1.4043286000742228e-06,0.0009526865324005485,0.0009526865324005485,0.0009526865324005485,0.0009526865324005485,0.0009526865324005485,0.0009526865324005485
layer1.2.conv3,"(256, 128, 1, 1)",0.2259521484375,fp8_e1m6,8.611059598706561e-08,0.00020091254555154592,7.157916843425483e-05,2.012782897509169e-05,5.365873221307993e-06,1.3656850796905928e-06,3.403536084078951e-07,8.611059598706561e-08,3.695512714330107e-05,2.481368210283108e-05,2.4808086891425774e-05,2.4808086891425774e-05,2.4808086891425774e-05,2.4808086891425774e-05
layer1.2.bn3,"(256,)",0.2662459909915924,fp8_e1m6,1.2019581845379435e-06,0.0035476828925311565,0.0006790099432691932,0.00014629359066020697,4.7989804443204775e-05,1.3619672245113179e-05,3.868249223160092e-06,1.2019581845379435e-06,0.0004291391815058887,0.0004189159953966737,0.00041841540951281786,0.00041841540951281786,0.00041841540951281786,0.00041841540951281786
layer2.0.conv1,"(256, 256, 1, 1)",0.242919921875,fp8_e1m6,8.128553474762157e-08,0.00020181410945951939,7.079224451445043e-05,2.0065415810677223e-05,5.186383532418404e-06,1.3021376616961788e-06,3.240196519982419e-07,8.128553474762157e-08,3.594309964682907e-05,2.3847127522458322e-05,2.384254548815079e-05,2.384254548815079e-05,2.384254548815079e-05,2.384254548815079e-05
