layer_type,num_weights,num_inputs,num_outputs,num_macs,cycles,input_data_elements,output_data_elements,bw_in_elements_per_cycle,bw_out_elements_per_cycle,bw_total_elements_per_cycle,macs_status,input_shape,output_shape,batch_size,layer_name
Conv2d + ReLU,307392 + 0,46656,139968,223948800,1749600,354048.0,139968,,,0.2823593964334705,ok,"(1, 64, 27, 27)","(1, 192, 27, 27)",1,features.3 + features.4
Conv2d + ReLU,23296 + 0,150528,193600,70276800,549038,173824.0,193600,,,0.6692141527544542,ok,"(1, 3, 224, 224)","(1, 64, 55, 55)",1,features.0 + features.1
Conv2d + ReLU,884992 + 0,64896,43264,149520384,1168128,949888.0,43264,,,0.8502081963620425,ok,"(1, 384, 13, 13)","(1, 256, 13, 13)",1,features.8 + features.9
Conv2d + ReLU,590080 + 0,43264,43264,99680256,778752,633344.0,43264,,,0.868836291913215,ok,"(1, 256, 13, 13)","(1, 256, 13, 13)",1,features.10 + features.11
Conv2d + ReLU,663936 + 0,32448,64896,112140288,876096,696384.0,64896,,,0.868945868945869,ok,"(1, 192, 13, 13)","(1, 384, 13, 13)",1,features.6 + features.7
MaxPool2d,0,193600,46656,419904,3281,193600.0,46656,,,73.22645534897897,ok,"(1, 64, 55, 55)","(1, 64, 27, 27)",1,features.2
MaxPool2d,0,139968,32448,292032,2282,139968.0,32448,,,75.55477651183173,ok,"(1, 192, 27, 27)","(1, 192, 13, 13)",1,features.5
MaxPool2d,0,43264,9216,82944,648,43264.0,9216,,,80.98765432098764,ok,"(1, 256, 13, 13)","(1, 256, 6, 6)",1,features.12
Linear + ReLU,37752832 + 0,9216,4096,37748736,294912,37762048.0,4096,,,128.05902777777777,ok,"(1, 9216)","(1, 4096)",1,classifier.1 + classifier.2
Linear + ReLU,16781312 + 0,4096,4096,16777216,131072,16785408.0,4096,,,128.09375,ok,"(1, 4096)","(1, 4096)",1,classifier.4 + classifier.5
Linear,4097000,4096,1000,4096000,32000,4101096.0,1000,,,128.1905,ok,"(1, 4096)","(1, 1000)",1,classifier.6
AdaptiveAvgPool2d,0,9216,9216,9216,72,9216.0,9216,,,256.0,ok,"(1, 256, 6, 6)","(1, 256, 6, 6)",1,avgpool
Dropout,0,9216,9216,0,0,9216.0,9216,,,0,zero_known,"(1, 9216)","(1, 9216)",1,classifier.0
Dropout,0,4096,4096,0,0,4096.0,4096,,,0,zero_known,"(1, 4096)","(1, 4096)",1,classifier.3
