layer_type                 , num_layers, num_weights       , num_inputs, num_outputs, num_macs , cycles, input_data_elements, output_data_elements, bw_in_elements_per_cycle, bw_out_elements_per_cycle, bw_total_elements_per_cycle, macs_status, input_shape                                 , output_shape       , batch_size, layer_name
Conv2d + BatchNorm2d + ReLU,          3, 9408 + 128 + 0    ,     150528,      802816, 118013952, 921984,            160064.0,               802816,                         ,                          ,         1.044356518117451  , ok         , "(1, 3, 224, 224)"                          , "(1, 64, 112, 112)",          1, conv1 + bn1 + relu
MaxPool2d                  ,          1, 0                 ,     802816,      200704,   1806336,  14112,            802816.0,               200704,                         ,                          ,        71.11111111111111   , ok         , "(1, 64, 112, 112)"                         , "(1, 64, 56, 56)"  ,          1, maxpool
Conv2d + BatchNorm2d + ReLU,          3, 4096 + 128 + 0    ,     200704,      200704,  12845056, 100352,            204928.0,               200704,                         ,                          ,         4.042091836734694  , ok         , "(1, 64, 56, 56)"                           , "(1, 64, 56, 56)"  ,          1, layer1.0.conv1 + layer1.0.bn1 + layer1.0.relu
Conv2d + BatchNorm2d       ,          2, 36864 + 128       ,     200704,      200704, 115605504, 903168,            237696.0,               200704,                         ,                          ,         0.48540249433106575, ok         , "(1, 64, 56, 56)"                           , "(1, 64, 56, 56)"  ,          1, layer1.0.conv2 + layer1.0.bn2
Conv2d + BatchNorm2d       ,          2, 16384 + 512       ,     200704,      802816,  51380224, 401408,            217600.0,               802816,                         ,                          ,         2.542091836734694  , ok         , "(1, 64, 56, 56)"                           , "(1, 256, 56, 56)" ,          1, layer1.0.conv3 + layer1.0.bn3
Conv2d + BatchNorm2d       ,          2, 16384 + 512       ,     200704,      802816,  51380224, 401408,            217600.0,               802816,                         ,                          ,         2.542091836734694  , ok         , "(1, 64, 56, 56)"                           , "(1, 256, 56, 56)" ,          1, layer1.0.downsample.0 + layer1.0.downsample.1
ResidualAdd                ,          1, 0                 ,    1605632,      802816,    802816,   6272,           1605632.0,               802816,                         ,                          ,       384.0                , ok         , "['(1, 256, 56, 56)', '(1, 256, 56, 56)']"  , "(1, 256, 56, 56)" ,          1, residual_add_0
Conv2d + BatchNorm2d + ReLU,          3, 16384 + 128 + 0   ,     802816,      200704,  51380224, 401408,            819328.0,               200704,                         ,                          ,         2.5411352040816326 , ok         , "(1, 256, 56, 56)"                          , "(1, 64, 56, 56)"  ,          1, layer1.1.conv1 + layer1.1.bn1 + layer1.1.relu
Conv2d + BatchNorm2d       ,          2, 36864 + 128       ,     200704,      200704, 115605504, 903168,            237696.0,               200704,                         ,                          ,         0.48540249433106575, ok         , "(1, 64, 56, 56)"                           , "(1, 64, 56, 56)"  ,          1, layer1.1.conv2 + layer1.1.bn2
Conv2d + BatchNorm2d       ,          2, 16384 + 512       ,     200704,      802816,  51380224, 401408,            217600.0,               802816,                         ,                          ,         2.542091836734694  , ok         , "(1, 64, 56, 56)"                           , "(1, 256, 56, 56)" ,          1, layer1.1.conv3 + layer1.1.bn3
ResidualAdd                ,          1, 0                 ,    1605632,      802816,    802816,   6272,           1605632.0,               802816,                         ,                          ,       384.0                , ok         , "['(1, 256, 56, 56)', '(1, 256, 56, 56)']"  , "(1, 256, 56, 56)" ,          1, residual_add_1
Conv2d + BatchNorm2d + ReLU,          3, 16384 + 128 + 0   ,     802816,      200704,  51380224, 401408,            819328.0,               200704,                         ,                          ,         2.5411352040816326 , ok         , "(1, 256, 56, 56)"                          , "(1, 64, 56, 56)"  ,          1, layer1.2.conv1 + layer1.2.bn1 + layer1.2.relu
Conv2d + BatchNorm2d       ,          2, 36864 + 128       ,     200704,      200704, 115605504, 903168,            237696.0,               200704,                         ,                          ,         0.48540249433106575, ok         , "(1, 64, 56, 56)"                           , "(1, 64, 56, 56)"  ,          1, layer1.2.conv2 + layer1.2.bn2
Conv2d + BatchNorm2d       ,          2, 16384 + 512       ,     200704,      802816,  51380224, 401408,            217600.0,               802816,                         ,                          ,         2.542091836734694  , ok         , "(1, 64, 56, 56)"                           , "(1, 256, 56, 56)" ,          1, layer1.2.conv3 + layer1.2.bn3
ResidualAdd                ,          1, 0                 ,    1605632,      802816,    802816,   6272,           1605632.0,               802816,                         ,                          ,       384.0                , ok         , "['(1, 256, 56, 56)', '(1, 256, 56, 56)']"  , "(1, 256, 56, 56)" ,          1, residual_add_2
Conv2d + BatchNorm2d + ReLU,          3, 32768 + 256 + 0   ,     802816,      401408, 102760448, 802816,            835840.0,               401408,                         ,                          ,         1.5411352040816326 , ok         , "(1, 256, 56, 56)"                          , "(1, 128, 56, 56)" ,          1, layer2.0.conv1 + layer2.0.bn1 + layer2.0.relu
Conv2d + BatchNorm2d       ,          2, 147456 + 256      ,     401408,      100352, 115605504, 903168,            549120.0,               100352,                         ,                          ,         0.7191043083900226 , ok         , "(1, 128, 56, 56)"                          , "(1, 128, 28, 28)" ,          1, layer2.0.conv2 + layer2.0.bn2
Conv2d + BatchNorm2d       ,          2, 65536 + 1024      ,     100352,      401408,  51380224, 401408,            166912.0,               401408,                         ,                          ,         1.4158163265306123 , ok         , "(1, 128, 28, 28)"                          , "(1, 512, 28, 28)" ,          1, layer2.0.conv3 + layer2.0.bn3
Conv2d + BatchNorm2d       ,          2, 131072 + 1024     ,     802816,      401408, 102760448, 802816,            934912.0,               401408,                         ,                          ,         1.6645408163265305 , ok         , "(1, 256, 56, 56)"                          , "(1, 512, 28, 28)" ,          1, layer2.0.downsample.0 + layer2.0.downsample.1
ResidualAdd                ,          1, 0                 ,     802816,      401408,    401408,   3136,            802816.0,               401408,                         ,                          ,       384.0                , ok         , "['(1, 512, 28, 28)', '(1, 512, 28, 28)']"  , "(1, 512, 28, 28)" ,          1, residual_add_3
