layer_type,num_weights,num_inputs,num_outputs,num_macs,cycles,input_data_elements,output_data_elements,bw_in_elements_per_cycle,bw_out_elements_per_cycle,bw_total_elements_per_cycle,macs_status,input_shape,output_shape,batch_size,layer_name
Conv2d + BatchNorm2d,147456 + 256,100352,100352,115605504,903168,248064.0,100352,,,0.38577097505668934,ok,"(1, 128, 28, 28)","(1, 128, 28, 28)",1,layer2.0.conv2 + layer2.0.bn2
Conv2d + BatchNorm2d + ReLU,147456 + 256 + 0,100352,100352,115605504,903168,248064.0,100352,,,0.38577097505668934,ok,"(1, 128, 28, 28)","(1, 128, 28, 28)",1,layer2.1.conv1 + layer2.1.bn1 + layer2.1.relu
Conv2d + BatchNorm2d,147456 + 256,100352,100352,115605504,903168,248064.0,100352,,,0.38577097505668934,ok,"(1, 128, 28, 28)","(1, 128, 28, 28)",1,layer2.1.conv2 + layer2.1.bn2
Conv2d + BatchNorm2d + ReLU,36864 + 128 + 0,200704,200704,115605504,903168,237696.0,200704,,,0.48540249433106575,ok,"(1, 64, 56, 56)","(1, 64, 56, 56)",1,layer1.0.conv1 + layer1.0.bn1 + layer1.0.relu
Conv2d + BatchNorm2d,36864 + 128,200704,200704,115605504,903168,237696.0,200704,,,0.48540249433106575,ok,"(1, 64, 56, 56)","(1, 64, 56, 56)",1,layer1.0.conv2 + layer1.0.bn2
Conv2d + BatchNorm2d + ReLU,36864 + 128 + 0,200704,200704,115605504,903168,237696.0,200704,,,0.48540249433106575,ok,"(1, 64, 56, 56)","(1, 64, 56, 56)",1,layer1.1.conv1 + layer1.1.bn1 + layer1.1.relu
Conv2d + BatchNorm2d,36864 + 128,200704,200704,115605504,903168,237696.0,200704,,,0.48540249433106575,ok,"(1, 64, 56, 56)","(1, 64, 56, 56)",1,layer1.1.conv2 + layer1.1.bn2
Conv2d + BatchNorm2d,589824 + 512,50176,50176,115605504,903168,640512.0,50176,,,0.7647392290249434,ok,"(1, 256, 14, 14)","(1, 256, 14, 14)",1,layer3.0.conv2 + layer3.0.bn2
Conv2d + BatchNorm2d + ReLU,589824 + 512 + 0,50176,50176,115605504,903168,640512.0,50176,,,0.7647392290249434,ok,"(1, 256, 14, 14)","(1, 256, 14, 14)",1,layer3.1.conv1 + layer3.1.bn1 + layer3.1.relu
Conv2d + BatchNorm2d,589824 + 512,50176,50176,115605504,903168,640512.0,50176,,,0.7647392290249434,ok,"(1, 256, 14, 14)","(1, 256, 14, 14)",1,layer3.1.conv2 + layer3.1.bn2
