input_id,required_role,path,sha256,availability,opened_or_decoded_in_phase3,phase3_use,provenance_decision
phase2_feasibility,prior frozen feasibility bundle,runspace/experiments/pimsimulator_feasibility,8f0709f39267e79414cf9b7c9b2bde675b42531ffa45d90c0c71b730ca50f97b,AVAILABLE,false,hash guard and diagnostic reference,ADMISSIBLE_FROZEN_INPUT
add_diagnostic,prior frozen diagnostic bundle,runspace/experiments/pimsimulator_add_diagnostic,6d64351133f952431d478162f644b0ddab6b5a3fb3fca40190d0fb5dd7fc8e96,AVAILABLE,false,hash guard and accepted classification,ADMISSIBLE_FROZEN_INPUT
pimsimulator_source,exact upstream source archive,https://github.com/SAITPublic/PIMSimulator.git@3703d1f19c8f027360cc33a3243eb271e3bb6898,803b018642bd0858f56ead6c716ca6fba38c42c63459b0b402b2a54ad167f392,AVAILABLE,true,clean export build and execution,ADMISSIBLE_FROZEN_INPUT
pimsimulator_container,clean build/runtime image,runspace/experiments/pimsimulator_feasibility/dependencies/pimsimulator-ubuntu20.04.sif,5e9455a5c0cfdf9e68c818473f66498bc1b7e911850f85e5b30a40091ec12db4,AVAILABLE,true,clean build and execution,ADMISSIBLE_FROZEN_INPUT
resnet50_shape_trace,workload shape source,runspace/experiments/asic_cache_simulation/simulation_results_resnet50.json,6a6a4bec2b90a791b92023382a5fbb45354a0c0e629e6c84164ee44b809fae2d,AVAILABLE,true,representative shape derivation,TRACE_DERIVED_WITH_CHECKPOINT_LIMITATION
model_list,model name and DEFAULT weights declaration,runspace/inputs/models.yaml,427e6d3d3365a95162322a3a7055309f055a8fb0237264c67b6357f6d142ce2e,AVAILABLE,true,model declaration,INSUFFICIENT_TO_FREEZE_CHECKPOINT
input_quant_quality,directional input quality JSON,runspace/experiments/find_optimal_input_quant/results/latest_db_results.json,3721af0650cb30cf3caeb32978d063ae26e25480624653420470f271befe7975,AVAILABLE,false,hash only in completion audit,NOT_CONSUMED_BY_PIM_COST_MODEL
weight_quant_quality,directional weight quality JSON,runspace/experiments/find_optimal_weight_quant/results/latest_db_results.json,f1c1830e5a859e312875523ce285f40b4c5fa4b9c3d8c03909e83c30b27b9198,AVAILABLE,false,hash only in completion audit,NOT_CONSUMED_BY_PIM_COST_MODEL
hybrid_quant_quality,directional hybrid quality JSON,runspace/experiments/find_optimal_hybrid_quant/results/latest_db_results.json,942093102afd8a850bfd790f41adc6c6617486379518dd5ee00e4ae056102501,AVAILABLE,true,physical-run provenance only,HOST_DEVICE_PROVENANCE_UNRESOLVED
runs_database,quality source database,runspace/database/runs.db,401a06b517765a9811a4f489ba9b7dde58a821dc40bb100d94ca27ff8660ca2b,AVAILABLE,false,hash guard only,NOT_QUERIED_IN_PHASE3
frozen_l40s_bundle,required host measurement bundle,,,NOT_LOCATED,false,none,PROVENANCE_GATE_FAILURE
frozen_h100_bundle,required host comparison bundle,,,NOT_LOCATED,false,none,PROVENANCE_GATE_FAILURE
frozen_parametric_bundle,required assumed boundary parameter source,,,NOT_LOCATED,false,none,PROVENANCE_GATE_FAILURE
frozen_stage1_plan,required workload/optimizer plan,,,NOT_LOCATED,false,none,PROVENANCE_GATE_FAILURE
locked_48000_split_manifest,hash guard for forbidden final evaluation split,,,NOT_LOCATED,false,none,PROVENANCE_GATE_FAILURE_FINAL_DATA_NOT_OPENED
resnet50_checkpoint,exact model checkpoint file/enum,,,NOT_RESOLVED,false,none,PROVENANCE_GATE_FAILURE
