model_name,logical_record_index,physical_run_id,physical_cluster_size,selection_direction,reconstructed_duplicate,weight_type,weight_mode,input_type,input_mode,bit_width,experiment_type,acc1,acc5,mse,l1,host_provenance_label,independent_measurement_in_phase3,independent_statistical_sample_in_phase3,pim_cost_candidate,pim_format_status
resnet50,0,950,1,reference,false,fp32,fp32,fp32,fp32,32,fp32_ref,80.324,95.142,,,UNRESOLVED_HOST_PROVENANCE,false,false,false,NOT_MAPPED_TO_PIM
resnet50,1,1216,1,input_fixed,false,fp8_e1m6,baseline,fp8_e1m6,baseline,8,hybrid_quant_optimal,80.102,95.018,3.385213887800122e-05,0.005282995707924861,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,2,1065,1,,false,fp8_e2m5,best_baseline,dyn_input_mse_8bit,dynamic,8,hybrid_quant_optimal,80.11,95.01,2.335146470393302e-05,0.004206191257275472,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,3,1067,2,input_fixed,true,fp8_e2m5,best_baseline,fp8_e1m6,best_baseline,8,hybrid_quant_optimal,80.246,95.012,3.400965352815133e-05,0.005290820767656368,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,4,1067,2,weight_fixed,true,fp8_e2m5,best_baseline,fp8_e1m6,best_baseline,8,hybrid_quant_optimal,80.246,95.012,3.400965352815133e-05,0.005290820767656368,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,5,1210,1,weight_fixed,false,fp8_e2m5,baseline,fp8_e2m5,baseline,8,hybrid_quant_optimal,80.134,95.016,3.2697278910163074e-05,0.004625824373114643,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,6,1209,1,weight_fixed,false,fp8_e2m5,baseline,fp8_e3m4,baseline,8,hybrid_quant_optimal,80.01,94.926,0.00012270729102685735,0.008419057162741822,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,7,1208,1,weight_fixed,false,fp8_e2m5,baseline,fp8_e4m3,baseline,8,hybrid_quant_optimal,79.306,94.618,0.0004895107268829741,0.01681574266210272,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,8,1207,1,weight_fixed,false,fp8_e2m5,baseline,fp8_e5m2,baseline,8,hybrid_quant_optimal,76.34,93.486,0.0019750345206537034,0.03369028323164843,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
resnet50,9,1206,1,weight_fixed,false,fp8_e2m5,baseline,fp8_e6m1,baseline,8,hybrid_quant_optimal,62.492,85.896,0.007770578766507205,0.06718325496885678,UNRESOLVED_HOST_PROVENANCE,false,false,false,UNSUPPORTED_PIM_FORMAT
