split,case_id,repeat,kernel,evidence_label,logical_elements,padded_elements,logical_output_dim,logical_input_dim,vectors,parallel_tiles,input_tiles,input_count,padded_bursts,weight_bursts,partial_sum_bursts,initial_residency_cycles,kernel_execution_cycles,result_readback_cycles,native_total_cycles,native_total_read_transactions,native_total_write_transactions,exact_bit_mismatches,outside_pim_uncosted_operations,outside_pim_uncosted_operation_type,exit_code,stdout_sha256,stderr_sha256,traffic_logical_input_bytes,traffic_padded_input_bytes,traffic_logical_output_bytes,traffic_padded_output_readback_bytes,traffic_logical_weight_bytes,traffic_padded_weight_residency_bytes,traffic_padded_input_upload_bytes,traffic_partial_sum_readback_bytes
development,dev_add_1tile,1,ADD,SIMULATED_PIM_HBM2,131072,131072,,,,1,,2,8192,,,557,731,300,1588,12288,17984,0,0,,0,6659d082ce396a3101f78a0bb78d85bba5eb74309beff95092647c2aa6a6be77,13a8498ab8a3180e6c2a8daddb0db88bb69b026fbc7ad5bd835f9c5d0a745d35,524288,524288,262144,262144,,,,
development,dev_add_1tile,2,ADD,SIMULATED_PIM_HBM2,131072,131072,,,,1,,2,8192,,,557,731,300,1588,12288,17984,0,0,,0,6659d082ce396a3101f78a0bb78d85bba5eb74309beff95092647c2aa6a6be77,13a8498ab8a3180e6c2a8daddb0db88bb69b026fbc7ad5bd835f9c5d0a745d35,524288,524288,262144,262144,,,,
development,dev_add_3tile,1,ADD,SIMULATED_PIM_HBM2,393216,393216,,,,3,,2,24576,,,1581,1739,813,4133,32768,52800,0,0,,0,2485d1a06b6fb0b01253ae8a5a81f279390c941bd8e4743820787a37dc9b0c72,13a8498ab8a3180e6c2a8daddb0db88bb69b026fbc7ad5bd835f9c5d0a745d35,1572864,1572864,786432,786432,,,,
development,dev_add_3tile,2,ADD,SIMULATED_PIM_HBM2,393216,393216,,,,3,,2,24576,,,1581,1739,813,4133,32768,52800,0,0,,0,2485d1a06b6fb0b01253ae8a5a81f279390c941bd8e4743820787a37dc9b0c72,13a8498ab8a3180e6c2a8daddb0db88bb69b026fbc7ad5bd835f9c5d0a745d35,1572864,1572864,786432,786432,,,,
development,dev_add_5tile,1,ADD,SIMULATED_PIM_HBM2,655360,655360,,,,5,,2,40960,,,2681,2368,1702,6751,53248,87616,0,0,,0,8df6f1bd2213edcdd7bfbb04a246c601a0d46bc3a4f976559151ca63316ba34b,13a8498ab8a3180e6c2a8daddb0db88bb69b026fbc7ad5bd835f9c5d0a745d35,2621440,2621440,1310720,1310720,,,,
development,dev_add_5tile,2,ADD,SIMULATED_PIM_HBM2,655360,655360,,,,5,,2,40960,,,2681,2368,1702,6751,53248,87616,0,0,,0,8df6f1bd2213edcdd7bfbb04a246c601a0d46bc3a4f976559151ca63316ba34b,13a8498ab8a3180e6c2a8daddb0db88bb69b026fbc7ad5bd835f9c5d0a745d35,2621440,2621440,1310720,1310720,,,,
development,dev_relu_1tile,1,RELU,SIMULATED_PIM_HBM2,131072,131072,,,,1,,1,8192,,,280,613,300,1193,11264,9792,0,0,,0,b7bdb5bf213370e87540adc55f93d3425955850ce6cbe5394a16fd9173b53a55,13a8498ab8a3180e6c2a8daddb0db88bb69b026fbc7ad5bd835f9c5d0a745d35,262144,262144,262144,262144,,,,
development,dev_relu_1tile,2,RELU,SIMULATED_PIM_HBM2,131072,131072,,,,1,,1,8192,,,280,613,300,1193,11264,9792,0,0,,0,b7bdb5bf213370e87540adc55f93d3425955850ce6cbe5394a16fd9173b53a55,13a8498ab8a3180e6c2a8daddb0db88bb69b026fbc7ad5bd835f9c5d0a745d35,262144,262144,262144,262144,,,,
development,dev_relu_3tile,1,RELU,SIMULATED_PIM_HBM2,393216,393216,,,,3,,1,24576,,,792,1021,1195,3008,29696,28224,0,0,,0,32a541a2200e5ffa759dab8ba5bc9d7163ebba6dd6569154126ad33fda36190d,13a8498ab8a3180e6c2a8daddb0db88bb69b026fbc7ad5bd835f9c5d0a745d35,786432,786432,786432,786432,,,,
development,dev_relu_3tile,2,RELU,SIMULATED_PIM_HBM2,393216,393216,,,,3,,1,24576,,,792,1021,1195,3008,29696,28224,0,0,,0,32a541a2200e5ffa759dab8ba5bc9d7163ebba6dd6569154126ad33fda36190d,13a8498ab8a3180e6c2a8daddb0db88bb69b026fbc7ad5bd835f9c5d0a745d35,786432,786432,786432,786432,,,,
