# pseudo_MSE hardware test vectors
# seed=20260625
# bit_widths=8,7,6,5,4
# num_chunks_per_bit_width=10
# chunk_size=128
# signedness: sgn=1 for every section in this file
# chunk scale source: DynamicInputQuantizer._chunk_scale(raw_chunk)
# chunk scale definition: pow2_floor(max(abs(raw_chunk))) with 1.0 for all-zero chunks
# metric input: values are already scaled FP32 numbers (scaled_v)
# raw_fp32 values are provided only to test the pre-scale path
# feed scaled_fp32 values to the pseudo_MSE block, or compute scaled_fp32 = raw_fp32 / chunk_scale
# decision rule: choose_exp2 if sum((scaled-q_exp2)^2 - (scaled-q_exp1)^2) < 0 else choose_exp1
# value mode: raw-and-scaled
# chunk_scale rows: chunk_scale chunk_scale_fp32_hex chunk_scale_fp32_dec
# chunk max rows use max absolute value; *_value is the signed value at that index
# chunk max rows: chunk_max_abs_index value_index, chunk_max_abs_raw_value raw_fp32_hex raw_fp32_dec, chunk_max_abs_raw_abs raw_abs_fp32_hex raw_abs_fp32_dec, chunk_max_abs_scaled_value scaled_fp32_hex scaled_fp32_dec, chunk_max_abs_scaled_abs scaled_abs_fp32_hex scaled_abs_fp32_dec
# raw max alias rows: raw_max_abs_index, raw_max_abs_value, raw_max_abs_abs
# raw-and-scaled max summary rows: raw_and_scaled_max_abs value_index scale_fp32_hex scale_fp32_dec raw_value_fp32_hex raw_value_fp32_dec raw_abs_fp32_hex raw_abs_fp32_dec scaled_value_fp32_hex scaled_value_fp32_dec scaled_abs_fp32_hex scaled_abs_fp32_dec
# value rows: value_index raw_fp32_hex raw_fp32_dec scaled_fp32_hex scaled_fp32_dec
# scaled_fp32_dec = raw_fp32_dec / scale_fp32_dec

BEGIN_BIT_WIDTH 8
sgn 1
exp1_format fp8_e1m6
exp2_format fp8_e2m5
m1 6
m2 5
BEGIN_CHUNK 0
err_exp1 0.00207519531
err_exp2 0.0107421875
chunk_diff_exp2_minus_exp1 0.00866699219
expected_decision exp1
chunk_max_abs_index 127
raw_max_abs_index 127
raw_max_abs_value 0xbfff8000 -1.99609375
raw_max_abs_abs 0x3fff8000 1.99609375
chunk_max_abs_raw_value 0xbfff8000 -1.99609375
chunk_max_abs_raw_abs 0x3fff8000 1.99609375
raw_and_scaled_max_abs 127 0x3f800000 1 0xbfff8000 -1.99609375 0x3fff8000 1.99609375 0xbfff8000 -1.99609375 0x3fff8000 1.99609375
chunk_max_abs_scaled_value 0xbfff8000 -1.99609375
chunk_max_abs_scaled_abs 0x3fff8000 1.99609375
chunk_scale 0x3f800000 1
# value_index raw_fp32_hex raw_fp32_dec scaled_fp32_hex scaled_fp32_dec
VALUES_BEGIN
000 0x3f808000 1.00390625 0x3f808000 1.00390625
001 0xbf818000 -1.01171875 0xbf818000 -1.01171875
002 0x3f828000 1.01953125 0x3f828000 1.01953125
003 0xbf838000 -1.02734375 0xbf838000 -1.02734375
004 0x3f848000 1.03515625 0x3f848000 1.03515625
005 0xbf858000 -1.04296875 0xbf858000 -1.04296875
006 0x3f868000 1.05078125 0x3f868000 1.05078125
007 0xbf878000 -1.05859375 0xbf878000 -1.05859375
008 0x3f888000 1.06640625 0x3f888000 1.06640625
009 0xbf898000 -1.07421875 0xbf898000 -1.07421875
010 0x3f8a8000 1.08203125 0x3f8a8000 1.08203125
011 0xbf8b8000 -1.08984375 0xbf8b8000 -1.08984375
012 0x3f8c8000 1.09765625 0x3f8c8000 1.09765625
013 0xbf8d8000 -1.10546875 0xbf8d8000 -1.10546875
014 0x3f8e8000 1.11328125 0x3f8e8000 1.11328125
015 0xbf8f8000 -1.12109375 0xbf8f8000 -1.12109375
016 0x3f908000 1.12890625 0x3f908000 1.12890625
017 0xbf918000 -1.13671875 0xbf918000 -1.13671875
018 0x3f928000 1.14453125 0x3f928000 1.14453125
019 0xbf938000 -1.15234375 0xbf938000 -1.15234375
020 0x3f948000 1.16015625 0x3f948000 1.16015625
021 0xbf958000 -1.16796875 0xbf958000 -1.16796875
022 0x3f968000 1.17578125 0x3f968000 1.17578125
023 0xbf978000 -1.18359375 0xbf978000 -1.18359375
024 0x3f988000 1.19140625 0x3f988000 1.19140625
025 0xbf998000 -1.19921875 0xbf998000 -1.19921875
026 0x3f9a8000 1.20703125 0x3f9a8000 1.20703125
027 0xbf9b8000 -1.21484375 0xbf9b8000 -1.21484375
028 0x3f9c8000 1.22265625 0x3f9c8000 1.22265625
029 0xbf9d8000 -1.23046875 0xbf9d8000 -1.23046875
030 0x3f9e8000 1.23828125 0x3f9e8000 1.23828125
031 0xbf9f8000 -1.24609375 0xbf9f8000 -1.24609375
032 0x3fa08000 1.25390625 0x3fa08000 1.25390625
033 0xbfa18000 -1.26171875 0xbfa18000 -1.26171875
034 0x3fa28000 1.26953125 0x3fa28000 1.26953125
035 0xbfa38000 -1.27734375 0xbfa38000 -1.27734375
036 0x3fa48000 1.28515625 0x3fa48000 1.28515625
037 0xbfa58000 -1.29296875 0xbfa58000 -1.29296875
038 0x3fa68000 1.30078125 0x3fa68000 1.30078125
039 0xbfa78000 -1.30859375 0xbfa78000 -1.30859375
040 0x3fa88000 1.31640625 0x3fa88000 1.31640625
041 0xbfa98000 -1.32421875 0xbfa98000 -1.32421875
042 0x3faa8000 1.33203125 0x3faa8000 1.33203125
