compare_metric,compare_metric_param,compare_atol,compare_tie_policy,mismatch_kind,metric_decision,metric_tie,metric_min_mismatch,decision_mismatch,metric_exp1_error_dec,metric_exp2_error_dec,metric_min_error_dec,pseudo_selected_metric_error_dec,metric_error_delta_dec,value_index,value_mode,bit_width,sgn,exp1_format,exp2_format,m1,m2,e2_win_divisor,chunk_idx,value_idx,expected_decision,expected_e1_wins,expected_e2_wins,expected_e2_wins_shifted,expected_e2_wins_shift2,err_exp1_dec,err_exp2_dec,chunk_diff_exp2_minus_exp1_dec,expected_error_fp32_hex,expected_error_fp32_dec,chunk_scale_fp32_hex,chunk_scale_fp32_dec,raw_fp32_hex,raw_fp32_dec,scaled_fp32_hex,scaled_fp32_dec,q_exp1_bits,q_exp1_exp_field,q_exp1_mant_field,q_exp1_mant_bits,q_exp2_bits,q_exp2_exp_field,q_exp2_mant_field,q_exp2_mant_bits,err_exp1_pre_square_fp32_hex,err_exp1_pre_square_fp32_dec,err_exp2_pre_square_fp32_hex,err_exp2_pre_square_fp32_dec,pseudo_diff_exp2_minus_exp1_fp32_hex,pseudo_diff_exp2_minus_exp1_fp32_dec
l1,0.0625,0,min-error,metric_min,exp1,0,1,1,0.134744048,0.134744063,0.134744048,0.134744063,1.49011612e-08,0,raw-and-scaled,8,1,fp8_e1m6,fp8_e2m5,6,5,2,555,0,exp2,3,6,3,1,0.000950885005,0.00161231426,-3,0x3ad3544a,0.00161231426,0x3f800000,1,0x00000000,0,0x00000000,0,00000000,0,0,000000,00000000,0,0,00000,0x00000000,0,0x00000000,0,0x00000000,0
l1,0.0625,0,min-error,metric_min,exp1,0,1,1,0.134744048,0.134744063,0.134744048,0.134744063,1.49011612e-08,1,raw-and-scaled,8,1,fp8_e1m6,fp8_e2m5,6,5,2,555,1,exp2,3,6,3,1,0.000950885005,0.00161231426,-3,0x3ad3544a,0.00161231426,0x3f800000,1,0x00000000,0,0x00000000,0,00000000,0,0,000000,00000000,0,0,00000,0x00000000,0,0x00000000,0,0x00000000,0
l1,0.0625,0,min-error,metric_min,exp1,0,1,1,0.134744048,0.134744063,0.134744048,0.134744063,1.49011612e-08,2,raw-and-scaled,8,1,fp8_e1m6,fp8_e2m5,6,5,2,555,2,exp2,3,6,3,1,0.000950885005,0.00161231426,-3,0x3ad3544a,0.00161231426,0x3f800000,1,0x00000000,0,0x00000000,0,00000000,0,0,000000,00000000,0,0,00000,0x00000000,0,0x00000000,0,0x00000000,0
l1,0.0625,0,min-error,metric_min,exp1,0,1,1,0.134744048,0.134744063,0.134744048,0.134744063,1.49011612e-08,3,raw-and-scaled,8,1,fp8_e1m6,fp8_e2m5,6,5,2,555,3,exp2,3,6,3,1,0.000950885005,0.00161231426,-3,0x3ad3544a,0.00161231426,0x3f800000,1,0x00000000,0,0x00000000,0,00000000,0,0,000000,00000000,0,0,00000,0x00000000,0,0x00000000,0,0x00000000,0
l1,0.0625,0,min-error,metric_min,exp1,0,1,1,0.134744048,0.134744063,0.134744048,0.134744063,1.49011612e-08,4,raw-and-scaled,8,1,fp8_e1m6,fp8_e2m5,6,5,2,555,4,exp2,3,6,3,1,0.000950885005,0.00161231426,-3,0x3ad3544a,0.00161231426,0x3f800000,1,0x00000000,0,0x00000000,0,00000000,0,0,000000,00000000,0,0,00000,0x00000000,0,0x00000000,0,0x00000000,0
l1,0.0625,0,min-error,metric_min,exp1,0,1,1,0.134744048,0.134744063,0.134744048,0.134744063,1.49011612e-08,5,raw-and-scaled,8,1,fp8_e1m6,fp8_e2m5,6,5,2,555,5,exp2,3,6,3,1,0.000950885005,0.00161231426,-3,0x3ad3544a,0.00161231426,0x3f800000,1,0x00000000,0,0x00000000,0,00000000,0,0,000000,00000000,0,0,00000,0x00000000,0,0x00000000,0,0x00000000,0
l1,0.0625,0,min-error,metric_min,exp1,0,1,1,0.134744048,0.134744063,0.134744048,0.134744063,1.49011612e-08,6,raw-and-scaled,8,1,fp8_e1m6,fp8_e2m5,6,5,2,555,6,exp2,3,6,3,1,0.000950885005,0.00161231426,-3,0x3ad3544a,0.00161231426,0x3f800000,1,0x3b4aba07,0.00309336348,0x3b4aba07,0.00309336348,00000000,0,0,000000,00000000,0,0,00000,0x3b4aba07,0.00309336348,0x3b4aba07,0.00309336348,0x00000000,0
l1,0.0625,0,min-error,metric_min,exp1,0,1,1,0.134744048,0.134744063,0.134744048,0.134744063,1.49011612e-08,7,raw-and-scaled,8,1,fp8_e1m6,fp8_e2m5,6,5,2,555,7,exp2,3,6,3,1,0.000950885005,0.00161231426,-3,0x3ad3544a,0.00161231426,0x3f800000,1,0x00000000,0,0x00000000,0,00000000,0,0,000000,00000000,0,0,00000,0x00000000,0,0x00000000,0,0x00000000,0
l1,0.0625,0,min-error,metric_min,exp1,0,1,1,0.134744048,0.134744063,0.134744048,0.134744063,1.49011612e-08,8,raw-and-scaled,8,1,fp8_e1m6,fp8_e2m5,6,5,2,555,8,exp2,3,6,3,1,0.000950885005,0.00161231426,-3,0x3ad3544a,0.00161231426,0x3f800000,1,0xba99fb5e,-0.00117478869,0xba99fb5e,-0.00117478869,10000000,0,0,000000,10000000,0,0,00000,0xba99fb5e,-0.00117478869,0xba99fb5e,-0.00117478869,0x00000000,0
l1,0.0625,0,min-error,metric_min,exp1,0,1,1,0.134744048,0.134744063,0.134744048,0.134744063,1.49011612e-08,9,raw-and-scaled,8,1,fp8_e1m6,fp8_e2m5,6,5,2,555,9,exp2,3,6,3,1,0.000950885005,0.00161231426,-3,0x3ad3544a,0.00161231426,0x3f800000,1,0xbd81314b,-0.0630823001,0xbd81314b,-0.0630823001,10000100,0,4,000100,10001000,0,8,01000,0xba18a580,-0.000582300127,0xba18a580,-0.000582300127,0x80000000,-0
