compare_metric,compare_metric_param,compare_atol,compare_tie_policy,mismatch_kind,metric_decision,metric_tie,metric_min_mismatch,decision_mismatch,metric_exp1_error_dec,metric_exp2_error_dec,metric_min_error_dec,pseudo_selected_metric_error_dec,metric_error_delta_dec,value_index,value_mode,bit_width,sgn,exp1_format,exp2_format,m1,m2,e2_win_divisor,chunk_idx,value_idx,expected_decision,expected_e1_wins,expected_e2_wins,expected_e2_wins_shifted,expected_e2_wins_shift2,err_exp1_dec,err_exp2_dec,chunk_diff_exp2_minus_exp1_dec,expected_error_fp32_hex,expected_error_fp32_dec,chunk_scale_fp32_hex,chunk_scale_fp32_dec,raw_fp32_hex,raw_fp32_dec,scaled_fp32_hex,scaled_fp32_dec,q_exp1_bits,q_exp1_exp_field,q_exp1_mant_field,q_exp1_mant_bits,q_exp2_bits,q_exp2_exp_field,q_exp2_mant_field,q_exp2_mant_bits,err_exp1_pre_square_fp32_hex,err_exp1_pre_square_fp32_dec,err_exp2_pre_square_fp32_hex,err_exp2_pre_square_fp32_dec,pseudo_diff_exp2_minus_exp1_fp32_hex,pseudo_diff_exp2_minus_exp1_fp32_dec
l2,0.0625,0,min-error,metric_min,exp1,0,1,1,0.00733028119,0.0083365161,0.00733028119,0.0083365161,0.0010062349,0,raw-and-scaled,8,1,fp8_e1m6,fp8_e2m5,6,5,4,26,0,exp2,9,37,9,9,0.00733028119,0.0083365161,-28,0x3c0895e2,0.0083365161,0x3f800000,1,0xbe83fc00,-0.257781982,0xbe83fc00,-0.257781982,10010000,0,16,010000,10100000,1,0,00000,0xbbff0000,-0.00778198242,0xbbff0000,-0.00778198242,0x80000000,-0
l2,0.0625,0,min-error,metric_min,exp1,0,1,1,0.00733028119,0.0083365161,0.00733028119,0.0083365161,0.0010062349,1,raw-and-scaled,8,1,fp8_e1m6,fp8_e2m5,6,5,4,26,1,exp2,9,37,9,9,0.00733028119,0.0083365161,-28,0x3c0895e2,0.0083365161,0x3f800000,1,0x3a85fe00,0.00102227926,0x3a85fe00,0.00102227926,00000000,0,0,000000,00000000,0,0,00000,0x3a85fe00,0.00102227926,0x3a85fe00,0.00102227926,0x00000000,0
l2,0.0625,0,min-error,metric_min,exp1,0,1,1,0.00733028119,0.0083365161,0.00733028119,0.0083365161,0.0010062349,2,raw-and-scaled,8,1,fp8_e1m6,fp8_e2m5,6,5,4,26,2,exp2,9,37,9,9,0.00733028119,0.0083365161,-28,0x3c0895e2,0.0083365161,0x3f800000,1,0x3d814040,0.0631108284,0x3d814040,0.0631108284,00000100,0,4,000100,00001000,0,8,01000,0x3a202000,0.0006108284,0x3a202000,0.0006108284,0x80000000,-0
l2,0.0625,0,min-error,metric_min,exp1,0,1,1,0.00733028119,0.0083365161,0.00733028119,0.0083365161,0.0010062349,3,raw-and-scaled,8,1,fp8_e1m6,fp8_e2m5,6,5,4,26,3,exp2,9,37,9,9,0.00733028119,0.0083365161,-28,0x3c0895e2,0.0083365161,0x3f800000,1,0xbb81c040,-0.00395968556,0xbb81c040,-0.00395968556,10000000,0,0,000000,10000000,0,0,00000,0xbb81c040,-0.00395968556,0xbb81c040,-0.00395968556,0x00000000,0
l2,0.0625,0,min-error,metric_min,exp1,0,1,1,0.00733028119,0.0083365161,0.00733028119,0.0083365161,0.0010062349,4,raw-and-scaled,8,1,fp8_e1m6,fp8_e2m5,6,5,4,26,4,exp2,9,37,9,9,0.00733028119,0.0083365161,-28,0x3c0895e2,0.0083365161,0x3f800000,1,0x3e88ff00,0.267570496,0x3e88ff00,0.267570496,00010001,0,17,010001,00100010,1,2,00010,0x3aff0000,0.00194549561,0x3aff0000,0.00194549561,0x80000000,-0
l2,0.0625,0,min-error,metric_min,exp1,0,1,1,0.00733028119,0.0083365161,0.00733028119,0.0083365161,0.0010062349,5,raw-and-scaled,8,1,fp8_e1m6,fp8_e2m5,6,5,4,26,5,exp2,9,37,9,9,0.00733028119,0.0083365161,-28,0x3c0895e2,0.0083365161,0x3f800000,1,0xba960200,-0.00114446878,0xba960200,-0.00114446878,10000000,0,0,000000,10000000,0,0,00000,0xba960200,-0.00114446878,0xba960200,-0.00114446878,0x00000000,0
l2,0.0625,0,min-error,metric_min,exp1,0,1,1,0.00733028119,0.0083365161,0.00733028119,0.0083365161,0.0010062349,6,raw-and-scaled,8,1,fp8_e1m6,fp8_e2m5,6,5,4,26,6,exp2,9,37,9,9,0.00733028119,0.0083365161,-28,0x3c0895e2,0.0083365161,0x3f800000,1,0x3f868080,1.05079651,0x3f868080,1.05079651,01000011,1,3,000011,01100001,3,1,00001,0x3b808000,0.00392150879,0x3ca02000,0.0195465088,0x3f800000,1
l2,0.0625,0,min-error,metric_min,exp1,0,1,1,0.00733028119,0.0083365161,0.00733028119,0.0083365161,0.0010062349,7,raw-and-scaled,8,1,fp8_e1m6,fp8_e2m5,6,5,4,26,7,exp2,9,37,9,9,0.00733028119,0.0083365161,-28,0x3c0895e2,0.0083365161,0x3f800000,1,0xbb03c040,-0.00201036036,0xbb03c040,-0.00201036036,10000000,0,0,000000,10000000,0,0,00000,0xbb03c040,-0.00201036036,0xbb03c040,-0.00201036036,0x00000000,0
l2,0.0625,0,min-error,metric_min,exp1,0,1,1,0.00733028119,0.0083365161,0.00733028119,0.0083365161,0.0010062349,8,raw-and-scaled,8,1,fp8_e1m6,fp8_e2m5,6,5,4,26,8,exp2,9,37,9,9,0.00733028119,0.0083365161,-28,0x3c0895e2,0.0083365161,0x3f800000,1,0xba843fc0,-0.00100897998,0xba843fc0,-0.00100897998,10000000,0,0,000000,10000000,0,0,00000,0xba843fc0,-0.00100897998,0xba843fc0,-0.00100897998,0x00000000,0
l2,0.0625,0,min-error,metric_min,exp1,0,1,1,0.00733028119,0.0083365161,0.00733028119,0.0083365161,0.0010062349,9,raw-and-scaled,8,1,fp8_e1m6,fp8_e2m5,6,5,4,26,9,exp2,9,37,9,9,0.00733028119,0.0083365161,-28,0x3c0895e2,0.0083365161,0x3f800000,1,0xbd04bfc0,-0.0324094296,0xbd04bfc0,-0.0324094296,10000010,0,2,000010,10000100,0,4,00100,0xba97f800,-0.00115942955,0xba97f800,-0.00115942955,0x80000000,-0
