compare_metric,compare_metric_param,compare_atol,compare_tie_policy,mismatch_kind,metric_decision,metric_tie,metric_min_mismatch,decision_mismatch,metric_exp1_error_dec,metric_exp2_error_dec,metric_min_error_dec,pseudo_selected_metric_error_dec,metric_error_delta_dec,value_index,value_mode,bit_width,sgn,exp1_format,exp2_format,m1,m2,e2_win_divisor,chunk_idx,value_idx,expected_decision,expected_e1_wins,expected_e2_wins,expected_e2_wins_shifted,expected_e2_wins_shift2,err_exp1_dec,err_exp2_dec,chunk_diff_exp2_minus_exp1_dec,chunk_sum_pseudo_diff_exp2_minus_exp1_neg_div4_fp32_dec,chunk_sum_square_err_exp2_minus_square_err_exp1_pre_square_div_2_neg_m_dec,expected_error_fp32_hex,expected_error_fp32_dec,chunk_scale_fp32_hex,chunk_scale_fp32_dec,raw_fp32_hex,raw_fp32_dec,scaled_fp32_hex,scaled_fp32_dec,q_exp1_bits,q_exp1_exp_field,q_exp1_mant_field,q_exp1_mant_bits,q_exp2_bits,q_exp2_exp_field,q_exp2_mant_field,q_exp2_mant_bits,err_exp1_pre_square_fp32_hex,err_exp1_pre_square_fp32_dec,err_exp2_pre_square_fp32_hex,err_exp2_pre_square_fp32_dec,pseudo_diff_exp2_minus_exp1_fp32_hex,pseudo_diff_exp2_minus_exp1_fp32_dec,pseudo_diff_exp2_minus_exp1_neg_div4_fp32_dec,square_err_exp2_minus_square_err_exp1_pre_square_div_2_neg_m_dec
l2,0.0625,0,min-error,metric_min,exp2,0,1,1,0.00247165421,0.00247157156,0.00247157156,0.00247165421,8.26548785e-08,0,raw-and-scaled,8,1,fp8_e1m6,fp8_e2m5,6,5,4,26247,0,exp1,110592000,110583808,110583808,27645952,0.00247165421,0.00247157156,8192,82946048,-0.000339150429,0x3b21fb7a,0.00247165421,0x3f800000,1,0x3ec6dc73,0.388400644,0x3ec6dc73,0.388400644,00011000,0,24,011000,00110001,1,17,10001,0x3c5b8e60,0.0134006441,0x3bb71cc0,0.00558814406,0xcb1b8000,-10190848,-2547712,-0.60764122
l2,0.0625,0,min-error,metric_min,exp2,0,1,1,0.00247165421,0.00247157156,0.00247157156,0.00247165421,8.26548785e-08,1,raw-and-scaled,8,1,fp8_e1m6,fp8_e2m5,6,5,4,26247,1,exp1,110592000,110583808,110583808,27645952,0.00247165421,0.00247157156,8192,82946048,-0.000339150429,0x3b21fb7a,0.00247165421,0x3f800000,1,0x00000000,0,0x00000000,0,00000000,0,0,000000,00000000,0,0,00000,0x00000000,0,0x00000000,0,0x00000000,0,0,0
l2,0.0625,0,min-error,metric_min,exp2,0,1,1,0.00247165421,0.00247157156,0.00247157156,0.00247165421,8.26548785e-08,2,raw-and-scaled,8,1,fp8_e1m6,fp8_e2m5,6,5,4,26247,2,exp1,110592000,110583808,110583808,27645952,0.00247165421,0.00247157156,8192,82946048,-0.000339150429,0x3b21fb7a,0.00247165421,0x3f800000,1,0x00000000,0,0x00000000,0,00000000,0,0,000000,00000000,0,0,00000,0x00000000,0,0x00000000,0,0x00000000,0,0,0
l2,0.0625,0,min-error,metric_min,exp2,0,1,1,0.00247165421,0.00247157156,0.00247157156,0.00247165421,8.26548785e-08,3,raw-and-scaled,8,1,fp8_e1m6,fp8_e2m5,6,5,4,26247,3,exp1,110592000,110583808,110583808,27645952,0.00247165421,0.00247157156,8192,82946048,-0.000339150429,0x3b21fb7a,0.00247165421,0x3f800000,1,0x00000000,0,0x00000000,0,00000000,0,0,000000,00000000,0,0,00000,0x00000000,0,0x00000000,0,0x00000000,0,0,0
l2,0.0625,0,min-error,metric_min,exp2,0,1,1,0.00247165421,0.00247157156,0.00247157156,0.00247165421,8.26548785e-08,4,raw-and-scaled,8,1,fp8_e1m6,fp8_e2m5,6,5,4,26247,4,exp1,110592000,110583808,110583808,27645952,0.00247165421,0.00247157156,8192,82946048,-0.000339150429,0x3b21fb7a,0.00247165421,0x3f800000,1,0x3f647d44,0.892536402,0x3f647d44,0.892536402,00111001,0,57,111001,01011001,2,25,11001,0x3afa8800,0.00191140175,0x3afa8800,0.00191140175,0x00000000,0,0,0
l2,0.0625,0,min-error,metric_min,exp2,0,1,1,0.00247165421,0.00247157156,0.00247157156,0.00247165421,8.26548785e-08,5,raw-and-scaled,8,1,fp8_e1m6,fp8_e2m5,6,5,4,26247,5,exp1,110592000,110583808,110583808,27645952,0.00247165421,0.00247157156,8192,82946048,-0.000339150429,0x3b21fb7a,0.00247165421,0x3f800000,1,0x00000000,0,0x00000000,0,00000000,0,0,000000,00000000,0,0,00000,0x00000000,0,0x00000000,0,0x00000000,0,0,0
l2,0.0625,0,min-error,metric_min,exp2,0,1,1,0.00247165421,0.00247157156,0.00247157156,0.00247165421,8.26548785e-08,6,raw-and-scaled,8,1,fp8_e1m6,fp8_e2m5,6,5,4,26247,6,exp1,110592000,110583808,110583808,27645952,0.00247165421,0.00247157156,8192,82946048,-0.000339150429,0x3b21fb7a,0.00247165421,0x3f800000,1,0xbabbf244,-0.00143391686,0xbabbf244,-0.00143391686,10000000,0,0,000000,10000000,0,0,00000,0xbabbf244,-0.00143391686,0xbabbf244,-0.00143391686,0x00000000,0,0,0
l2,0.0625,0,min-error,metric_min,exp2,0,1,1,0.00247165421,0.00247157156,0.00247157156,0.00247165421,8.26548785e-08,7,raw-and-scaled,8,1,fp8_e1m6,fp8_e2m5,6,5,4,26247,7,exp1,110592000,110583808,110583808,27645952,0.00247165421,0.00247157156,8192,82946048,-0.000339150429,0x3b21fb7a,0.00247165421,0x3f800000,1,0x00000000,0,0x00000000,0,00000000,0,0,000000,00000000,0,0,00000,0x00000000,0,0x00000000,0,0x00000000,0,0,0
l2,0.0625,0,min-error,metric_min,exp2,0,1,1,0.00247165421,0.00247157156,0.00247157156,0.00247165421,8.26548785e-08,8,raw-and-scaled,8,1,fp8_e1m6,fp8_e2m5,6,5,4,26247,8,exp1,110592000,110583808,110583808,27645952,0.00247165421,0.00247157156,8192,82946048,-0.000339150429,0x3b21fb7a,0.00247165421,0x3f800000,1,0x00000000,0,0x00000000,0,00000000,0,0,000000,00000000,0,0,00000,0x00000000,0,0x00000000,0,0x00000000,0,0,0
l2,0.0625,0,min-error,metric_min,exp2,0,1,1,0.00247165421,0.00247157156,0.00247157156,0.00247165421,8.26548785e-08,9,raw-and-scaled,8,1,fp8_e1m6,fp8_e2m5,6,5,4,26247,9,exp1,110592000,110583808,110583808,27645952,0.00247165421,0.00247157156,8192,82946048,-0.000339150429,0x3b21fb7a,0.00247165421,0x3f800000,1,0xbc19beb4,-0.00938384607,0xbc19beb4,-0.00938384607,10000000,0,0,000000,10000001,0,1,00001,0xbc19beb4,-0.00938384607,0xbacdf5a0,-0.00157134607,0xcab36000,-5877760,-1469440,-0.350566149
