# pseudo_MSE2 hardware test vectors
# seed=42
# bit_widths=8,7,6,5,4
# num_chunks_per_bit_width=100
# chunk_size=128
# e2_win_divisor=4
# signedness: sgn=1 for every section in this file
# chunk scale source: DynamicInputQuantizer._chunk_scale(raw_chunk)
# chunk scale definition: pow2_floor(max(abs(raw_chunk))) with 1.0 for all-zero chunks
# metric input: values are already scaled FP32 numbers (scaled_v)
# do not apply a chunk scale before feeding these values to the pseudo_MSE2 block
# decision rule: choose_exp2 if floor(expected_e2_wins / e2_win_divisor) >= expected_e1_wins else choose_exp1
# expected_error rows: selected chunk error matching expected_decision, as fp32_hex fp32_dec
# expected_e1_wins/expected_e2_wins rows: per-value pseudo_diff winners; ties are not counted
# expected_e2_wins_shifted row: floor(expected_e2_wins / e2_win_divisor), used only for expected_decision
# expected_e2_wins_shift2 row: legacy floor(expected_e2_wins / 4) diagnostic
# mantissa mode: truncate
# q_exp*_bits are packed sign/exponent/mantissa fields after pseudo_MSE2 quantization
# q_exp*_exp_field and q_exp*_mant_field are the stored exponent and mantissa fields as integers
# q_exp*_mant_bits are the stored mantissa fields as zero-padded binary strings
# err_exp*_pre_square = scaled-q_exp* for each value, before squaring
# chunk_diff_exp2_minus_exp1 is the signed sum of pseudo_diff values for debug; it does not drive expected_decision
# pseudo_diff_exp2_minus_exp1 is the bit-level pseudo err2-err1 signal for each value
# chunk max rows use max absolute value; *_value is the signed value at that index
# chunk max rows: chunk_max_abs_index value_index, chunk_max_abs_scaled_value scaled_fp32_hex scaled_fp32_dec, chunk_max_abs_scaled_abs scaled_abs_fp32_hex scaled_abs_fp32_dec
# value rows: value_index scaled_fp32_hex scaled_fp32_dec q_exp1_bits q_exp1_exp_field q_exp1_mant_field q_exp1_mant_bits q_exp2_bits q_exp2_exp_field q_exp2_mant_field q_exp2_mant_bits err_exp1_pre_square_fp32_hex err_exp1_pre_square_fp32_dec err_exp2_pre_square_fp32_hex err_exp2_pre_square_fp32_dec pseudo_diff_exp2_minus_exp1_fp32_hex pseudo_diff_exp2_minus_exp1_fp32_dec

BEGIN_BIT_WIDTH 8
sgn 1
exp1_format fp8_e1m6
exp2_format fp8_e2m5
m1 6
m2 5
BEGIN_CHUNK 0
err_exp1 0.009765625
err_exp2 0.041015625
chunk_diff_exp2_minus_exp1 160
expected_e1_wins 160
expected_e2_wins 0
expected_e2_wins_shifted 0
expected_e2_wins_shift2 0
expected_decision exp1
expected_error 0x3c200000 0.009765625
chunk_max_abs_index 127
chunk_max_abs_scaled_value 0xbfff8000 -1.99609375
chunk_max_abs_scaled_abs 0x3fff8000 1.99609375
# value_index scaled_fp32_hex scaled_fp32_dec q_exp1_bits q_exp1_exp_field q_exp1_mant_field q_exp1_mant_bits q_exp2_bits q_exp2_exp_field q_exp2_mant_field q_exp2_mant_bits err_exp1_pre_square_fp32_hex err_exp1_pre_square_fp32_dec err_exp2_pre_square_fp32_hex err_exp2_pre_square_fp32_dec pseudo_diff_exp2_minus_exp1_fp32_hex pseudo_diff_exp2_minus_exp1_fp32_dec
VALUES_BEGIN
000 0x3f808000 1.00390625 01000000 1 0 000000 01100000 3 0 00000 0x3b800000 0.00390625 0x3b800000 0.00390625 0x00000000 0
001 0xbf818000 -1.01171875 11000000 1 0 000000 11100000 3 0 00000 0xbc400000 -0.01171875 0xbc400000 -0.01171875 0x00000000 0
002 0x3f828000 1.01953125 01000001 1 1 000001 01100000 3 0 00000 0x3b800000 0.00390625 0x3ca00000 0.01953125 0x40000000 2
003 0xbf838000 -1.02734375 11000001 1 1 000001 11100000 3 0 00000 0xbc400000 -0.01171875 0xbce00000 -0.02734375 0x40400000 3
004 0x3f848000 1.03515625 01000010 1 2 000010 01100001 3 1 00001 0x3b800000 0.00390625 0x3b800000 0.00390625 0x00000000 0
005 0xbf858000 -1.04296875 11000010 1 2 000010 11100001 3 1 00001 0xbc400000 -0.01171875 0xbc400000 -0.01171875 0x00000000 0
006 0x3f868000 1.05078125 01000011 1 3 000011 01100001 3 1 00001 0x3b800000 0.00390625 0x3ca00000 0.01953125 0x40000000 2
007 0xbf878000 -1.05859375 11000011 1 3 000011 11100001 3 1 00001 0xbc400000 -0.01171875 0xbce00000 -0.02734375 0x40400000 3
008 0x3f888000 1.06640625 01000100 1 4 000100 01100010 3 2 00010 0x3b800000 0.00390625 0x3b800000 0.00390625 0x00000000 0
009 0xbf898000 -1.07421875 11000100 1 4 000100 11100010 3 2 00010 0xbc400000 -0.01171875 0xbc400000 -0.01171875 0x00000000 0
010 0x3f8a8000 1.08203125 01000101 1 5 000101 01100010 3 2 00010 0x3b800000 0.00390625 0x3ca00000 0.01953125 0x40000000 2
011 0xbf8b8000 -1.08984375 11000101 1 5 000101 11100010 3 2 00010 0xbc400000 -0.01171875 0xbce00000 -0.02734375 0x40400000 3
012 0x3f8c8000 1.09765625 01000110 1 6 000110 01100011 3 3 00011 0x3b800000 0.00390625 0x3b800000 0.00390625 0x00000000 0
013 0xbf8d8000 -1.10546875 11000110 1 6 000110 11100011 3 3 00011 0xbc400000 -0.01171875 0xbc400000 -0.01171875 0x00000000 0
014 0x3f8e8000 1.11328125 01000111 1 7 000111 01100011 3 3 00011 0x3b800000 0.00390625 0x3ca00000 0.01953125 0x40000000 2
015 0xbf8f8000 -1.12109375 11000111 1 7 000111 11100011 3 3 00011 0xbc400000 -0.01171875 0xbce00000 -0.02734375 0x40400000 3
016 0x3f908000 1.12890625 01001000 1 8 001000 01100100 3 4 00100 0x3b800000 0.00390625 0x3b800000 0.00390625 0x00000000 0
017 0xbf918000 -1.13671875 11001000 1 8 001000 11100100 3 4 00100 0xbc400000 -0.01171875 0xbc400000 -0.01171875 0x00000000 0
018 0x3f928000 1.14453125 01001001 1 9 001001 01100100 3 4 00100 0x3b800000 0.00390625 0x3ca00000 0.01953125 0x40000000 2
019 0xbf938000 -1.15234375 11001001 1 9 001001 11100100 3 4 00100 0xbc400000 -0.01171875 0xbce00000 -0.02734375 0x40400000 3
020 0x3f948000 1.16015625 01001010 1 10 001010 01100101 3 5 00101 0x3b800000 0.00390625 0x3b800000 0.00390625 0x00000000 0
021 0xbf958000 -1.16796875 11001010 1 10 001010 11100101 3 5 00101 0xbc400000 -0.01171875 0xbc400000 -0.01171875 0x00000000 0
022 0x3f968000 1.17578125 01001011 1 11 001011 01100101 3 5 00101 0x3b800000 0.00390625 0x3ca00000 0.01953125 0x40000000 2
023 0xbf978000 -1.18359375 11001011 1 11 001011 11100101 3 5 00101 0xbc400000 -0.01171875 0xbce00000 -0.02734375 0x40400000 3
024 0x3f988000 1.19140625 01001100 1 12 001100 01100110 3 6 00110 0x3b800000 0.00390625 0x3b800000 0.00390625 0x00000000 0
025 0xbf998000 -1.19921875 11001100 1 12 001100 11100110 3 6 00110 0xbc400000 -0.01171875 0xbc400000 -0.01171875 0x00000000 0
026 0x3f9a8000 1.20703125 01001101 1 13 001101 01100110 3 6 00110 0x3b800000 0.00390625 0x3ca00000 0.01953125 0x40000000 2
027 0xbf9b8000 -1.21484375 11001101 1 13 001101 11100110 3 6 00110 0xbc400000 -0.01171875 0xbce00000 -0.02734375 0x40400000 3
028 0x3f9c8000 1.22265625 01001110 1 14 001110 01100111 3 7 00111 0x3b800000 0.00390625 0x3b800000 0.00390625 0x00000000 0
