# pseudo_MSE3 PyTorch hardware test vectors
# seed=42
# bit_widths=8,7,6,5,4
# num_chunks_per_bit_width=100
# chunk_size=128
# signedness: sgn=1 for every section in this file
# implementation: PyTorch reference only; no CUDA pseudo_MSE3 kernel is used
# chunk scale source: DynamicInputQuantizer._chunk_scale(raw_chunk)
# chunk scale definition: pow2_floor(max(abs(raw_chunk))) with 1.0 for all-zero chunks
# metric input: values are already scaled FP32 numbers (scaled_v)
# do not apply a chunk scale before feeding these values to the pseudo_MSE3 block
# decision rule: choose_exp2 if sum(err2^2 - err1^2) < 0 else choose_exp1
# expected_error rows: selected chunk squared error, as fp32_hex fp32_dec
# mantissa mode: truncate
# q_exp*_bits are packed sign/exponent/mantissa fields after pseudo_MSE3 quantization
# err_exp*_pre_square = scaled-q_exp* for each value, before squaring
# pseudo_diff_exp2_minus_exp1 = err_exp2_pre_square^2 - err_exp1_pre_square^2
# pseudo_diff_times_2_2m must be zero, [1,3), or (-3/4,-1/4]
# value mode: scaled
# chunk max rows use max absolute value; *_value is the signed value at that index
# value rows: value_index scaled_fp32_hex scaled_fp32_dec q_exp1_bits q_exp1_exp_field q_exp1_mant_field q_exp1_mant_bits q_exp2_bits q_exp2_exp_field q_exp2_mant_field q_exp2_mant_bits err_exp1_pre_square_fp32_hex err_exp1_pre_square_fp32_dec err_exp2_pre_square_fp32_hex err_exp2_pre_square_fp32_dec pseudo_diff_exp2_minus_exp1_fp32_hex pseudo_diff_exp2_minus_exp1_fp32_dec pseudo_diff_times_2_2m_dec

BEGIN_BIT_WIDTH 8
sgn 1
exp1_format fp8_e1m6
exp2_format fp8_e2m5
m1 6
m2 5
BEGIN_CHUNK 0
err_exp1 0.009765625
err_exp2 0.041015625
chunk_diff_exp2_minus_exp1 0.03125
expected_decision exp1
expected_error 0x3c200000 0.009765625
chunk_max_abs_index 127
chunk_max_abs_scaled_value 0xbfff8000 -1.99609375
chunk_max_abs_scaled_abs 0x3fff8000 1.99609375
# value_index scaled_fp32_hex scaled_fp32_dec q_exp1_bits q_exp1_exp_field q_exp1_mant_field q_exp1_mant_bits q_exp2_bits q_exp2_exp_field q_exp2_mant_field q_exp2_mant_bits err_exp1_pre_square_fp32_hex err_exp1_pre_square_fp32_dec err_exp2_pre_square_fp32_hex err_exp2_pre_square_fp32_dec pseudo_diff_exp2_minus_exp1_fp32_hex pseudo_diff_exp2_minus_exp1_fp32_dec pseudo_diff_times_2_2m_dec
VALUES_BEGIN
000 0x3f808000 1.00390625 01000000 1 0 000000 01100000 3 0 00000 0x3b800000 0.00390625 0x3b800000 0.00390625 0x00000000 0 0
001 0xbf818000 -1.01171875 11000000 1 0 000000 11100000 3 0 00000 0xbc400000 -0.01171875 0xbc400000 -0.01171875 0x00000000 0 0
002 0x3f828000 1.01953125 01000001 1 1 000001 01100000 3 0 00000 0x3b800000 0.00390625 0x3ca00000 0.01953125 0x39c00000 0.000366210938 1.5
003 0xbf838000 -1.02734375 11000001 1 1 000001 11100000 3 0 00000 0xbc400000 -0.01171875 0xbce00000 -0.02734375 0x3a200000 0.000610351562 2.5
004 0x3f848000 1.03515625 01000010 1 2 000010 01100001 3 1 00001 0x3b800000 0.00390625 0x3b800000 0.00390625 0x00000000 0 0
005 0xbf858000 -1.04296875 11000010 1 2 000010 11100001 3 1 00001 0xbc400000 -0.01171875 0xbc400000 -0.01171875 0x00000000 0 0
006 0x3f868000 1.05078125 01000011 1 3 000011 01100001 3 1 00001 0x3b800000 0.00390625 0x3ca00000 0.01953125 0x39c00000 0.000366210938 1.5
007 0xbf878000 -1.05859375 11000011 1 3 000011 11100001 3 1 00001 0xbc400000 -0.01171875 0xbce00000 -0.02734375 0x3a200000 0.000610351562 2.5
008 0x3f888000 1.06640625 01000100 1 4 000100 01100010 3 2 00010 0x3b800000 0.00390625 0x3b800000 0.00390625 0x00000000 0 0
009 0xbf898000 -1.07421875 11000100 1 4 000100 11100010 3 2 00010 0xbc400000 -0.01171875 0xbc400000 -0.01171875 0x00000000 0 0
010 0x3f8a8000 1.08203125 01000101 1 5 000101 01100010 3 2 00010 0x3b800000 0.00390625 0x3ca00000 0.01953125 0x39c00000 0.000366210938 1.5
011 0xbf8b8000 -1.08984375 11000101 1 5 000101 11100010 3 2 00010 0xbc400000 -0.01171875 0xbce00000 -0.02734375 0x3a200000 0.000610351562 2.5
012 0x3f8c8000 1.09765625 01000110 1 6 000110 01100011 3 3 00011 0x3b800000 0.00390625 0x3b800000 0.00390625 0x00000000 0 0
013 0xbf8d8000 -1.10546875 11000110 1 6 000110 11100011 3 3 00011 0xbc400000 -0.01171875 0xbc400000 -0.01171875 0x00000000 0 0
014 0x3f8e8000 1.11328125 01000111 1 7 000111 01100011 3 3 00011 0x3b800000 0.00390625 0x3ca00000 0.01953125 0x39c00000 0.000366210938 1.5
